time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.63655e-06	6444.99
1	7.63655e-06	1.65694e-05	6444.99
2	1.65694e-05	2.70186e-05	2599.08
3	2.70186e-05	3.92416e-05	3369.04
4	3.92416e-05	5.35394e-05	2561.19
5	5.35394e-05	7.02642e-05	1717.28
6	7.02642e-05	8.98281e-05	1492.76
7	8.98281e-05	0.000112713	1410.89
8	0.000112713	0.000139483	1360.61
9	0.000139483	0.000170796	1394.34
10	0.000170796	0.000207425	1531.08
11	0.000207425	0.000250272	1777
12	0.000250272	0.000300393	2093.11
13	0.000300393	0.000359021	2392.31
14	0.000359021	0.000427601	2603.51
15	0.000427601	0.000507823	2716.53
16	0.000507823	0.000601663	2756.62
17	0.000601663	0.000711431	2741.37
18	0.000711431	0.000839833	2668.61
19	0.000839833	0.000990031	2509.55
20	0.000990031	0.00116573	2226.62
21	0.00116573	0.00137124	1842.29
22	0.00137124	0.00161165	1465.92
23	0.00161165	0.00189286	1213.08
24	0.00189286	0.00222181	1124.27
25	0.00222181	0.0026066	1171.36
26	0.0026066	0.00305671	1302.21
27	0.00305671	0.00358322	1569.3
28	0.00358322	0.00419911	1569.3
29	0.00419911	0.00491955	555.47
30	0.00491955	0.00576227	555.47
31	0.00576227	inf	555.47
