time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.58516e-06	6159.39
1	2.58516e-06	5.74255e-06	6159.39
2	5.74255e-06	9.59883e-06	1899.57
3	9.59883e-06	1.43087e-05	1856.71
4	1.43087e-05	2.00611e-05	2678.4
5	2.00611e-05	2.70867e-05	3935.32
6	2.70867e-05	3.56675e-05	4402.07
7	3.56675e-05	4.61476e-05	3671.34
8	4.61476e-05	5.89475e-05	2633.88
9	5.89475e-05	7.45807e-05	1924.21
10	7.45807e-05	9.36742e-05	1557.4
11	9.36742e-05	0.000116994	1399.5
12	0.000116994	0.000145476	1360.97
13	0.000145476	0.000180262	1419.98
14	0.000180262	0.000222748	1592.03
15	0.000222748	0.000274638	1862.31
16	0.000274638	0.000338014	2162.71
17	0.000338014	0.000415419	2424.25
18	0.000415419	0.000509956	2616.62
19	0.000509956	0.00062542	2716.97
20	0.00062542	0.000766441	2711.18
21	0.000766441	0.000938677	2593.83
22	0.000938677	0.00114904	2300.1
23	0.00114904	0.00140596	1838.28
24	0.00140596	0.00171976	1399.02
25	0.00171976	0.00210301	1170.04
26	0.00210301	0.00257109	1197.77
27	0.00257109	0.00314278	1534.31
28	0.00314278	0.00384102	1534.31
29	0.00384102	0.00469381	627.713
30	0.00469381	0.00573537	627.713
31	0.00573537	inf	627.713
