time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.72858e-06	6587.24
1	2.72858e-06	6.06114e-06	6587.24
2	6.06114e-06	1.01314e-05	2567.98
3	1.01314e-05	1.51025e-05	1924.91
4	1.51025e-05	2.1174e-05	2143.99
5	2.1174e-05	2.85894e-05	2556.57
6	2.85894e-05	3.76463e-05	2635.35
7	3.76463e-05	4.87078e-05	2421.96
8	4.87078e-05	6.22179e-05	1993.78
9	6.22179e-05	7.87183e-05	1634.69
10	7.87183e-05	9.88711e-05	1397.57
11	9.88711e-05	0.000123485	1255.9
12	0.000123485	0.000153547	1295.03
13	0.000153547	0.000190263	1404.06
14	0.000190263	0.000235106	1655.14
15	0.000235106	0.000289875	1962.17
16	0.000289875	0.000356767	2265.61
17	0.000356767	0.000438465	2503.43
18	0.000438465	0.000538248	2586.67
19	0.000538248	0.000660117	2705.67
20	0.000660117	0.000808962	2694.13
21	0.000808962	0.000990754	2603.67
22	0.000990754	0.00121278	2159.57
23	0.00121278	0.00148396	1666.53
24	0.00148396	0.00181516	1308.73
25	0.00181516	0.00221968	1122.54
26	0.00221968	0.00271373	1182.27
27	0.00271373	0.00331714	1534.05
28	0.00331714	0.00405412	1534.05
29	0.00405412	0.00495422	638.089
30	0.00495422	0.00605356	638.089
31	0.00605356	inf	638.089
