time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.75928e-06	6898.1
1	7.75928e-06	1.68357e-05	6898.1
2	1.68357e-05	2.74528e-05	2284.6
3	2.74528e-05	3.98722e-05	2052.22
4	3.98722e-05	5.43998e-05	1763.21
5	5.43998e-05	7.13935e-05	1433.57
6	7.13935e-05	9.12718e-05	1315.71
7	9.12718e-05	0.000114524	1360.69
8	0.000114524	0.000141724	1458.48
9	0.000141724	0.000173541	1541.57
10	0.000173541	0.000210759	1672.67
11	0.000210759	0.000254295	1877.71
12	0.000254295	0.00030522	2130.78
13	0.00030522	0.000364791	2389.86
14	0.000364791	0.000434473	2605.63
15	0.000434473	0.000515984	2744.8
16	0.000515984	0.000611332	2794.98
17	0.000611332	0.000722865	2762.97
18	0.000722865	0.00085333	2667.04
19	0.00085333	0.00100594	2487.88
20	0.00100594	0.00118446	2185.01
21	0.00118446	0.00139328	1793.9
22	0.00139328	0.00163755	1434.26
23	0.00163755	0.00192328	1200.69
24	0.00192328	0.00225752	1116.75
25	0.00225752	0.00264849	1157.63
26	0.00264849	0.00310583	1287.74
27	0.00310583	0.00364081	1567.76
28	0.00364081	0.0042666	1567.76
29	0.0042666	0.00499861	607.425
30	0.00499861	0.00585488	607.425
31	0.00585488	inf	607.425
