time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.85085e-06	6391.04
1	2.85085e-06	6.33274e-06	6391.04
2	6.33274e-06	1.05853e-05	3709.42
3	1.05853e-05	1.57792e-05	2214.8
4	1.57792e-05	2.21228e-05	1724.41
5	2.21228e-05	2.98705e-05	1580.71
6	2.98705e-05	3.93332e-05	1466.73
7	3.93332e-05	5.08904e-05	1373.38
8	5.08904e-05	6.50058e-05	1280.6
9	6.50058e-05	8.22457e-05	1214.01
10	8.22457e-05	0.000103302	1199.86
11	0.000103302	0.000129018	1231.95
12	0.000129018	0.000160427	1326.52
13	0.000160427	0.000198788	1486.65
14	0.000198788	0.000245641	1699.1
15	0.000245641	0.000302864	1994.1
16	0.000302864	0.000372753	2281.9
17	0.000372753	0.000458113	2512.64
18	0.000458113	0.000562366	2722.43
19	0.000562366	0.000689697	2709.57
20	0.000689697	0.000845211	2646.58
21	0.000845211	0.00103515	2449.58
22	0.00103515	0.00126713	2076.42
23	0.00126713	0.00155046	1620.04
24	0.00155046	0.0018965	1231.86
25	0.0018965	0.00231914	1094.15
26	0.00231914	0.00283533	1185.89
27	0.00283533	0.00346578	2167.3
28	0.00346578	0.00423578	2167.3
29	0.00423578	0.00517622	79.9101
30	0.00517622	0.00632482	79.9101
31	0.00632482	inf	79.9101
