time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.6848e-06	9081.49
1	4.6848e-06	1.01648e-05	9081.49
2	1.01648e-05	1.65751e-05	16457.9
3	1.65751e-05	2.40736e-05	21067.8
4	2.40736e-05	3.28449e-05	16547.5
5	3.28449e-05	4.31051e-05	10592.7
6	4.31051e-05	5.51069e-05	5855.28
7	5.51069e-05	6.91462e-05	3285.64
8	6.91462e-05	8.55685e-05	2171.35
9	8.55685e-05	0.000104779	1676.83
10	0.000104779	0.00012725	1442.92
11	0.00012725	0.000153535	1370.87
12	0.000153535	0.000184282	1423.43
13	0.000184282	0.000220249	1571.66
14	0.000220249	0.000262321	1789.47
15	0.000262321	0.000311535	2033.31
16	0.000311535	0.000369103	2256.02
17	0.000369103	0.000436443	2441.38
18	0.000436443	0.000515213	2594.22
19	0.000515213	0.000607356	2709.84
20	0.000607356	0.000715139	2761.25
21	0.000715139	0.000841219	2711.77
22	0.000841219	0.0009887	2537.89
23	0.0009887	0.00116122	2220.85
24	0.00116122	0.00136302	1801.58
25	0.00136302	0.00159908	1428.73
26	0.00159908	0.0018752	1254.49
27	0.0018752	0.0021982	1517.77
28	0.0021982	0.00257603	1517.77
29	0.00257603	0.003018	1049.03
30	0.003018	0.00353499	1049.03
31	0.00353499	inf	1049.03
