  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1       323992.6  0.00025712757  7.9362174e-10  6.3002307e+08      1.0203     -1
    10      0           0         133   Coal      1     -1      303117.77      14.520738  4.7904608e-05      10437.409      1.0185     -1
    10      1         133       166.2   Coal      0     -1      175852.86  0.00024477997   1.391959e-09  3.5920598e+08      1.0289     -1
    10      1         133       166.2   Coal      1     -1      161893.19      1.0429907  6.4424619e-06      77610.083      1.0266     -1
    10      2       166.2      207.68   Coal      0     -1      272510.47  0.00015770879  5.7872563e-10  8.6396726e+08      1.0654     -1
    10      2       166.2      207.68   Coal      1     -1      244500.86      10.386456  4.2480244e-05      11770.177      1.0613     -1
    10      3      207.68      259.53   Coal      0     -1      423402.35   0.0001819002  4.2961547e-10  1.1638315e+09      1.0761     -1
    10      3      207.68      259.53   Coal      1     -1      381156.77       15.46242  4.0567088e-05      12325.262      1.0735     -1
    10      4      259.53      324.31   Coal      0     -1      656465.23   0.0093740424  1.4279572e-08       35015055      1.1247     -1
    10      4      259.53      324.31   Coal      1     -1      593360.37      18.467743  3.1123991e-05      16064.778      1.1273     -1
    10      5      324.31      405.26   Coal      0     -1      1027627.8      0.3470222  3.3769252e-07      1480636.9      1.2042     -1
    10      5      324.31      405.26   Coal      1     -1      928072.76      35.667182  3.8431451e-05      13010.178      1.2106     -1
    10      6      405.26      506.42   Coal      0     -1      1601131.6      6.9430433  4.3363352e-06      115304.74      1.3287     -1
    10      6      405.26      506.42   Coal      1     -1      1451486.5      37.907513  2.6116339e-05      19145.103      1.3456     -1
    10      7      506.42      632.82   Coal      0     -1      2487484.7      11.328118  4.5540454e-06      109792.49      1.4022     -1
    10      7      506.42      632.82   Coal      1     -1        2253253       55.36421  2.4570792e-05      20349.364      1.4218     -1
    10      8      632.82      790.79   Coal      0     -1      3873627.9      154.40728  3.9861156e-05       12543.54      1.5122     -1
    10      8      632.82      790.79   Coal      1     -1      3463383.5      164.07326  4.7373691e-05      10554.381      1.5354     -1
