  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      321780.75      51.374566  0.00015965705      3131.7126      1.0186     -1
    10      0           0         133   Coal      1     -1      364690.16       29.20006  8.0068133e-05      6244.6816        1.02     -1
    10      1         133       166.2   Coal      0     -1      165746.51       5.682663  3.4285265e-05      14583.525      1.0471     -1
    10      1         133       166.2   Coal      1     -1      199417.35     0.58342988  2.9256726e-06      170900.87       1.051     -1
    10      2       166.2      207.68   Coal      0     -1       257532.6      11.657215  4.5265009e-05       11046.06      1.0946     -1
    10      2       166.2      207.68   Coal      1     -1      315522.24      12.943107  4.1021218e-05      12188.814       1.098     -1
    10      3      207.68      259.53   Coal      0     -1      400969.76   0.0015249676  3.8031985e-09  1.3146829e+08      1.1117     -1
    10      3      207.68      259.53   Coal      1     -1      494797.73       11.08819   2.240954e-05      22311.926      1.1174     -1
    10      4      259.53      324.31   Coal      0     -1      629145.93     0.06229606  9.9016868e-08      5049644.7      1.1952     -1
    10      4      259.53      324.31   Coal      1     -1      773466.16      15.930564   2.059633e-05       24276.17      1.1995     -1
    10      5      324.31      405.26   Coal      0     -1      982071.16      12.860993  1.3095785e-05      38180.224      1.2281     -1
    10      5      324.31      405.26   Coal      1     -1      1216661.8      25.950438  2.1329212e-05      23442.028       1.234     -1
    10      6      405.26      506.42   Coal      0     -1        1506760       16.96845  1.1261548e-05      44398.868      1.3414     -1
    10      6      405.26      506.42   Coal      1     -1      1916296.2      111.40408  5.8135103e-05      8600.6555      1.3494     -1
    10      7      506.42      632.82   Coal      0     -1      2309205.4      34.800715  1.5070429e-05      33177.557       1.444     -1
    10      7      506.42      632.82   Coal      1     -1      3011187.6      188.05952  6.2453605e-05       8005.943      1.4476     -1
    10      8      632.82      790.79   Coal      0     -1      3435044.5      174.29071  5.0738996e-05      9854.3535      1.5823     -1
    10      8      632.82      790.79   Coal      1     -1      4725807.6      582.29621  0.00012321623      4057.9068      1.5719     -1
    10      9      790.79      988.18   Coal      0     -1      5000576.9      454.41784  9.0873084e-05      5502.1793      1.6436     -1
    10      9      790.79      988.18   Coal      1     -1      7206856.4      1160.2193  0.00016098826      3105.8166      1.6387     -1
    10     10      988.18      1234.8   Coal      0     -1      6873440.5      890.76275  0.00012959489      3858.1769       1.824     -1
    10     10      988.18      1234.8   Coal      1     -1       10820142        2256.29  0.00020852684      2397.7728      1.8196     -1
    10     11      1234.8      1543.1   Coal      0     -1      8963380.1      1591.2288  0.00017752553      2816.4963        1.98     -1
    10     11      1234.8      1543.1   Coal      1     -1       15713968        3699.34  0.00023541731       2123.888      1.9722     -1
    10     12      1543.1      1928.2   Coal      0     -1       11750756      2509.5582  0.00021356568      2341.2001      2.1901     -1
    10     12      1543.1      1928.2   Coal      1     -1       20699703        5542.79  0.00026777148      1867.2639      2.1854     -1
    10     13      1928.2      2409.6   Coal      0     -1       15704412      3226.3019  0.00020543921        2433.81      2.3457     -1
    10     13      1928.2      2409.6   Coal      1     -1       25526055         6219.5  0.00024365301      2052.0986      2.3283     -1
    10     14      2409.6        3011   Coal      0     -1       21257255        4186.71   0.0001969544      2538.6587      2.6745     -1
    10     14      2409.6        3011   Coal      1     -1       30895833        6547.71  0.00021192858      2359.2854      2.6632     -1
    10     15        3011      3762.6   Coal      0     -1       28703617        5025.04  0.00017506644      2856.0586      2.9217     -1
    10     15        3011      3762.6   Coal      1     -1       38293332        6624.69  0.00017299853       2890.198      2.9195     -1
    10     16      3762.6      4701.8   Coal      0     -1       40088956        5413.68  0.00013504168      3702.5605      3.2962     -1
    10     16      3762.6      4701.8   Coal      1     -1       48276323      6765.1001  0.00014013288       3568.042       3.297     -1
    10     17      4701.8      5875.5   Coal      0     -1       56466815        6113.72  0.00010827103      4618.0406      3.9765     -1
    10     17      4701.8      5875.5   Coal      1     -1       62494933        7067.08  0.00011308245      4421.5527      4.0147     -1
    10     18      5875.5      7342.1   Coal      0     -1       81847534        5320.54  6.5005501e-05      7691.6567      4.9631     -1
    10     18      5875.5      7342.1   Coal      1     -1       87361112        5452.11   6.240889e-05      8011.6791      4.9437     -1
    10     19      7342.1      9174.7   Coal      0     -1  1.2498882e+08        4463.64  3.5712313e-05      14000.773      5.9252     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.2990768e+08         4713.8  3.6285769e-05      13779.507      5.9035     -1
    10     20      9174.7       11465   Coal      0     -1   1.943156e+08        4668.02  2.4022878e-05      20813.493        7.09     -1
    10     20      9174.7       11465   Coal      1     -1  1.9813103e+08        4668.79  2.3564153e-05      21218.671       7.064     -1
    10     21       11465       14327   Coal      0     -1   1.108002e+09       20703.39  1.8685336e-05      26758.952      8.6132     -1
    10     21       11465       14327   Coal      1     -1            123       3.237711    0.026322854      18.994901           1     -1
    10     22       14327       17903   Coal      0     -1  1.5464547e+09       27882.46  1.8029923e-05      27731.677      10.732     -1
    10     22       14327       17903   Coal      1     -1            123      3.2377789    0.026323406      18.994502           1     -1
    10     23       17903       22372   Coal      0     -1   2.061335e+09        42493.2  2.0614408e-05       24254.88       12.53     -1
    10     23       17903       22372   Coal      1     -1            123      3.2381182    0.026326164      18.992513           1     -1
    10     24       22372       27956   Coal      0     -1  2.5619053e+09       60335.89  2.3551179e-05       21230.36      15.064     -1
    10     24       22372       27956   Coal      1     -1            123      3.2384775    0.026329085      18.990405           1     -1
    10     25       27956       34934   Coal      0     -1  2.9117055e+09       80800.35  2.7750179e-05      18017.902       17.12     -1
    10     25       27956       34934   Coal      1     -1            123      3.2389905    0.026333256      18.987398           1     -1
    10     26       34934       43654   Coal      0     -1  3.0189463e+09       93922.56   3.111104e-05      16071.465      18.867     -1
    10     26       34934       43654   Coal      1     -1            123       3.239475    0.026337195      18.984558           1     -1
    10     27       43654       54551   Coal      0     -1  2.8222373e+09      101775.23  3.6061897e-05       13865.05      22.085     -1
    10     27       43654       54551   Coal      1     -1            123      3.2401536    0.026342712      18.980582           1     -1
    10     28       54551       68167   Coal      0     -1  2.3921476e+09        90706.6   3.791848e-05      13186.183      23.459     -1
    10     28       54551       68167   Coal      1     -1            123      3.2405563    0.026345986      18.978223           1     -1
    10     29       68167       85183   Coal      0     -1   1.934683e+09        69324.1  3.5832279e-05      13953.899      24.462     -1
    10     29       68167       85183   Coal      1     -1            123      3.2405563    0.026345986      18.978223           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.8345359e+09       35270.59  1.9225893e-05      26006.595      24.994     -1
    10     30       85183  1.0645e+05   Coal      1     -1            123      3.2386271    0.026330302      18.989528           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.8882932e+09       34810.85  1.8435087e-05      27122.193      26.729     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            123      3.2386271    0.026330302      18.989528           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  4.4610512e+09       81207.27  1.8203617e-05      27467.068      26.499     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            123      3.2386271    0.026330302      18.989528           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5992654e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -24335705      -24335705              0           1     -1
    10      0           0         133   Migr      0      1      188247.45      72.614109  0.00038573754              0      1.0296     -1
    10      0           0         133   Migr      1      0       201907.9      4.6589216  2.3074489e-05              0      1.0305     -1
    10      1         133       166.2   Migr      0      1        85952.7      10.199599  0.00011866526              0      1.0483     -1
    10      1         133       166.2   Migr      1      0        95662.7      5.2932368  5.5332296e-05              0      1.0501     -1
    10      2       166.2      207.68   Migr      0      1      133532.73      6.5131229  4.8775479e-05              0      1.0969     -1
    10      2       166.2      207.68   Migr      1      0      150928.25   0.0010836289   7.179762e-09              0      1.0971     -1
    10      3      207.68      259.53   Migr      0      1      208233.16      18.774581  9.0161339e-05              0      1.1144     -1
    10      3      207.68      259.53   Migr      1      0      236375.32      2.3350137  9.8784159e-06              0      1.1167     -1
    10      4      259.53      324.31   Migr      0      1       326576.9      16.575069  5.0753953e-05              0      1.1982     -1
    10      4      259.53      324.31   Migr      1      0      369292.38      6.2202742  1.6843765e-05              0      1.1986     -1
    10      5      324.31      405.26   Migr      0      1      510701.01      42.869052  8.3941584e-05              0      1.2316     -1
    10      5      324.31      405.26   Migr      1      0         578852      6.0364866  1.0428376e-05              0      1.2332     -1
    10      6      405.26      506.42   Migr      0      1      788845.97      98.557107  0.00012493834              0      1.3473     -1
    10      6      405.26      506.42   Migr      1      0      906123.25      24.504264   2.704297e-05              0      1.3467     -1
    10      7      506.42      632.82   Migr      0      1      1220831.4      289.39264  0.00023704555              0      1.4518     -1
    10      7      506.42      632.82   Migr      1      0      1411573.1      121.27785  8.5916803e-05              0       1.443     -1
    10      8      632.82      790.79   Migr      0      1      1851019.7      582.48136  0.00031468133              0      1.5914     -1
    10      8      632.82      790.79   Migr      1      0      2197323.9      294.33463  0.00013395141              0      1.5696     -1
    10      9      790.79      988.18   Migr      0      1      2764305.4      845.34875  0.00030580874              0      1.6531     -1
    10      9      790.79      988.18   Migr      1      0      3330506.2      484.94999  0.00014560849              0      1.6365     -1
    10     10      988.18      1234.8   Migr      0      1      3962280.3      1733.5272  0.00043750746              0      1.8403     -1
    10     10      988.18      1234.8   Migr      1      0      4983812.9      828.10217  0.00016615836              0       1.814     -1
    10     11      1234.8      1543.1   Migr      0      1      5501602.8      2044.2019  0.00037156479              0      1.9994     -1
    10     11      1234.8      1543.1   Migr      1      0      7275396.3      1174.1054  0.00016138026              0      1.9703     -1
    10     12      1543.1      1928.2   Migr      0      1      7591796.2        2353.43  0.00030999647              0      2.2187     -1
    10     12      1543.1      1928.2   Migr      1      0       10046552      2089.8929  0.00020802092              0      2.1941     -1
    10     13      1928.2      2409.6   Migr      0      1       10588728      2639.1805  0.00024924434              0      2.3811     -1
    10     13      1928.2      2409.6   Migr      1      0       13441045      2668.8086  0.00019855662              0      2.3552     -1
    10     14      2409.6        3011   Migr      0      1       14911554         3271.3  0.00021938021              0      2.7211     -1
    10     14      2409.6        3011   Migr      1      0       17911195        3569.66  0.00019929771              0      2.7106     -1
    10     15        3011      3762.6   Migr      0      1       21017679        4237.16  0.00020159981              0      2.9812     -1
    10     15        3011      3762.6   Migr      1      0       24365856         4740.4  0.00019455093              0      2.9731     -1
    10     16      3762.6      4701.8   Migr      0      1       30429629        5722.79  0.00018806638              0      3.3474     -1
    10     16      3762.6      4701.8   Migr      1      0       33567509        6426.05  0.00019143661              0      3.3598     -1
    10     17      4701.8      5875.5   Migr      0      1       44310535        8102.88  0.00018286577              0       4.008     -1
    10     17      4701.8      5875.5   Migr      1      0       47007887        8420.46  0.00017912866              0      4.0296     -1
    10     18      5875.5      7342.1   Migr      0      1       65886488       11741.17    0.000178203              0      4.9113     -1
    10     18      5875.5      7342.1   Migr      1      0       68481703       12271.13  0.00017918845              0      4.8966     -1
    10     19      7342.1      9174.7   Migr      0      1  1.0107182e+08        17885.9  0.00017696228              0      5.8258     -1
    10     19      7342.1      9174.7   Migr      1      0  1.0346836e+08       18109.62  0.00017502568              0      5.7955     -1
