  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      282241.58      99.204691  0.00035148857      1422.5213      1.0186     -1
    10      0           0         133   Coal      1     -1      315292.66      36.065715  0.00011438806      4371.0857      1.0201     -1
    10      1         133       166.2   Coal      0     -1      150064.67    0.049519728  3.2998925e-07      1515200.9      1.0643     -1
    10      1         133       166.2   Coal      1     -1      170322.13       2.666958  1.5658317e-05      31931.911      1.0752     -1
    10      2       166.2      207.68   Coal      0     -1      236205.64       3.396151  1.4377942e-05      34775.492      1.0723     -1
    10      2       166.2      207.68   Coal      1     -1      267731.86      2.8108107  1.0498604e-05       47625.38      1.0838     -1
    10      3      207.68      259.53   Coal      0     -1      369856.88      37.107472  0.00010032927      4983.5903      1.1317     -1
    10      3      207.68      259.53   Coal      1     -1      417176.79      33.097433  7.9336707e-05       6302.253      1.1429     -1
    10      4      259.53      324.31   Coal      0     -1      572050.94      9.0631339  1.5843229e-05      31559.224      1.1865     -1
    10      4      259.53      324.31   Coal      1     -1      643940.82      11.330101  1.7594941e-05       28417.26      1.1948     -1
    10      5      324.31      405.26   Coal      0     -1      902939.56      8.8207337  9.7689082e-06      51182.792      1.2798     -1
    10      5      324.31      405.26   Coal      1     -1      1003762.5      61.046574  6.0817749e-05      8221.2843      1.2895     -1
    10      6      405.26      506.42   Coal      0     -1      1402698.8      154.11365  0.00010986938      4550.8585      1.3446     -1
    10      6      405.26      506.42   Coal      1     -1      1561604.6      106.88651  6.8446593e-05      7304.9655       1.351     -1
    10      7      506.42      632.82   Coal      0     -1      2147998.8      164.83016  7.6736617e-05      6515.7941      1.5431     -1
    10      7      506.42      632.82   Coal      1     -1      2398648.9      199.33138  8.3101523e-05      6016.7369        1.54     -1
    10      8      632.82      790.79   Coal      0     -1        3283317      255.89463  7.7937838e-05      6415.3692      1.6234     -1
    10      8      632.82      790.79   Coal      1     -1      3652343.9      535.80394  0.00014670139      3408.2839       1.614     -1
    10      9      790.79      988.18   Coal      0     -1      4972913.3      314.53226  6.3249095e-05      7905.2515      1.8465     -1
    10      9      790.79      988.18   Coal      1     -1      5410844.2      1175.2868  0.00021720951       2301.925      1.8027     -1
    10     10      988.18      1234.8   Coal      0     -1      7515608.7      318.57659  4.2388661e-05      11795.607      2.0282     -1
    10     10      988.18      1234.8   Coal      1     -1      7815075.5        1828.22  0.00023393504      2137.3455       1.943     -1
    10     11      1234.8      1543.1   Coal      0     -1       11278710      481.23039  4.2667146e-05      11718.618      2.2425     -1
    10     11      1234.8      1543.1   Coal      1     -1       11057684      2687.8359  0.00024307403      2056.9865        2.09     -1
    10     12      1543.1      1928.2   Coal      0     -1       16742706       599.0522  3.5779892e-05       13974.33      2.5368     -1
    10     12      1543.1      1928.2   Coal      1     -1       15402580        3459.32  0.00022459354      2226.2439      2.3122     -1
    10     13      1928.2      2409.6   Coal      0     -1       24553792      867.21689  3.5319062e-05      14156.661      3.1452     -1
    10     13      1928.2      2409.6   Coal      1     -1       21765852        3883.37  0.00017841571      2802.4438      2.7798     -1
    10     14      2409.6        3011   Coal      0     -1       36061287      1210.4954  3.3567725e-05       14895.26      3.3385     -1
    10     14      2409.6        3011   Coal      1     -1       31698056        3964.24  0.00012506256      3997.9991       2.954     -1
    10     15        3011      3762.6   Coal      0     -1       53255119      1716.8276  3.2237795e-05      15509.745       3.985     -1
    10     15        3011      3762.6   Coal      1     -1       46759546        4217.25   9.019014e-05      5543.8433      3.5941     -1
    10     16      3762.6      4701.8   Coal      0     -1       78015884      2806.2459  3.5970187e-05        13900.4      4.7114     -1
    10     16      3762.6      4701.8   Coal      1     -1       69851605        4810.41  6.8866134e-05      7260.4627      4.3237     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.1152504e+08      4489.1966  4.0252815e-05      12421.492      5.4973     -1
    10     17      4701.8      5875.5   Coal      1     -1   1.035677e+08      5961.7688  5.7563978e-05      8685.9877      5.1949     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.6046607e+08      5033.4065   3.136742e-05      15940.106       6.017     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.5365843e+08      5611.4938   3.651927e-05      13691.402      5.8276     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.3583272e+08      5684.9797  2.4105983e-05      20741.738      7.4297     -1
    10     19      7342.1      9174.7   Coal      1     -1  2.2772092e+08      5773.9187  2.5355241e-05      19719.789      7.3964     -1
    10     20      9174.7       11465   Coal      0     -1   3.500982e+08      6584.3435  1.8807133e-05      26585.657      8.8121     -1
    10     20      9174.7       11465   Coal      1     -1  3.4156289e+08      6518.8266  1.9085289e-05      26198.188      8.7404     -1
    10     21       11465       14327   Coal      0     -1  1.9001428e+09       31902.21  1.6789375e-05      29780.739      10.412     -1
    10     21       11465       14327   Coal      1     -1            121      3.2361106    0.026744716      18.695282           1     -1
    10     22       14327       17903   Coal      0     -1  2.5366507e+09        43897.3  1.7305221e-05      28893.015      12.044     -1
    10     22       14327       17903   Coal      1     -1            121      3.2361772    0.026745266      18.694897           1     -1
    10     23       17903       22372   Coal      0     -1  3.2036154e+09        66369.8  2.0717156e-05      24134.587      13.294     -1
    10     23       17903       22372   Coal      1     -1            121      3.2365108    0.026748023       18.69297           1     -1
    10     24       22372       27956   Coal      0     -1  3.7522617e+09       89320.76  2.3804512e-05      21004.421      15.716     -1
    10     24       22372       27956   Coal      1     -1            121      3.2368639    0.026750941      18.690931           1     -1
    10     25       27956       34934   Coal      0     -1    4.02542e+09      113638.54  2.8230232e-05      17711.509      18.008     -1
    10     25       27956       34934   Coal      1     -1            121      3.2373682    0.026755109       18.68802           1     -1
    10     26       34934       43654   Coal      0     -1  3.9552382e+09      125917.81  3.1835708e-05      15705.634      20.154     -1
    10     26       34934       43654   Coal      1     -1            121      3.2378444    0.026759045      18.685271           1     -1
    10     27       43654       54551   Coal      0     -1  3.5323737e+09      130605.23  3.6973786e-05      13523.095      21.722     -1
    10     27       43654       54551   Coal      1     -1            121      3.2385114    0.026764557      18.681423           1     -1
    10     28       54551       68167   Coal      0     -1  2.9067784e+09      112989.68  3.8871102e-05      12863.026      22.051     -1
    10     28       54551       68167   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     29       68167       85183   Coal      0     -1  2.3101999e+09       84835.21  3.6722021e-05      13615.808          22     -1
    10     29       68167       85183   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1836793e+09       42529.34  1.9476001e-05      25672.621      21.977     -1
    10     30       85183  1.0645e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2572137e+09       41635.72  1.8445626e-05      27106.697      22.388     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.4282912e+09       98429.97  1.8132773e-05      27574.382      22.597     -1
