  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      336108.27      57.276226  0.00017041005      2934.0993      1.0182     -1
    10      0           0         133   Coal      1     -1       369658.7      43.743326  0.00011833436      4225.3154       1.023     -1
    10      1         133       166.2   Coal      0     -1      170629.78      2.0034095  1.1741265e-05      42584.847      1.0495     -1
    10      1         133       166.2   Coal      1     -1      204158.36      6.4712335  3.1697127e-05        15774.3      1.0552     -1
    10      2       166.2      207.68   Coal      0     -1      264044.58  0.00014111585  5.3443948e-10  9.3555963e+08      1.0815     -1
    10      2       166.2      207.68   Coal      1     -1      320636.33     0.94065489  2.9337128e-06       170432.5      1.0873     -1
    10      3      207.68      259.53   Coal      0     -1      408759.06      1.0520834  2.5738472e-06      194261.72      1.0783     -1
    10      3      207.68      259.53   Coal      1     -1      514011.46      7.2943437  1.4191014e-05      35233.565      1.0833     -1
    10      4      259.53      324.31   Coal      0     -1      630897.31      1.7900986   2.837385e-06       176218.6      1.1811     -1
    10      4      259.53      324.31   Coal      1     -1      810611.46      6.4372146  7.9411838e-06      62962.905      1.1859     -1
    10      5      324.31      405.26   Coal      0     -1      975823.97      3.8336355  3.9286137e-06      127271.36       1.224     -1
    10      5      324.31      405.26   Coal      1     -1      1273085.9      76.170791   5.983162e-05      8356.7853      1.2305     -1
    10      6      405.26      506.42   Coal      0     -1      1470122.8      14.413478  9.8042679e-06      50998.198      1.2826     -1
    10      6      405.26      506.42   Coal      1     -1      2045377.5      80.784091  3.9495932e-05      12659.532      1.2868     -1
    10      7      506.42      632.82   Coal      0     -1      2176970.2      82.340658  3.7823512e-05      13219.291      1.4281     -1
    10      7      506.42      632.82   Coal      1     -1      3262365.8      255.95578  7.8457105e-05      6372.9091      1.4428     -1
    10      8      632.82      790.79   Coal      0     -1      3120741.3      236.79564  7.5878011e-05      6589.5243      1.5171     -1
    10      8      632.82      790.79   Coal      1     -1        5230928      533.28402  0.00010194826      4904.4484      1.5374     -1
    10      9      790.79      988.18   Coal      0     -1      4272863.5        461.428  0.00010799034      4630.0436      1.6153     -1
    10      9      790.79      988.18   Coal      1     -1      8371544.5      1265.4987  0.00015116669      3307.6069       1.652     -1
    10     10      988.18      1234.8   Coal      0     -1      5732719.7       691.8887  0.00012069118      4142.8048      1.7888     -1
    10     10      988.18      1234.8   Coal      1     -1       12782730        2331.12   0.0001823648      2741.7572      1.8232     -1
    10     11      1234.8      1543.1   Coal      0     -1      7846794.8      1350.6378  0.00017212605      2904.8479      2.0088     -1
    10     11      1234.8      1543.1   Coal      1     -1       17790183        3908.23  0.00021968464      2275.9898      2.0515     -1
    10     12      1543.1      1928.2   Coal      0     -1       10416483      2131.8965  0.00020466567      2443.0086      2.0939     -1
    10     12      1543.1      1928.2   Coal      1     -1       23475629         5342.5  0.00022757644       2197.064      2.1427     -1
    10     13      1928.2      2409.6   Coal      0     -1       13549498      2713.0576  0.00020023307        2497.09      2.2574     -1
    10     13      1928.2      2409.6   Coal      1     -1       30218300        6687.88  0.00022131887      2259.1838      2.2817     -1
    10     14      2409.6        3011   Coal      0     -1       17720072      3444.5332  0.00019438596      2572.2022      2.5268     -1
    10     14      2409.6        3011   Coal      1     -1       37912903        7248.24  0.00019118135      2615.3179      2.5176     -1
    10     15        3011      3762.6   Coal      0     -1       24144925      4107.6494  0.00017012475      2939.0197      3.0431     -1
    10     15        3011      3762.6   Coal      1     -1       46660203        7744.03  0.00016596649      3012.6564      2.9718     -1
    10     16      3762.6      4701.8   Coal      0     -1       34001216      4792.7333   0.0001409577      3547.1634      3.5281     -1
    10     16      3762.6      4701.8   Coal      1     -1       58380677        7602.36  0.00013022048      3839.6417      3.4139     -1
    10     17      4701.8      5875.5   Coal      0     -1       48188155      5660.4126  0.00011746481      4256.5939      3.9259     -1
    10     17      4701.8      5875.5   Coal      1     -1       75859522        7904.07  0.00010419351      4798.7633       3.847     -1
    10     18      5875.5      7342.1   Coal      0     -1       71473519      4805.0297  6.7228111e-05       7437.365      4.7945     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.0542135e+08        6381.64  6.0534607e-05      8259.7381      4.7271     -1
    10     19      7342.1      9174.7   Coal      0     -1  1.1200935e+08      4159.0395  3.7131182e-05      13465.771           6     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.5719875e+08        5359.66    3.40948e-05      14664.993      5.9363     -1
    10     20      9174.7       11465   Coal      0     -1  1.7908963e+08      4165.8709  2.3261374e-05      21494.861      7.8809     -1
    10     20      9174.7       11465   Coal      1     -1  2.4206005e+08        5471.27  2.2602945e-05      22121.011      7.8532     -1
    10     21       11465       14327   Coal      0     -1  1.0985324e+09       24983.18  2.2742324e-05       21985.44      8.4271     -1
    10     21       11465       14327   Coal      1     -1            120      3.2352911    0.026960759      18.545472           1     -1
    10     22       14327       17903   Coal      0     -1  1.5036198e+09       29373.65  1.9535291e-05      25594.704       10.81     -1
    10     22       14327       17903   Coal      1     -1            120      3.2353573    0.026961311      18.545092           1     -1
    10     23       17903       22372   Coal      0     -1  1.9991845e+09       42154.03  2.1085613e-05      23712.851      12.198     -1
    10     23       17903       22372   Coal      1     -1            120      3.2356877    0.026964064      18.543199           1     -1
    10     24       22372       27956   Coal      0     -1  2.5001182e+09       58527.81  2.3410017e-05      21358.379      14.313     -1
    10     24       22372       27956   Coal      1     -1            120      3.2360378    0.026966982      18.541192           1     -1
    10     25       27956       34934   Coal      0     -1  2.8701911e+09       78811.39  2.7458586e-05      18209.241      16.619     -1
    10     25       27956       34934   Coal      1     -1            120      3.2365379    0.026971149      18.538328           1     -1
    10     26       34934       43654   Coal      0     -1  2.9934871e+09       92994.91  3.1065746e-05      16094.898      19.057     -1
    10     26       34934       43654   Coal      1     -1            120      3.2370098    0.026975082      18.535625           1     -1
    10     27       43654       54551   Coal      0     -1  2.8031841e+09      100731.75  3.5934761e-05      13914.104       21.23     -1
    10     27       43654       54551   Coal      1     -1            120      3.2376709    0.026980591       18.53184           1     -1
    10     28       54551       68167   Coal      0     -1  2.3819652e+09       90425.65  3.7962625e-05      13170.849      22.963     -1
    10     28       54551       68167   Coal      1     -1            120      3.2380633    0.026983861      18.529594           1     -1
    10     29       68167       85183   Coal      0     -1  1.9189327e+09       68934.16  3.5923178e-05       13918.59      23.462     -1
    10     29       68167       85183   Coal      1     -1            120      3.2380633    0.026983861      18.529594           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.8170627e+09        34994.1  1.9258608e-05      25962.416      24.492     -1
    10     30       85183  1.0645e+05   Coal      1     -1            120      3.2361835    0.026968196      18.540358           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.8795316e+09       34542.19  1.8378085e-05      27206.317      27.168     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            120      3.2361835    0.026968196      18.540358           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  4.4467476e+09       80994.06  1.8214225e-05      27451.072      28.137     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            120      3.2361835    0.026968196      18.540358           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5992963e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -24307484      -24307484              0           1     -1
    10      0           0         133   Migr      0      1      194928.32      60.713492  0.00031146573              0      1.0282     -1
    10      0           0         133   Migr      1      0      203908.07      2.9928749   1.467757e-05              0      1.0323     -1
    10      1         133       166.2   Migr      0      1       88736.17      20.247065  0.00022817149              0      1.0507     -1
    10      1         133       166.2   Migr      1      0       98324.11      2.2388889  2.2770497e-05              0      1.0556     -1
    10      2       166.2      207.68   Migr      0      1      138353.54      53.762892  0.00038859065              0      1.0829     -1
    10      2       166.2      207.68   Migr      1      0      152702.88      9.8465149  6.4481527e-05              0      1.0883     -1
    10      3      207.68      259.53   Migr      0      1       215372.4      34.909961  0.00016209116              0      1.0803     -1
    10      3      207.68      259.53   Migr      1      0      242017.29      1.2836735  5.3040569e-06              0      1.0844     -1
    10      4      259.53      324.31   Migr      0      1      333924.16      59.601539  0.00017848825              0      1.1837     -1
    10      4      259.53      324.31   Migr      1      0      378046.67        26.5398  7.0202442e-05              0      1.1869     -1
    10      5      324.31      405.26   Migr      0      1      518465.99      114.03211  0.00021994135              0      1.2267     -1
    10      5      324.31      405.26   Migr      1      0      589628.25      30.198756  5.1216604e-05              0      1.2316     -1
    10      6      405.26      506.42   Migr      0      1      793688.33      257.13253  0.00032397166              0       1.286     -1
    10      6      405.26      506.42   Migr      1      0      930232.74      39.927896   4.292248e-05              0      1.2887     -1
    10      7      506.42      632.82   Migr      0      1      1194684.7      453.19845  0.00037934566              0      1.4346     -1
    10      7      506.42      632.82   Migr      1      0      1461185.1      146.95459  0.00010057219              0      1.4427     -1
    10      8      632.82      790.79   Migr      0      1      1764600.9      676.82709  0.00038355816              0      1.5271     -1
    10      8      632.82      790.79   Migr      1      0      2296938.5      206.85196  9.0055507e-05              0      1.5353     -1
    10      9      790.79      988.18   Migr      0      1      2542359.5      1272.8313  0.00050064964              0      1.6315     -1
    10      9      790.79      988.18   Migr      1      0      3578987.7      266.31127  7.4409664e-05              0      1.6485     -1
    10     10      988.18      1234.8   Migr      0      1      3608670.6      1365.9694  0.00037852428              0      1.8072     -1
    10     10      988.18      1234.8   Migr      1      0      5420743.4      834.04398  0.00015386155              0      1.8204     -1
    10     11      1234.8      1543.1   Migr      0      1      5130141.7       1792.611   0.0003494272              0      2.0305     -1
    10     11      1234.8      1543.1   Migr      1      0        7744316      1378.2374  0.00017796761              0      2.0534     -1
    10     12      1543.1      1928.2   Migr      0      1      7142816.7      2281.6324  0.00031943035              0      2.1206     -1
    10     12      1543.1      1928.2   Migr      1      0       10735345      1839.0545  0.00017130837              0      2.1548     -1
    10     13      1928.2      2409.6   Migr      0      1      9826334.9      2717.0569  0.00027650766              0      2.2889     -1
    10     13      1928.2      2409.6   Migr      1      0       14726843      2206.5789  0.00014983381              0      2.3093     -1
    10     14      2409.6        3011   Migr      0      1       13562598        2264.01  0.00016693041              0      2.5507     -1
    10     14      2409.6        3011   Migr      1      0       19999419        2156.37  0.00010782163              0      2.5681     -1
    10     15        3011      3762.6   Migr      0      1       19206183      1958.3884  0.00010196656              0        3.05     -1
    10     15        3011      3762.6   Migr      1      0       27001694      2657.1028  9.8405042e-05              0       3.041     -1
    10     16      3762.6      4701.8   Migr      0      1       27671548      1930.3097  6.9757922e-05              0      3.5081     -1
    10     16      3762.6      4701.8   Migr      1      0       37013712      2542.1321   6.868082e-05              0      3.4661     -1
    10     17      4701.8      5875.5   Migr      0      1       40064641      1606.6735  4.0102032e-05              0      3.8724     -1
    10     17      4701.8      5875.5   Migr      1      0       51590575      2154.4001  4.1759567e-05              0      3.8684     -1
    10     18      5875.5      7342.1   Migr      0      1       59524157      1395.0922  2.3437412e-05              0      4.6756     -1
    10     18      5875.5      7342.1   Migr      1      0       74639082      2051.1474  2.7480877e-05              0      4.6765     -1
    10     19      7342.1      9174.7   Migr      0      1       91540082      1851.1411  2.0222192e-05              0      5.7637     -1
    10     19      7342.1      9174.7   Migr      1      0  1.1212042e+08        2344.92  2.0914299e-05              0      5.7821     -1
    10     20      9174.7       11465   Migr      0      1  1.4305084e+08      2641.0406  1.8462251e-05              0      7.4898     -1
    10     20      9174.7       11465   Migr      1      0  1.7191042e+08      3103.3384  1.8052067e-05              0      7.5231     -1
    10     21       11465       14327   Migr      0      1   4.722124e+08              0              0              0      8.3785     -1
    10     21       11465       14327   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     22       14327       17903   Migr      0      1  6.8791205e+08              0              0              0      10.621     -1
    10     22       14327       17903   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     23       17903       22372   Migr      0      1  9.8434361e+08              0              0              0      11.955     -1
    10     23       17903       22372   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     24       22372       27956   Migr      0      1  1.3631065e+09              0              0              0      13.928     -1
    10     24       22372       27956   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     25       27956       34934   Migr      0      1   1.798152e+09              0              0              0       16.03     -1
    10     25       27956       34934   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     26       34934       43654   Migr      0      1   2.230576e+09              0              0              0       18.05     -1
    10     26       34934       43654   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     27       43654       54551   Migr      0      1  2.5352051e+09              0              0              0      19.714     -1
    10     27       43654       54551   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     28       54551       68167   Migr      0      1  2.5783939e+09              0              0              0        20.9     -1
    10     28       54551       68167   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     29       68167       85183   Migr      0      1  2.3612782e+09              0              0              0      20.785     -1
    10     29       68167       85183   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     30       85183  1.0645e+05   Migr      0      1  2.2671648e+09              0              0              0      20.691     -1
    10     30       85183  1.0645e+05   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     31  1.0645e+05  1.3302e+05   Migr      0      1  2.3315725e+09              0              0              0      22.032     -1
    10     31  1.0645e+05  1.3302e+05   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     32  1.3302e+05       1e+99   Migr      0      1  6.1988132e+09              0              0              0      23.063     -1
    10     32  1.3302e+05       1e+99   Migr      1      0            120      3.2356877    0.026964064              0           1     -1
    10     -1           0       1e+99 Recomb     -1     -1           3960  1.1880004e-05   3.000001e-09              0           1     -1
    10     -1           0       1e+99 Resamp     -1     -1  2.5992963e+09        1503430  0.00057839885              0           1     -1
     9      0           0         133   Coal      0     -1      347122.81      58.603769  0.00016882719      2961.6082      1.0193     -1
     9      0           0         133   Coal      1     -1      369045.44      38.715852  0.00010490809      4766.0767      1.0222     -1
     9      1         133       166.2   Coal      0     -1      182914.61      2.9756278  1.6267852e-05      30735.465      1.0362     -1
     9      1         133       166.2   Coal      1     -1      203951.07      4.2197712  2.0690115e-05      24166.129      1.0393     -1
     9      2       166.2      207.68   Coal      0     -1      283578.34  0.00014578009  5.1407344e-10  9.7262368e+08       1.049     -1
     9      2       166.2      207.68   Coal      1     -1      322571.12      1.1907235  3.6913518e-06      135451.73      1.0525     -1
     9      3      207.68      259.53   Coal      0     -1      437920.99      1.0003742  2.2843715e-06      218878.59      1.0843     -1
     9      3      207.68      259.53   Coal      1     -1      503930.29       13.24984  2.6293001e-05      19016.468      1.0914     -1
     9      4      259.53      324.31   Coal      0     -1      671406.09     0.22751045  3.3885669e-07        1475550      1.1523     -1
     9      4      259.53      324.31   Coal      1     -1      793972.57      10.742889  1.3530554e-05      36953.402       1.163     -1
     9      5      324.31      405.26   Coal      0     -1      1020891.2      3.9421469   3.861476e-06      129484.17      1.1639     -1
     9      5      324.31      405.26   Coal      1     -1      1259605.2      74.117218  5.8841623e-05      8497.3862      1.1769     -1
     9      6      405.26      506.42   Coal      0     -1      1523775.8      23.152692   1.519429e-05      32907.098      1.2031     -1
     9      6      405.26      506.42   Coal      1     -1      2009731.9      84.740304  4.2164979e-05      11858.182      1.2223     -1
     9      7      506.42      632.82   Coal      0     -1      2235685.2      90.885466  4.0652175e-05      12299.465      1.3936     -1
     9      7      506.42      632.82   Coal      1     -1      3242821.8       268.5621   8.281741e-05      6037.3779      1.4277     -1
     9      8      632.82      790.79   Coal      0     -1      3219337.8      247.99686  7.7033501e-05      6490.6825      1.5598     -1
     9      8      632.82      790.79   Coal      1     -1      5181929.7      582.66867  0.00011244241      4446.7208      1.5983     -1
     9      9      790.79      988.18   Coal      0     -1        4410328      472.42887  0.00010711876      4667.7165      1.6803     -1
     9      9      790.79      988.18   Coal      1     -1      8292689.8      1222.1801  0.00014738042      3392.5809      1.7292     -1
