  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      294701.66      75.677139  0.00025679238      1947.0983      1.0169     -1
    10      0           0         133   Coal      1     -1      331037.34      18.021816  5.4440433e-05      9184.3502      1.0181     -1
    10      1         133       166.2   Coal      0     -1      154253.17      1.0065528  6.5253297e-06      76624.481        1.04     -1
    10      1         133       166.2   Coal      1     -1      174385.39      12.888336  7.3907202e-05      6765.2406      1.0477     -1
    10      2       166.2      207.68   Coal      0     -1      239825.21      11.281157  4.7039079e-05       10629.46      1.0737     -1
    10      2       166.2      207.68   Coal      1     -1      269035.65      38.860588  0.00014444401      3461.5489      1.0801     -1
    10      3      207.68      259.53   Coal      0     -1      375021.41      3.4053995  9.0805469e-06      55062.763      1.1062     -1
    10      3      207.68      259.53   Coal      1     -1      412070.06       22.53458  5.4686284e-05      9143.0605      1.1174     -1
    10      4      259.53      324.31   Coal      0     -1      588660.18       23.64694  4.0170782e-05      12446.857        1.18     -1
    10      4      259.53      324.31   Coal      1     -1      648412.22       23.26822  3.5884919e-05       13933.43      1.1917     -1
    10      5      324.31      405.26   Coal      0     -1      915273.57      28.608958  3.1257275e-05      15996.276      1.2493     -1
    10      5      324.31      405.26   Coal      1     -1      1013892.9      39.806362  3.9260915e-05      12735.312      1.2532     -1
    10      6      405.26      506.42   Coal      0     -1      1419121.8      133.70795  9.4218794e-05      5306.7969      1.3241     -1
    10      6      405.26      506.42   Coal      1     -1        1564278      65.034918  4.1575039e-05      12026.447      1.3229     -1
    10      7      506.42      632.82   Coal      0     -1      2165735.7      140.32131   6.479152e-05      7717.0593      1.4708     -1
    10      7      506.42      632.82   Coal      1     -1        2425295      214.24452  8.8337507e-05      5660.1099      1.4605     -1
    10      8      632.82      790.79   Coal      0     -1      3282595.6      312.98715  9.5347458e-05      5243.9783      1.6253     -1
    10      8      632.82      790.79   Coal      1     -1      3683676.6      607.87516   0.0001650186      3029.9614      1.6144     -1
    10      9      790.79      988.18   Coal      0     -1      4913779.9       274.5358  5.5870593e-05      8949.2517      1.7594     -1
    10      9      790.79      988.18   Coal      1     -1      5462084.5      1119.1305  0.00020489073      2440.3251      1.7335     -1
    10     10      988.18      1234.8   Coal      0     -1      7336321.9        377.089  5.1400279e-05      9727.5736      2.0129     -1
    10     10      988.18      1234.8   Coal      1     -1      8030895.5      1589.2175  0.00019788795      2526.6824      1.9365     -1
    10     11      1234.8      1543.1   Coal      0     -1       10821370      402.46672  3.7191847e-05      13443.807      2.3698     -1
    10     11      1234.8      1543.1   Coal      1     -1       11705226        2395.66  0.00020466584      2443.0066      2.2138     -1
    10     12      1543.1      1928.2   Coal      0     -1       15866519      443.10867  2.7927277e-05      17903.643      2.5274     -1
    10     12      1543.1      1928.2   Coal      1     -1       16928587      3198.5334  0.00018894272      2646.3046      2.3129     -1
    10     13      1928.2      2409.6   Coal      0     -1       23481246      574.98542  2.4487006e-05      20418.993      2.8371     -1
    10     13      1928.2      2409.6   Coal      1     -1       24490464        3649.01  0.00014899718      3355.7682      2.5732     -1
    10     14      2409.6        3011   Coal      0     -1       34553894      894.48657  2.5886708e-05      19314.932      3.4288     -1
    10     14      2409.6        3011   Coal      1     -1       35772334        4419.57  0.00012354715      4047.0378       3.048     -1
    10     15        3011      3762.6   Coal      0     -1       51204859      1415.3178  2.7640303e-05      18089.527      3.9948     -1
    10     15        3011      3762.6   Coal      1     -1       52182379        5039.91  9.6582603e-05      5176.9158      3.5574     -1
    10     16      3762.6      4701.8   Coal      0     -1       76076591      2493.3683  3.2774448e-05      15255.787      4.4577     -1
    10     16      3762.6      4701.8   Coal      1     -1       75389715        6072.25  8.0544807e-05      6207.7249      4.0298     -1
    10     17      4701.8      5875.5   Coal      0     -1   1.121107e+08      4088.2974  3.6466612e-05      13711.172      5.5495     -1
    10     17      4701.8      5875.5   Coal      1     -1  1.0686543e+08        7807.68  7.3060858e-05      6843.6097      4.9818     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.6589609e+08      4913.5059  2.9617972e-05      16881.642      6.6832     -1
