  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      328139.76     0.39055029   1.190195e-06      420099.24      1.0177     -1
    10      0           0         133   Coal      1     -1      324701.59      26.718802  8.2287252e-05      6076.2753      1.0182     -1
    10      1         133       166.2   Coal      0     -1      174696.94    0.022370328   1.280522e-07      3904657.6      1.0463     -1
    10      1         133       166.2   Coal      1     -1      175169.18     0.14739165  8.4142457e-07      594230.33      1.0415     -1
    10      2       166.2      207.68   Coal      0     -1      272910.94      2.6547347  9.7274762e-06      51400.794      1.0839     -1
    10      2       166.2      207.68   Coal      1     -1      274874.52      29.026247  0.00010559817      4734.9304      1.0767     -1
    10      3      207.68      259.53   Coal      0     -1      429991.13      1.7759482  4.1301973e-06      121059.59      1.0854     -1
    10      3      207.68      259.53   Coal      1     -1      427506.21      21.446611  5.0166782e-05      9966.7545      1.0818     -1
    10      4      259.53      324.31   Coal      0     -1       677601.4      3.0422761  4.4897725e-06      111364.22      1.1539     -1
    10      4      259.53      324.31   Coal      1     -1      664014.96      28.181941  4.2441726e-05      11780.859      1.1456     -1
    10      5      324.31      405.26   Coal      0     -1      1041829.3      1.2314674  1.1820241e-06      423003.23      1.2467     -1
    10      5      324.31      405.26   Coal      1     -1      1044551.8      57.088135  5.4653234e-05      9148.5895      1.2295     -1
    10      6      405.26      506.42   Coal      0     -1      1609979.5      34.260314  2.1279969e-05      23496.275      1.2703     -1
    10      6      405.26      506.42   Coal      1     -1      1633273.2      117.41616  7.1890094e-05      6955.0612      1.2483     -1
    10      7      506.42      632.82   Coal      0     -1      2457867.2      87.943894  3.5780571e-05      13974.064      1.3573     -1
    10      7      506.42      632.82   Coal      1     -1      2565246.9      211.96661  8.2630099e-05      6051.0638      1.3327     -1
    10      8      632.82      790.79   Coal      0     -1      3646667.2       160.1143  4.3907022e-05        11387.7      1.5716     -1
    10      8      632.82      790.79   Coal      1     -1      3982211.8      557.60454  0.00014002383      3570.8209      1.5283     -1
    10      9      790.79      988.18   Coal      0     -1      5336632.3       214.6437  4.0220815e-05      12431.374      1.6718     -1
    10      9      790.79      988.18   Coal      1     -1      6112076.8      1140.4829  0.00018659499      2679.6003      1.6206     -1
    10     10      988.18      1234.8   Coal      0     -1      7686543.9      307.91385  4.0058816e-05      12481.647      1.8491     -1
    10     10      988.18      1234.8   Coal      1     -1      9249599.5      1752.9224  0.00018951333      2638.3368      1.7722     -1
    10     11      1234.8      1543.1   Coal      0     -1       10684416       363.4276  3.4014737e-05      14699.511      2.0819     -1
    10     11      1234.8      1543.1   Coal      1     -1       14182406      2472.5133  0.00017433665      2868.0142      1.9772     -1
    10     12      1543.1      1928.2   Coal      0     -1       14522523       584.7831   4.026732e-05      12417.017      2.4087     -1
    10     12      1543.1      1928.2   Coal      1     -1       21566766        3630.58  0.00016834142      2970.1543      2.2516     -1
    10     13      1928.2      2409.6   Coal      0     -1       19887858       822.3785  4.1350784e-05      12091.669      2.6959     -1
    10     13      1928.2      2409.6   Coal      1     -1       32047931        4740.63  0.00014792312      3380.1341       2.502     -1
    10     14      2409.6        3011   Coal      0     -1       27511775      1190.7296  4.3280727e-05      11552.486      2.8793     -1
    10     14      2409.6        3011   Coal      1     -1       46667641        5881.62  0.00012603208      3967.2438      2.6721     -1
    10     15        3011      3762.6   Coal      0     -1       39281889      1905.8272   4.851669e-05      10305.732      3.4509     -1
    10     15        3011      3762.6   Coal      1     -1       65145502        7184.65   0.0001102862      4533.6587      3.1788     -1
    10     16      3762.6      4701.8   Coal      0     -1       57269689      3024.7991  5.2816755e-05      9466.6929      3.9725     -1
    10     16      3762.6      4701.8   Coal      1     -1       88859574        8142.59  9.1634357e-05      5456.4687      3.6442     -1
    10     17      4701.8      5875.5   Coal      0     -1       83313249      4580.7538  5.4982298e-05      9093.8361      4.6421     -1
    10     17      4701.8      5875.5   Coal      1     -1  1.1994776e+08        9657.47  8.0513969e-05      6210.1025      4.2755     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.2322136e+08      4729.5286  3.8382376e-05      13026.812       5.646     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.6542516e+08        8682.21  5.2484218e-05      9526.6733      5.2292     -1
    10     19      7342.1      9174.7   Coal      0     -1   1.868556e+08        4840.27  2.5903799e-05      19302.188      7.3495     -1
    10     19      7342.1      9174.7   Coal      1     -1  2.4035265e+08        7625.65  3.1726923e-05      15759.486      6.8424     -1
    10     20      9174.7       11465   Coal      0     -1  2.8932629e+08        5276.48  1.8237126e-05      27416.601      7.9938     -1
    10     20      9174.7       11465   Coal      1     -1  3.5925286e+08        7707.34  2.1453803e-05      23305.891      7.5281     -1
    10     21       11465       14327   Coal      0     -1  1.6750147e+09       34691.89  2.0711394e-05      24141.301       8.945     -1
    10     21       11465       14327   Coal      1     -1            122      3.2369172    0.026532108      18.845091           1     -1
    10     22       14327       17903   Coal      0     -1  2.2249765e+09       41270.26  1.8548627e-05      26956.173      10.992     -1
    10     22       14327       17903   Coal      1     -1            122      3.2369844    0.026532659        18.8447           1     -1
    10     23       17903       22372   Coal      0     -1  2.8569223e+09        59044.7  2.0667241e-05      24192.877      12.673     -1
    10     23       17903       22372   Coal      1     -1            122      3.2373206    0.026535415      18.842743           1     -1
    10     24       22372       27956   Coal      0     -1  3.4266909e+09       80067.32  2.3365784e-05      21398.811      14.367     -1
    10     24       22372       27956   Coal      1     -1            122      3.2376767    0.026538334       18.84067           1     -1
    10     25       27956       34934   Coal      0     -1  3.7620035e+09      104327.25  2.7731832e-05      18029.822      16.121     -1
    10     25       27956       34934   Coal      1     -1            122      3.2381855    0.026542504       18.83771           1     -1
    10     26       34934       43654   Coal      0     -1  3.7620972e+09      118136.98  3.1401895e-05      15922.606       18.38     -1
    10     26       34934       43654   Coal      1     -1            122       3.238666    0.026546443      18.834915           1     -1
    10     27       43654       54551   Coal      0     -1  3.3984976e+09      124776.18    3.67151e-05      13618.375      19.793     -1
    10     27       43654       54551   Coal      1     -1            122      3.2393388    0.026551957      18.831004           1     -1
    10     28       54551       68167   Coal      0     -1  2.8134627e+09      108594.91  3.8598311e-05      12953.935      20.737     -1
    10     28       54551       68167   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
    10     29       68167       85183   Coal      0     -1  2.2392898e+09       81710.57  3.6489503e-05      13702.571      20.508     -1
    10     29       68167       85183   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1223805e+09       41186.34  1.9405729e-05      25765.588      21.098     -1
    10     30       85183  1.0645e+05   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.1953428e+09       40628.35  1.8506608e-05      27017.376       22.61     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.2549172e+09       95157.55  1.8108287e-05      27611.667      21.959     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.6002353e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -30233625      -30233625              0           1     -1
    10      0           0         133   Migr      0      1      188740.88      14.471591  7.6674387e-05              0      1.0287     -1
    10      0           0         133   Migr      1      0      186922.11  0.00021070012  1.1272081e-09              0      1.0294     -1
    10      1         133       166.2   Migr      0      1       87778.99  0.00046090585  5.2507536e-09              0      1.0464     -1
    10      1         133       166.2   Migr      1      0       87792.29  0.00045513552  5.1842311e-09              0      1.0418     -1
    10      2       166.2      207.68   Migr      0      1      137131.73      4.3758888  3.1910112e-05              0       1.084     -1
    10      2       166.2      207.68   Migr      1      0      137895.18      2.5511394   1.850057e-05              0      1.0774     -1
    10      3      207.68      259.53   Migr      0      1      216243.87       4.390703  2.0304405e-05              0      1.0855     -1
    10      3      207.68      259.53   Migr      1      0      214622.17  0.00018503595  8.6214741e-10              0      1.0823     -1
    10      4      259.53      324.31   Migr      0      1      341097.03      11.921723  3.4951121e-05              0       1.154     -1
    10      4      259.53      324.31   Migr      1      0      333178.14   0.0091443297  2.7445767e-08              0      1.1467     -1
    10      5      324.31      405.26   Migr      0      1      525199.73      19.982964  3.8048314e-05              0      1.2465     -1
    10      5      324.31      405.26   Migr      1      0      523608.32      1.0360417  1.9786579e-06              0      1.2307     -1
    10      6      405.26      506.42   Migr      0      1      816022.11      65.310181  8.0034818e-05              0      1.2701     -1
    10      6      405.26      506.42   Migr      1      0      816392.15      1.5689107  1.9217611e-06              0        1.25     -1
    10      7      506.42      632.82   Migr      0      1      1256690.4      106.50456  8.4750041e-05              0       1.357     -1
    10      7      506.42      632.82   Migr      1      0        1277026      19.293541  1.5108182e-05              0      1.3345     -1
    10      8      632.82      790.79   Migr      0      1      1892450.3      287.84602  0.00015210229              0      1.5722     -1
    10      8      632.82      790.79   Migr      1      0      1972676.8      8.3355013  4.2254774e-06              0      1.5288     -1
    10      9      790.79      988.18   Migr      0      1        2831044       533.5117  0.00018845052              0      1.6749     -1
    10      9      790.79      988.18   Migr      1      0      3015277.5      50.021528  1.6589362e-05              0      1.6181     -1
    10     10      988.18      1234.8   Migr      0      1      4211168.8       856.0742   0.0002032866              0      1.8529     -1
    10     10      988.18      1234.8   Migr      1      0      4525681.4      115.01948  2.5414842e-05              0      1.7699     -1
    10     11      1234.8      1543.1   Migr      0      1      6113059.8       1582.839  0.00025892745              0      2.0883     -1
    10     11      1234.8      1543.1   Migr      1      0      6848360.7      276.85124  4.0425913e-05              0      1.9738     -1
    10     12      1543.1      1928.2   Migr      0      1      8748457.2      2009.7898  0.00022973077              0      2.4154     -1
    10     12      1543.1      1928.2   Migr      1      0       10317356      544.46116  5.2771382e-05              0      2.2472     -1
    10     13      1928.2      2409.6   Migr      0      1       12525884      2576.5809  0.00020570052              0      2.7091     -1
    10     13      1928.2      2409.6   Migr      1      0       15316077      950.82075  6.2079916e-05              0      2.5012     -1
    10     14      2409.6        3011   Migr      0      1       17975426      2852.6875  0.00015869929              0      2.8929     -1
