  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      301442.38      52.858803  0.00017535293      2851.3924      1.3913     -1
    10      1         133       166.2   Coal      0     -1      160408.58      3.2936626  2.0532958e-05      24351.095      2.4554     -1
    10      2       166.2      207.68   Coal      0     -1      249431.01      1.3168405  5.2793775e-06      94708.136      2.6201     -1
    10      3      207.68      259.53   Coal      0     -1      390458.47      26.607365  6.8143905e-05      7337.4133      2.8285     -1
    10      4      259.53      324.31   Coal      0     -1      603883.65      19.288407  3.1940601e-05      15654.057      3.4387     -1
    10      5      324.31      405.26   Coal      0     -1      934044.47      67.260216  7.2009651e-05      6943.5137      4.6064     -1
    10      6      405.26      506.42   Coal      0     -1      1446529.3      89.005268  6.1530221e-05      8126.0881       4.462     -1
    10      7      506.42      632.82   Coal      0     -1      2233550.1      106.29954  4.7592188e-05      10505.926      6.8983     -1
    10      8      632.82      790.79   Coal      0     -1      3427442.1      236.23536  6.8924683e-05      7254.2953      8.1543     -1
    10      9      790.79      988.18   Coal      0     -1      5256577.6      246.02561  4.6803381e-05      10682.989      8.5343     -1
    10     10      988.18      1234.8   Coal      0     -1      8088921.6      313.59487   3.876844e-05      12897.088      10.403     -1
    10     11      1234.8      1543.1   Coal      0     -1       12438218      372.67223  2.9961867e-05      16687.879      12.528     -1
    10     12      1543.1      1928.2   Coal      0     -1       19104188      527.85097  2.7630118e-05      18096.195      14.888     -1
    10     13      1928.2      2409.6   Coal      0     -1       29326679      662.39925  2.2586916e-05      22136.709      19.134     -1
    10     14      2409.6        3011   Coal      0     -1       44930335      970.63109  2.1603023e-05      23144.908       20.81     -1
    10     15        3011      3762.6   Coal      0     -1       68434642      1460.7963   2.134586e-05      23423.746      26.016     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.0364475e+08      2321.3562  2.2397238e-05      22324.181      31.555     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.5493392e+08      3950.3099   2.549674e-05       19610.35      34.644     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.3021999e+08       4849.082  2.1062819e-05      23738.513      40.399     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.4123799e+08      6029.4779  1.7669421e-05      28297.474      46.194     -1
    10     20      9174.7       11465   Coal      0     -1  5.0594739e+08      8258.7081  1.6323255e-05      30631.146      59.254     -1
    10     21       11465       14327   Coal      0     -1  7.4104249e+08      12073.336  1.6292367e-05      30689.219      72.673     -1
    10     22       14327       17903   Coal      0     -1  1.0549133e+09      19586.078  1.8566529e-05      26930.181       76.04     -1
    10     23       17903       22372   Coal      0     -1  1.4338995e+09        31549.3  2.2002449e-05      22724.743      96.287     -1
    10     24       22372       27956   Coal      0     -1  1.8226336e+09       46491.15  2.5507677e-05      19601.941       100.7     -1
    10     25       27956       34934   Coal      0     -1  2.1416187e+09       62826.09  2.9335797e-05      17044.023      110.69     -1
    10     26       34934       43654   Coal      0     -1  2.3186607e+09       73145.15  3.1546293e-05      15849.723      117.64     -1
    10     27       43654       54551   Coal      0     -1  2.2725769e+09       79534.64  3.4997558e-05      14286.711      107.36     -1
    10     28       54551       68167   Coal      0     -1  2.0151638e+09       73293.25  3.6370864e-05      13747.267       93.46     -1
    10     29       68167       85183   Coal      0     -1  1.6948038e+09       56768.48  3.3495605e-05      14927.332      79.876     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.6316655e+09       29818.89  1.8275124e-05      27359.595      73.305     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.7003966e+09      29676.112  1.7452464e-05      28649.249      73.466     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  4.3400372e+09       73822.23  1.7009585e-05      29395.192      58.278     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5970586e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -16435119      -16435119              0           1     -1
    10     -1           0       1e+99 Recomb     -1     -1           4257  1.2771004e-05   3.000001e-09              0           1     -1
    10     -1           0       1e+99 Resamp     -1     -1  2.5970586e+09         760516  0.00029283744              0           1     -1
     9      0           0         133   Coal      0     -1      297229.46      54.439118  0.00018315519      2729.9254       1.372     -1
     9      1         133       166.2   Coal      0     -1      160670.26      4.8634132   3.026953e-05      16518.261      2.5091     -1
     9      2       166.2      207.68   Coal      0     -1      250079.58      2.5879417  1.0348473e-05      48316.309      2.6974     -1
     9      3      207.68      259.53   Coal      0     -1       389227.3      24.956325  6.4117613e-05      7798.1693      2.9776     -1
     9      4      259.53      324.31   Coal      0     -1      599662.18      19.752432  3.2939266e-05      15179.452      3.5171     -1
     9      5      324.31      405.26   Coal      0     -1      928988.17      58.922447  6.3426477e-05      7883.1432      4.5952     -1
     9      6      405.26      506.42   Coal      0     -1      1439714.6      80.762698  5.6096326e-05      8913.2397      4.6881     -1
     9      7      506.42      632.82   Coal      0     -1      2229577.2      103.03493  4.6212765e-05      10819.521      6.7871     -1
     9      8      632.82      790.79   Coal      0     -1      3430326.6      229.19217  6.6813513e-05      7483.5161      7.9391     -1
     9      9      790.79      988.18   Coal      0     -1        5272807      230.94983  4.3800167e-05      11415.481      8.6541     -1
     9     10      988.18      1234.8   Coal      0     -1      8097040.7      315.67423  3.8986371e-05      12824.995      10.172     -1
     9     11      1234.8      1543.1   Coal      0     -1       12447958      369.93593  2.9718603e-05      16824.478      12.567     -1
     9     12      1543.1      1928.2   Coal      0     -1       19150671      532.30139  2.7795443e-05       17988.56      13.987     -1
     9     13      1928.2      2409.6   Coal      0     -1       29364439      671.00701  2.2851008e-05      21880.873      19.605     -1
     9     14      2409.6        3011   Coal      0     -1       44961056      992.96815  2.2085072e-05      22639.727      20.672     -1
     9     15        3011      3762.6   Coal      0     -1       68385498      1488.4116  2.1765017e-05      22972.644      26.696     -1
     9     16      3762.6      4701.8   Coal      0     -1  1.0358313e+08      2365.4074  2.2835836e-05       21895.41      31.851     -1
     9     17      4701.8      5875.5   Coal      0     -1  1.5469148e+08       4011.142  2.5929948e-05      19282.723      33.488     -1
     9     18      5875.5      7342.1   Coal      0     -1   2.296301e+08      4890.6317  2.1297869e-05      23476.528      40.306     -1
     9     19      7342.1      9174.7   Coal      0     -1  3.4048796e+08      6077.2228  1.7848569e-05      28013.451      45.811     -1
     9     20      9174.7       11465   Coal      0     -1  5.0489755e+08      8231.6942  1.6303692e-05        30667.9      57.791     -1
     9     21       11465       14327   Coal      0     -1  7.3995512e+08      11977.652  1.6186998e-05      30888.989      70.538     -1
     9     22       14327       17903   Coal      0     -1  1.0545259e+09      19374.255  1.8372478e-05      27214.619      73.088     -1
     9     23       17903       22372   Coal      0     -1  1.4360008e+09       31257.13  2.1766792e-05      22970.771      95.578     -1
     9     24       22372       27956   Coal      0     -1  1.8287288e+09       46203.21  2.5265206e-05      19790.062      99.684     -1
     9     25       27956       34934   Coal      0     -1  2.1520551e+09       62756.18  2.9161047e-05      17146.161      111.75     -1
     9     26       34934       43654   Coal      0     -1  2.3315891e+09       73414.27  3.1486796e-05      15879.672      119.63     -1
     9     27       43654       54551   Coal      0     -1  2.2844318e+09        80019.6  3.5028228e-05      14274.202      109.81     -1
     9     28       54551       68167   Coal      0     -1  2.0185822e+09       73598.65  3.6460566e-05      13713.446      93.094     -1
     9     29       68167       85183   Coal      0     -1   1.695131e+09       57113.02  3.3692392e-05      14840.145      81.269     -1
     9     30       85183  1.0645e+05   Coal      0     -1  1.6253556e+09       29850.74  1.8365667e-05      27224.712       73.01     -1
     9     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.6853946e+09       29682.81  1.7611787e-05      28390.078      71.833     -1
     9     32  1.3302e+05       1e+99   Coal      0     -1  4.2539184e+09       73187.46  1.7204716e-05      29061.799      56.553     -1
     9     -1           0       1e+99  Delay     -1     -1  2.5970586e+09              0              0              0           1     -1
     9     -1           0       1e+99   LogL     -1     -1              1      -16435191      -16435191              0           1     -1
     9     -1           0       1e+99 Recomb     -1     -1           4257  1.2771004e-05   3.000001e-09              0           1     -1
     9     -1           0       1e+99 Resamp     -1     -1  2.5970586e+09         759259  0.00029235343              0           1     -1
     8      0           0         133   Coal      0     -1      306256.46      56.803462  0.00018547678      2695.7552      1.3749     -1
     8      1         133       166.2   Coal      0     -1       160564.8       5.752814  3.5828612e-05      13955.327      2.3051     -1
     8      2       166.2      207.68   Coal      0     -1      250934.39      3.3162675  1.3215676e-05      37833.858      2.7712     -1
     8      3      207.68      259.53   Coal      0     -1      390600.41      23.993943  6.1428362e-05      8139.5627      2.6912     -1
     8      4      259.53      324.31   Coal      0     -1      605539.83       18.76696  3.0992116e-05      16133.135      3.5418     -1
     8      5      324.31      405.26   Coal      0     -1      933546.37      53.921775  5.7760146e-05      8656.4878       4.369     -1
     8      6      405.26      506.42   Coal      0     -1      1447073.4      83.224527  5.7512303e-05      8693.7919      4.5915     -1
     8      7      506.42      632.82   Coal      0     -1      2237234.3      109.47332  4.8932433e-05      10218.172      6.8947     -1
     8      8      632.82      790.79   Coal      0     -1      3443245.3      220.47148  6.4030139e-05      7808.8226      7.4546     -1
     8      9      790.79      988.18   Coal      0     -1      5276451.5      228.20027  4.3248815e-05      11561.011      8.3809     -1
     8     10      988.18      1234.8   Coal      0     -1      8105014.9      306.52203  3.7818811e-05      13220.934      9.4888     -1
     8     11      1234.8      1543.1   Coal      0     -1       12473485      360.35685   2.888983e-05      17307.128      12.116     -1
     8     12      1543.1      1928.2   Coal      0     -1       19152188      536.67301  2.8021498e-05      17843.443      13.709     -1
     8     13      1928.2      2409.6   Coal      0     -1       29354861      681.85945  2.3228161e-05      21525.595      18.688     -1
     8     14      2409.6        3011   Coal      0     -1       44965865      1012.5115  2.2517336e-05      22205.113      20.118     -1
     8     15        3011      3762.6   Coal      0     -1       68377886      1532.7121  2.2415318e-05      22306.175      26.198     -1
     8     16      3762.6      4701.8   Coal      0     -1  1.0334809e+08      2439.9062  2.3608625e-05        21178.7      31.683     -1
     8     17      4701.8      5875.5   Coal      0     -1  1.5421538e+08      4082.2681  2.6471213e-05      18888.443      33.154     -1
     8     18      5875.5      7342.1   Coal      0     -1  2.2886847e+08      4969.5324  2.1713486e-05      23027.164      39.636     -1
     8     19      7342.1      9174.7   Coal      0     -1  3.3911038e+08      6104.1983  1.8000624e-05      27776.815      47.034     -1
     8     20      9174.7       11465   Coal      0     -1  5.0314135e+08      8212.1393  1.6321734e-05          30634      57.023     -1
     8     21       11465       14327   Coal      0     -1  7.3812067e+08       11851.72  1.6056615e-05      31139.813      69.813     -1
     8     22       14327       17903   Coal      0     -1  1.0537197e+09      19100.918  1.8127133e-05      27582.961       73.96     -1
     8     23       17903       22372   Coal      0     -1  1.4371879e+09        30929.3  2.1520707e-05      23233.438      93.888     -1
     8     24       22372       27956   Coal      0     -1  1.8349713e+09      45820.172  2.4970512e-05      20023.618       98.33     -1
     8     25       27956       34934   Coal      0     -1  2.1647935e+09       62640.54  2.8936034e-05      17279.493      110.17     -1
     8     26       34934       43654   Coal      0     -1  2.3438024e+09       73669.35  3.1431553e-05      15907.582      116.12     -1
     8     27       43654       54551   Coal      0     -1  2.2982353e+09       80596.68  3.5068942e-05       14257.63      110.03     -1
     8     28       54551       68167   Coal      0     -1  2.0225868e+09      73978.782  3.6576321e-05      13670.046      92.268     -1
     8     29       68167       85183   Coal      0     -1  1.6916625e+09      57371.993  3.3914561e-05       14742.93      78.942     -1
