  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      319816.82      50.423251  0.00015766291      3171.3229      1.0158     -1
    10      0           0         133   Coal      1     -1      319344.99      18.218329  5.7049052e-05      8764.3875      1.0159     -1
    10      1         133       166.2   Coal      0     -1       174464.5      1.4013782  8.0324548e-06      62247.472      1.0224     -1
    10      1         133       166.2   Coal      1     -1      167863.95  0.00023833966  1.4198382e-09  3.5215279e+08      1.0268     -1
    10      2       166.2      207.68   Coal      0     -1      275806.71      1.2684076  4.5989005e-06      108721.64      1.0336     -1
    10      2       166.2      207.68   Coal      1     -1      262873.15       1.002236   3.812622e-06      131143.34      1.0377     -1
    10      3      207.68      259.53   Coal      0     -1      430683.31      6.4535761  1.4984505e-05      33367.803      1.0947     -1
    10      3      207.68      259.53   Coal      1     -1      413936.57     0.53131917  1.2835763e-06      389536.64      1.1037     -1
    10      4      259.53      324.31   Coal      0     -1      686802.83      3.1661391   4.609968e-06      108460.62      1.1218     -1
    10      4      259.53      324.31   Coal      1     -1      643349.81   0.0005416327  8.4189456e-10   5.938986e+08      1.1296     -1
    10      5      324.31      405.26   Coal      0     -1      1086143.1    0.019361372  1.7825802e-08       28049228      1.1943     -1
    10      5      324.31      405.26   Coal      1     -1      993682.93  5.0101104e-05  5.0419608e-11  9.9167768e+09      1.2066     -1
    10      6      405.26      506.42   Coal      0     -1      1726388.1      43.574607  2.5240331e-05      19809.566      1.3063     -1
    10      6      405.26      506.42   Coal      1     -1      1518125.8      17.918386  1.1802965e-05      42362.235      1.3147     -1
    10      7      506.42      632.82   Coal      0     -1      2769069.6      81.153217  2.9307034e-05      17060.751      1.4155     -1
    10      7      506.42      632.82   Coal      1     -1      2292879.9      26.168921  1.1413123e-05      43809.218       1.423     -1
    10      8      632.82      790.79   Coal      0     -1      4451476.8      215.44207  4.8397886e-05       10331.03      1.5067     -1
    10      8      632.82      790.79   Coal      1     -1      3399068.6      162.32115  4.7754598e-05      10470.196      1.5176     -1
    10      9      790.79      988.18   Coal      0     -1        7131924      532.90175  7.4720616e-05      6691.5937      1.6797     -1
    10      9      790.79      988.18   Coal      1     -1        4911183      198.22801  4.0362579e-05      12387.712      1.6919     -1
    10     10      988.18      1234.8   Coal      0     -1       11396754      906.09386  7.9504553e-05       6288.948       1.792     -1
    10     10      988.18      1234.8   Coal      1     -1      7030635.1      317.40031  4.5145325e-05      11075.344      1.7998     -1
    10     11      1234.8      1543.1   Coal      0     -1       17976672      1851.1672  0.00010297608      4855.4964      2.0315     -1
    10     11      1234.8      1543.1   Coal      1     -1      9755153.1      384.98066  3.9464338e-05      12669.666      2.0511     -1
    10     12      1543.1      1928.2   Coal      0     -1       27761903      3232.0897  0.00011642176      4294.7296      2.2732     -1
    10     12      1543.1      1928.2   Coal      1     -1       13268732      553.05317  4.1680936e-05      11995.892      2.3139     -1
    10     13      1928.2      2409.6   Coal      0     -1       41686014        4479.55   0.0001074593      4652.9243      2.5632     -1
    10     13      1928.2      2409.6   Coal      1     -1       17936469      886.10045  4.9402167e-05      10121.013      2.6416     -1
    10     14      2409.6        3011   Coal      0     -1       60298013        6446.95  0.00010691812      4676.4759      2.7572     -1
    10     14      2409.6        3011   Coal      1     -1       24661010      1274.7316  5.1690161e-05      9673.0208      2.8674     -1
    10     15        3011      3762.6   Coal      0     -1       83160148        7893.52  9.4919505e-05      5267.6213      3.4471     -1
    10     15        3011      3762.6   Coal      1     -1       34630864       2071.309  5.9811068e-05      8359.6568      3.6486     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.1212055e+08        9431.87  8.4122581e-05      5943.7073      3.7117     -1
    10     16      3762.6      4701.8   Coal      1     -1       49753332      3023.3401  6.0766586e-05      8228.2061      3.9278     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4862391e+08        11279.8  7.5894922e-05       6588.056       4.049     -1
    10     17      4701.8      5875.5   Coal      1     -1       72385238      4442.0806  6.1367217e-05      8147.6728      4.2432     -1
    10     18      5875.5      7342.1   Coal      0     -1   2.034318e+08        9755.07  4.7952533e-05      10426.978       5.245     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.0717946e+08      4583.5667  4.2765348e-05      11691.709      5.4918     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.9363244e+08        8781.87  2.9907696e-05      16718.105      6.1745     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.6241388e+08      4656.7173  2.8671917e-05      17438.667      6.4579     -1
    10     20      9174.7       11465   Coal      0     -1  4.3613782e+08        8968.16  2.0562674e-05      24315.903       7.796     -1
    10     20      9174.7       11465   Coal      1     -1  2.5141798e+08      5100.9512  2.0288729e-05      24644.225      8.0643     -1
