  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      306877.64      56.347087  0.00018361418      2723.1012      1.0155     -1
    10      0           0         133   Coal      1     -1       301750.5      107.53847  0.00035638207      1402.9887      1.0183     -1
    10      1         133       166.2   Coal      0     -1      161245.79      4.7438513  2.9420001e-05      16995.241      1.0417     -1
    10      1         133       166.2   Coal      1     -1      157952.92      12.972065  8.2126146e-05      6088.1951      1.0413     -1
    10      2       166.2      207.68   Coal      0     -1      253551.66      10.683805  4.2136601e-05      11866.168      1.0587     -1
    10      2       166.2      207.68   Coal      1     -1      246650.09      20.766703  8.4194996e-05      5938.5952      1.0533     -1
    10      3      207.68      259.53   Coal      0     -1      397751.59      7.9736511  2.0046811e-05      24941.622      1.0691     -1
    10      3      207.68      259.53   Coal      1     -1      381651.83      2.1445676   5.619173e-06      88981.066      1.0662     -1
    10      4      259.53      324.31   Coal      0     -1      629771.65      15.706501  2.4939994e-05       20048.12      1.1202     -1
    10      4      259.53      324.31   Coal      1     -1      597844.69      12.300658  2.0575006e-05      24301.329      1.1144     -1
    10      5      324.31      405.26   Coal      0     -1      997707.88      2.8393373  2.8458604e-06      175693.79      1.2137     -1
    10      5      324.31      405.26   Coal      1     -1       911446.6      67.403975  7.3952742e-05      6761.0745      1.2092     -1
    10      6      405.26      506.42   Coal      0     -1        1568700      26.376049  1.6813954e-05      29737.206      1.3081     -1
    10      6      405.26      506.42   Coal      1     -1      1397161.8      103.10771  7.3797978e-05      6775.2534       1.299     -1
    10      7      506.42      632.82   Coal      0     -1        2470741      60.958504  2.4672154e-05      20265.762      1.3946     -1
    10      7      506.42      632.82   Coal      1     -1      2146050.8      95.804304  4.4642141e-05       11200.18      1.3795     -1
    10      8      632.82      790.79   Coal      0     -1      3884929.7      193.87372  4.9904047e-05      10019.227      1.5904     -1
    10      8      632.82      790.79   Coal      1     -1      3230491.9      240.44864   7.443097e-05      6717.6338       1.577     -1
    10      9      790.79      988.18   Coal      0     -1      6055508.9      578.82229  9.5586068e-05      5230.8878      1.7061     -1
    10      9      790.79      988.18   Coal      1     -1      4803206.5       367.9091  7.6596561e-05      6527.7082       1.701     -1
    10     10      988.18      1234.8   Coal      0     -1      9241178.2      1031.7475  0.00011164675      4478.4106      1.9432     -1
    10     10      988.18      1234.8   Coal      1     -1      7063143.6      331.20034   4.689135e-05      10662.947      1.9512     -1
    10     11      1234.8      1543.1   Coal      0     -1       14058697      1859.4763  0.00013226519      3780.2841      2.2315     -1
    10     11      1234.8      1543.1   Coal      1     -1       10398769      402.30731  3.8687975e-05      12923.912      2.2581     -1
    10     12      1543.1      1928.2   Coal      0     -1       21231827        2297.39  0.00010820501      4620.8582        2.34     -1
    10     12      1543.1      1928.2   Coal      1     -1       15116827      458.86355  3.0354489e-05      16472.028      2.3952     -1
    10     13      1928.2      2409.6   Coal      0     -1       31718510        3520.73  0.00011099922       4504.536      2.6983     -1
    10     13      1928.2      2409.6   Coal      1     -1       21835826      512.33148  2.3462885e-05      21310.252      2.8115     -1
    10     14      2409.6        3011   Coal      0     -1       47267672        4433.96   9.380534e-05       5330.187      3.1024     -1
    10     14      2409.6        3011   Coal      1     -1       31423315      863.47444  2.7478783e-05      18195.857      3.3198     -1
    10     15        3011      3762.6   Coal      0     -1       69956402        5369.36  7.6752947e-05      6514.4079         3.7     -1
    10     15        3011      3762.6   Coal      1     -1       45259650      1355.8577  2.9957317e-05      16690.413      4.0252     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.0106837e+08        7086.93  7.0120156e-05      7130.6174      4.2362     -1
    10     16      3762.6      4701.8   Coal      1     -1       66415693      2403.0368  3.6181761e-05      13819.117      4.5864     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4244711e+08        8998.93  6.3173834e-05      7914.6692      4.8234     -1
    10     17      4701.8      5875.5   Coal      1     -1       96899879      3994.0325  4.1218138e-05      12130.582      5.1854     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.0274596e+08        8441.85  4.1637575e-05      12008.384      5.9192     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.4170096e+08      4627.0963  3.2653953e-05      15312.082      6.3796     -1
    10     19      7342.1      9174.7   Coal      0     -1   2.968506e+08        8326.07  2.8048015e-05      17826.573      6.6998     -1
    10     19      7342.1      9174.7   Coal      1     -1  2.1106158e+08      5282.4546  2.5028025e-05      19977.605      7.0849     -1
    10     20      9174.7       11465   Coal      0     -1  4.4368508e+08        8910.48  2.0082893e-05      24896.812      8.0134     -1
    10     20      9174.7       11465   Coal      1     -1   3.175308e+08      6388.3331  2.0118783e-05      24852.398      8.4434     -1
    10     21       11465       14327   Coal      0     -1  1.9549519e+09       39995.94  2.0458785e-05      24439.379      9.2827     -1
    10     21       11465       14327   Coal      1     -1            122      3.2369172    0.026532108      18.845091           1     -1
    10     22       14327       17903   Coal      0     -1  2.5444404e+09       47972.48  1.8853843e-05      26519.792      11.322     -1
    10     22       14327       17903   Coal      1     -1            122      3.2369844    0.026532659        18.8447           1     -1
    10     23       17903       22372   Coal      0     -1  3.1942705e+09       68227.36  2.1359293e-05      23409.014        13.3     -1
    10     23       17903       22372   Coal      1     -1            122      3.2373206    0.026535415      18.842743           1     -1
    10     24       22372       27956   Coal      0     -1  3.7403376e+09       89512.82  2.3931749e-05      20892.748       14.87     -1
    10     24       22372       27956   Coal      1     -1            122      3.2376767    0.026538334       18.84067           1     -1
    10     25       27956       34934   Coal      0     -1  4.0277653e+09       113235.5  2.8113728e-05      17784.905      16.835     -1
    10     25       27956       34934   Coal      1     -1            122      3.2381855    0.026542504       18.83771           1     -1
    10     26       34934       43654   Coal      0     -1  3.9632492e+09      126255.09   3.185646e-05      15695.404       18.28     -1
    10     26       34934       43654   Coal      1     -1            122       3.238666    0.026546443      18.834915           1     -1
    10     27       43654       54551   Coal      0     -1  3.5477727e+09      130963.27  3.6914222e-05      13544.915      20.804     -1
    10     27       43654       54551   Coal      1     -1            122      3.2393388    0.026551957      18.831004           1     -1
    10     28       54551       68167   Coal      0     -1  2.9116355e+09      113817.05  3.9090419e-05      12790.858      20.297     -1
    10     28       54551       68167   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
    10     29       68167       85183   Coal      0     -1  2.3035381e+09       84867.95  3.6842433e-05      13571.308      20.378     -1
    10     29       68167       85183   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1827533e+09       42632.15  1.9531365e-05       25599.85      21.264     -1
    10     30       85183  1.0645e+05   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2639096e+09       41922.01  1.8517528e-05      27001.444      23.481     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.3913172e+09       98047.35  1.8186159e-05      27493.437       22.54     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.6003738e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -32166670      -32166670              0           1     -1
    10      0           0         133   Migr      0      1      178389.66  0.00022825686  1.2795409e-09              0      1.0222     -1
    10      0           0         133   Migr      1      0       176089.1      1.2121269  6.8835999e-06              0      1.0246     -1
    10      1         133       166.2   Migr      0      1       81510.69  0.00047921062  5.8791138e-09              0      1.0424     -1
    10      1         133       166.2   Migr      1      0       80451.15      2.0017126  2.4881093e-05              0      1.0425     -1
    10      2       166.2      207.68   Migr      0      1      128158.27  0.00042296473  3.3003311e-09              0      1.0598     -1
    10      2       166.2      207.68   Migr      1      0      125718.37      1.0012477  7.9642117e-06              0      1.0555     -1
    10      3      207.68      259.53   Migr      0      1       200813.3  0.00071877278  3.5793087e-09              0      1.0707     -1
    10      3      207.68      259.53   Migr      1      0       194979.5      16.782762  8.6074494e-05              0      1.0688     -1
    10      4      259.53      324.31   Migr      0      1      317006.15    0.092943399  2.9319116e-07              0      1.1224     -1
    10      4      259.53      324.31   Migr      1      0      306199.91      29.911948  9.7687643e-05              0      1.1173     -1
    10      5      324.31      405.26   Migr      0      1      500209.97     0.88063983  1.7605403e-06              0       1.217     -1
    10      5      324.31      405.26   Migr      1      0      469386.84      34.842126  7.4229021e-05              0      1.2138     -1
    10      6      405.26      506.42   Migr      0      1      783161.58      1.2629854  1.6126753e-06              0      1.3119     -1
    10      6      405.26      506.42   Migr      1      0      724006.23      46.863376  6.4727863e-05              0      1.3056     -1
    10      7      506.42      632.82   Migr      0      1      1226872.8      4.2774805  3.4864905e-06              0      1.3994     -1
    10      7      506.42      632.82   Migr      1      0        1119835      64.415717  5.7522509e-05              0      1.3874     -1
    10      8      632.82      790.79   Migr      0      1        1916559      23.885934  1.2462926e-05              0      1.5966     -1
    10      8      632.82      790.79   Migr      1      0      1703276.9        134.392  7.8902026e-05              0       1.586     -1
    10      9      790.79      988.18   Migr      0      1      2968233.5      20.548946  6.9229547e-06              0      1.7129     -1
    10      9      790.79      988.18   Migr      1      0      2582289.3      274.73077  0.00010639039              0       1.711     -1
    10     10      988.18      1234.8   Migr      0      1      4500967.3      63.260732  1.4054919e-05              0      1.9506     -1
    10     10      988.18      1234.8   Migr      1      0      3887017.8      483.24302  0.00012432231              0      1.9617     -1
    10     11      1234.8      1543.1   Migr      0      1      6815448.6      115.54715  1.6953712e-05              0      2.2396     -1
    10     11      1234.8      1543.1   Migr      1      0      5860169.6      796.38177  0.00013589739              0      2.2758     -1
    10     12      1543.1      1928.2   Migr      0      1       10265694      227.14006  2.2126129e-05              0      2.3479     -1
    10     12      1543.1      1928.2   Migr      1      0      8748488.9       984.0966  0.00011248761              0      2.4166     -1
    10     13      1928.2      2409.6   Migr      0      1       15347188      469.75553  3.0608574e-05              0      2.7076     -1
    10     13      1928.2      2409.6   Migr      1      0       12977812      1506.2746  0.00011606537              0      2.8305     -1
    10     14      2409.6        3011   Migr      0      1       22937153      667.78106  2.9113512e-05              0      3.1141     -1
    10     14      2409.6        3011   Migr      1      0       19184062      1985.2322  0.00010348341              0      3.3388     -1
    10     15        3011      3762.6   Migr      0      1       34212310      1093.7254  3.1968767e-05              0      3.7103     -1
    10     15        3011      3762.6   Migr      1      0       28208579       2132.011  7.5580234e-05              0      4.0501     -1
    10     16      3762.6      4701.8   Migr      0      1       50386938      1428.6992  2.8354555e-05              0       4.257     -1
    10     16      3762.6      4701.8   Migr      1      0       41817322      2084.2641  4.9842124e-05              0      4.6194     -1
    10     17      4701.8      5875.5   Migr      0      1       73286669      1633.2185  2.2285342e-05              0      4.8481     -1
    10     17      4701.8      5875.5   Migr      1      0       61621224      2248.7492  3.6493095e-05              0       5.241     -1
    10     18      5875.5      7342.1   Migr      0      1  1.0750535e+08      2175.6828  2.0237903e-05              0      5.9216     -1
    10     18      5875.5      7342.1   Migr      1      0       91125585      2236.9592  2.4548092e-05              0      6.4317     -1
    10     19      7342.1      9174.7   Migr      0      1  1.6091549e+08      2818.9664  1.7518303e-05              0      6.7039     -1
    10     19      7342.1      9174.7   Migr      1      0  1.3653918e+08      2807.6288  2.0562807e-05              0      7.1672     -1
    10     20      9174.7       11465   Migr      0      1  2.4464967e+08        4010.72  1.6393728e-05              0      8.0353     -1
    10     20      9174.7       11465   Migr      1      0  2.0668432e+08      3822.4103  1.8493954e-05              0      8.5334     -1
    10     21       11465       14327   Migr      0      1   6.577812e+08              0              0              0      9.5557     -1
    10     21       11465       14327   Migr      1      0            122      3.2373206    0.026535415              0           1     -1
    10     22       14327       17903   Migr      0      1  9.2311512e+08              0              0              0       11.68     -1
    10     22       14327       17903   Migr      1      0            122      3.2373206    0.026535415              0           1     -1
    10     23       17903       22372   Migr      0      1  1.2731674e+09              0              0              0      13.799     -1
    10     23       17903       22372   Migr      1      0            122      3.2373206    0.026535415              0           1     -1
    10     24       22372       27956   Migr      0      1  1.6965617e+09              0              0              0      15.505     -1
