  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      352123.09      51.754583  0.00014697867      3401.8542      1.0178     -1
    10      0           0         133   Coal      1     -1      338530.33      40.322303  0.00011910987       4197.805      1.0178     -1
    10      1         133       166.2   Coal      0     -1      197627.19      2.9741373  1.5049232e-05      33224.288      1.0445     -1
    10      1         133       166.2   Coal      1     -1      176980.31      2.7846734  1.5734369e-05       31777.57      1.0456     -1
    10      2       166.2      207.68   Coal      0     -1      317711.58     0.21345473  6.7185063e-07      744213.04      1.0557     -1
    10      2       166.2      207.68   Coal      1     -1      271931.21      5.1169251  1.8816984e-05       26571.74      1.0537     -1
    10      3      207.68      259.53   Coal      0     -1      512490.91    0.012098315  2.3606888e-08       21180259       1.057     -1
    10      3      207.68      259.53   Coal      1     -1      417526.27  9.7614267e-05  2.3379192e-10  2.1386539e+09      1.0526     -1
    10      4      259.53      324.31   Coal      0     -1         834180      7.5263859  9.0224962e-06      55417.036      1.1436     -1
    10      4      259.53      324.31   Coal      1     -1      637311.57      8.4158611  1.3205254e-05      37863.717      1.1342     -1
    10      5      324.31      405.26   Coal      0     -1      1403654.1      6.0319051  4.2972874e-06      116352.47       1.256     -1
    10      5      324.31      405.26   Coal      1     -1      925150.59      11.525704  1.2458192e-05      40134.234      1.2387     -1
    10      6      405.26      506.42   Coal      0     -1      2337148.6      28.985107   1.240191e-05       40316.37      1.3234     -1
    10      6      405.26      506.42   Coal      1     -1      1337220.5      25.172164  1.8824243e-05      26561.492      1.2991     -1
    10      7      506.42      632.82   Coal      0     -1      3915343.6      96.988293  2.4771336e-05      20184.619      1.4027     -1
    10      7      506.42      632.82   Coal      1     -1      1889818.6      53.549576  2.8335829e-05      17645.504      1.3737     -1
    10      8      632.82      790.79   Coal      0     -1      6440113.4      340.56445  5.2881747e-05      9455.0584      1.5263     -1
    10      8      632.82      790.79   Coal      1     -1      2678122.4      172.34352  6.4352368e-05      7769.7219      1.4809     -1
    10      9      790.79      988.18   Coal      0     -1       10047394      1021.6975  0.00010168781      4917.0104       1.716     -1
    10      9      790.79      988.18   Coal      1     -1        3788032      383.26488  0.00010117784      4941.7937      1.6553     -1
    10     10      988.18      1234.8   Coal      0     -1       14938309        2226.49  0.00014904565      3354.6768      1.8275     -1
    10     10      988.18      1234.8   Coal      1     -1      5278498.5      710.79932  0.00013465938      3713.0723      1.7582     -1
    10     11      1234.8      1543.1   Coal      0     -1       21311835        3756.06  0.00017624292      2836.9934      2.0338     -1
    10     11      1234.8      1543.1   Coal      1     -1      6929335.3      1232.7774  0.00017790702      2810.4569      1.9739     -1
    10     12      1543.1      1928.2   Coal      0     -1       29093683      5222.2313  0.00017949709      2785.5605      2.2455     -1
    10     12      1543.1      1928.2   Coal      1     -1      8973957.1       1720.821  0.00019175721      2607.4639      2.1946     -1
    10     13      1928.2      2409.6   Coal      0     -1       37833585       6628.745  0.00017520795      2853.7517      2.3549     -1
    10     13      1928.2      2409.6   Coal      1     -1       11829934      2278.5053  0.00019260507      2595.9857      2.3276     -1
    10     14      2409.6        3011   Coal      0     -1       47822136      7659.8483   0.0001601737      3121.6111       2.615     -1
    10     14      2409.6        3011   Coal      1     -1       16037962      2799.3294  0.00017454396      2864.6079      2.6263     -1
    10     15        3011      3762.6   Coal      0     -1       59377120        8413.76  0.00014170037      3528.5723      3.0837     -1
    10     15        3011      3762.6   Coal      1     -1       22162001      3487.0885  0.00015734538      3177.7227      3.1619     -1
    10     16      3762.6      4701.8   Coal      0     -1       75726904        8403.21   0.0001109673       4505.832      3.3776     -1
    10     16      3762.6      4701.8   Coal      1     -1       31120217           4060  0.00013046182       3832.539       3.467     -1
    10     17      4701.8      5875.5   Coal      0     -1       99722555        9232.63  9.2583168e-05      5400.5497      3.8665     -1
    10     17      4701.8      5875.5   Coal      1     -1       44578626      4659.6631  0.00010452685      4783.4602       4.031     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.3724234e+08        7604.12  5.5406516e-05      9024.2093      5.4522     -1
    10     18      5875.5      7342.1   Coal      1     -1       66800474      4269.9833  6.3921453e-05      7822.1001      5.7247     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.0126917e+08        6685.19  3.3215171e-05      15053.362      5.9185     -1
    10     19      7342.1      9174.7   Coal      1     -1   1.045705e+08      3891.2135   3.721139e-05      13436.746      6.1493     -1
    10     20      9174.7       11465   Coal      0     -1  3.0282294e+08        6760.72  2.2325653e-05      22395.761      7.3689     -1
    10     20      9174.7       11465   Coal      1     -1  1.6816175e+08      3987.0312  2.3709501e-05      21088.593       7.555     -1
    10     21       11465       14327   Coal      0     -1  1.1925268e+09        28048.6   2.352031e-05      21258.224      8.8242     -1
    10     21       11465       14327   Coal      1     -1            121      3.2361106    0.026744716      18.695282           1     -1
    10     22       14327       17903   Coal      0     -1  1.6042001e+09       32543.41  2.0286378e-05      24647.081      10.374     -1
    10     22       14327       17903   Coal      1     -1            121      3.2361772    0.026745266      18.694897           1     -1
    10     23       17903       22372   Coal      0     -1  2.1061676e+09       45509.21  2.1607591e-05      23140.015      12.724     -1
    10     23       17903       22372   Coal      1     -1            121      3.2365108    0.026748023       18.69297           1     -1
    10     24       22372       27956   Coal      0     -1  2.5996316e+09       62415.99  2.4009552e-05      20825.045      14.733     -1
    10     24       22372       27956   Coal      1     -1            121      3.2368639    0.026750941      18.690931           1     -1
    10     25       27956       34934   Coal      0     -1  2.9531923e+09        82542.7   2.795033e-05      17888.876      17.266     -1
    10     25       27956       34934   Coal      1     -1            121      3.2373682    0.026755109       18.68802           1     -1
    10     26       34934       43654   Coal      0     -1  3.0567185e+09       96157.59  3.1457783e-05      15894.318      19.863     -1
    10     26       34934       43654   Coal      1     -1            121      3.2378444    0.026759045      18.685271           1     -1
    10     27       43654       54551   Coal      0     -1  2.8469777e+09      103029.89  3.6189215e-05      13816.271      21.345     -1
    10     27       43654       54551   Coal      1     -1            121      3.2385114    0.026764557      18.681423           1     -1
    10     28       54551       68167   Coal      0     -1  2.4128091e+09       92048.08  3.8149757e-05      13106.243      22.959     -1
    10     28       54551       68167   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     29       68167       85183   Coal      0     -1  1.9513406e+09       70058.49  3.5902749e-05       13926.51      24.813     -1
    10     29       68167       85183   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1   1.854347e+09       35391.56  1.9085727e-05      26197.587       25.68     -1
    10     30       85183  1.0645e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.9166886e+09       35172.28  1.8350545e-05      27247.148      27.079     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  4.4938395e+09        82444.3  1.8346071e-05      27253.791      27.837     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5990364e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -25182243      -25182243              0           1     -1
    10      0           0         133   Migr      0      1      196608.05      26.578266  0.00013518402              0      1.0272     -1
    10      0           0         133   Migr      1      0      196298.87      67.409359  0.00034340167              0      1.0266     -1
    10      1         133       166.2   Migr      0      1       94947.54      14.382536  0.00015147876              0       1.045     -1
    10      1         133       166.2   Migr      1      0       91318.51      41.285618  0.00045210569              0      1.0469     -1
    10      2       166.2      207.68   Migr      0      1      150861.84      44.667317  0.00029608095              0      1.0566     -1
    10      2       166.2      207.68   Migr      1      0      141351.37      97.340032  0.00068863876              0      1.0553     -1
    10      3      207.68      259.53   Migr      0      1      239020.11      65.889881  0.00027566668              0      1.0575     -1
    10      3      207.68      259.53   Migr      1      0       218272.6      122.67532  0.00056202804              0      1.0549     -1
    10      4      259.53      324.31   Migr      0      1      381219.61      34.928727  9.1623636e-05              0       1.143     -1
    10      4      259.53      324.31   Migr      1      0      335560.56      173.02961  0.00051564347              0      1.1384     -1
    10      5      324.31      405.26   Migr      0      1      618745.63      62.482589  0.00010098268              0       1.254     -1
    10      5      324.31      405.26   Migr      1      0      501567.59      379.75751  0.00075714125              0      1.2456     -1
    10      6      405.26      506.42   Migr      0      1      995098.19      143.15178  0.00014385694              0      1.3214     -1
    10      6      405.26      506.42   Migr      1      0      747366.38      365.92516   0.0004896195              0      1.3073     -1
