  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      354218.76  0.00068063896  1.9215215e-09  2.6021047e+08      1.0167     -1
    10      0           0         133   Coal      1     -1       312161.3      37.392045  0.00011978437      4174.1673       1.014     -1
    10      1         133       166.2   Coal      0     -1      193298.68      1.0002087  5.1744208e-06      96629.173      1.0316     -1
    10      1         133       166.2   Coal      1     -1      158909.59      24.218041  0.00015240138      3280.8102      1.0268     -1
    10      2       166.2      207.68   Coal      0     -1      302989.66  0.00013577335  4.4811217e-10  1.1157921e+09      1.0764     -1
    10      2       166.2      207.68   Coal      1     -1      244283.47      17.013634  6.9647094e-05      7179.0505      1.0667     -1
    10      3      207.68      259.53   Coal      0     -1       476978.8    0.076384529   1.601424e-07      3122221.2      1.0726     -1
    10      3      207.68      259.53   Coal      1     -1      379807.41      3.6722425  9.6686962e-06      51713.281      1.0644     -1
    10      4      259.53      324.31   Coal      0     -1      748749.67   6.089372e-05  8.1327208e-11   6.148004e+09      1.1122     -1
    10      4      259.53      324.31   Coal      1     -1      592088.92      11.073539  1.8702493e-05      26734.404      1.1037     -1
    10      5      324.31      405.26   Coal      0     -1      1187635.2      13.042265   1.098171e-05      45530.251      1.2016     -1
    10      5      324.31      405.26   Coal      1     -1      902019.49      73.317505  8.1281508e-05      6151.4606      1.1963     -1
    10      6      405.26      506.42   Coal      0     -1      1879331.7      11.611876  6.1787263e-06      80922.827      1.2767     -1
    10      6      405.26      506.42   Coal      1     -1      1381553.3      16.124632  1.1671379e-05       42839.84      1.2672     -1
    10      7      506.42      632.82   Coal      0     -1      3014640.2      106.96791  3.5482811e-05       14091.33      1.4386     -1
    10      7      506.42      632.82   Coal      1     -1      2078946.5      98.228882  4.7249356e-05      10582.155      1.4308     -1
    10      8      632.82      790.79   Coal      0     -1      4866217.2      241.31766  4.9590401e-05      10082.597      1.4892     -1
    10      8      632.82      790.79   Coal      1     -1      3064877.1      129.78131  4.2344702e-05      11807.853      1.4803     -1
    10      9      790.79      988.18   Coal      0     -1      7758742.4      678.71587  8.7477562e-05      5715.7514        1.66     -1
    10      9      790.79      988.18   Coal      1     -1      4485200.6      153.38546  3.4198126e-05      14620.684      1.6588     -1
    10     10      988.18      1234.8   Coal      0     -1       12225317      1253.9388  0.00010256902      4874.7665       1.814     -1
    10     10      988.18      1234.8   Coal      1     -1      6363322.5      210.87101  3.3138507e-05      15088.187      1.8212     -1
    10     11      1234.8      1543.1   Coal      0     -1       19014028      2239.0127  0.00011775583      4246.0742       2.038     -1
    10     11      1234.8      1543.1   Coal      1     -1      8733428.2       270.5202  3.0975259e-05      16141.915      2.0707     -1
    10     12      1543.1      1928.2   Coal      0     -1       29068864        3756.12  0.00012921454      3869.5335      2.2406     -1
    10     12      1543.1      1928.2   Coal      1     -1       11757986      333.09193  2.8328995e-05      17649.761      2.3038     -1
    10     13      1928.2      2409.6   Coal      0     -1       43681699         4924.2  0.00011272913      4435.4108      2.4357     -1
    10     13      1928.2      2409.6   Coal      1     -1       15633861       584.6311  3.7395184e-05      13370.706      2.5247     -1
    10     14      2409.6        3011   Coal      0     -1       63427129        6510.06  0.00010263842      4871.4704      2.8057     -1
    10     14      2409.6        3011   Coal      1     -1       21196293      854.57399  4.0317144e-05      12401.672      2.9366     -1
    10     15        3011      3762.6   Coal      0     -1       88890700         7846.5  8.8271327e-05      5664.3535       3.261     -1
    10     15        3011      3762.6   Coal      1     -1       29839953      1413.5171  4.7369949e-05      10555.215      3.4535     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.2103517e+08        9709.34  8.0219166e-05      6232.9244      3.6372     -1
    10     16      3762.6      4701.8   Coal      1     -1       43349618      2254.8467  5.2015376e-05      9612.5423      3.9174     -1
    10     17      4701.8      5875.5   Coal      0     -1   1.619653e+08       11067.37  6.8331736e-05      7317.2442      4.3568     -1
    10     17      4701.8      5875.5   Coal      1     -1       63656774      3463.3476  5.4406583e-05      9190.0643      4.6993     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.2254091e+08        9924.31   4.459544e-05      11211.909      4.9104     -1
    10     18      5875.5      7342.1   Coal      1     -1       95453373      3899.0308  4.0847491e-05      12240.654      5.1906     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1962817e+08        8960.84  2.8035201e-05      17834.722      6.0738     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.4667852e+08      4093.4238  2.7907452e-05      17916.362      6.3916     -1
    10     20      9174.7       11465   Coal      0     -1  4.7116954e+08        9425.65  2.0004795e-05      24994.008      7.5915     -1
    10     20      9174.7       11465   Coal      1     -1  2.2929448e+08      4572.0099  1.9939468e-05      25075.895      8.1023     -1
    10     21       11465       14327   Coal      0     -1  1.7396915e+09       36385.88  2.0915133e-05      23906.135      8.9572     -1
    10     21       11465       14327   Coal      1     -1            124      3.2384927    0.026116877      19.144709           1     -1
    10     22       14327       17903   Coal      0     -1  2.2894207e+09       43328.49  1.8925526e-05      26419.346      10.599     -1
    10     22       14327       17903   Coal      1     -1            124      3.2385612    0.026117429      19.144304           1     -1
    10     23       17903       22372   Coal      0     -1  2.9177944e+09       61149.04  2.0957282e-05      23858.056      12.246     -1
    10     23       17903       22372   Coal      1     -1            124      3.2389033    0.026120188      19.142282           1     -1
    10     24       22372       27956   Coal      0     -1  3.4767691e+09       82363.84  2.3689764e-05      21106.162      14.285     -1
    10     24       22372       27956   Coal      1     -1            124      3.2392656     0.02612311      19.140141           1     -1
    10     25       27956       34934   Coal      0     -1  3.7945376e+09      105490.38  2.7800589e-05      17985.231      16.026     -1
    10     25       27956       34934   Coal      1     -1            124      3.2397831    0.026127283      19.137084           1     -1
    10     26       34934       43654   Coal      0     -1  3.7827603e+09      119493.57  3.1588988e-05      15828.301      18.247     -1
    10     26       34934       43654   Coal      1     -1            124       3.240272    0.026131226      19.134196           1     -1
    10     27       43654       54551   Coal      0     -1  3.4073079e+09       125485.2  3.6828254e-05      13576.533      20.859     -1
    10     27       43654       54551   Coal      1     -1            124      3.2409561    0.026136743      19.130157           1     -1
    10     28       54551       68167   Coal      0     -1  2.8132351e+09      109130.45  3.8791799e-05      12889.322      21.035     -1
