  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      352813.42  0.00050874738  1.4419729e-09  3.4674716e+08      1.0188     -1
    10      0           0         133   Coal      1     -1      306842.83      15.525748  5.0598375e-05      9881.7403      1.0136     -1
    10      1         133       166.2   Coal      0     -1      194875.65  0.00043138258    2.21363e-09  2.2587334e+08      1.0394     -1
    10      1         133       166.2   Coal      1     -1      162329.92      3.0023414  1.8495305e-05      27033.887      1.0339     -1
    10      2       166.2      207.68   Coal      0     -1      300508.04  0.00013683845  4.5535703e-10  1.0980395e+09      1.0896     -1
    10      2       166.2      207.68   Coal      1     -1      254366.53       7.679208  3.0189538e-05      16562.029      1.0848     -1
    10      3      207.68      259.53   Coal      0     -1      471387.77      1.2774656  2.7100101e-06      184501.16      1.0837     -1
    10      3      207.68      259.53   Coal      1     -1      393072.66      2.0134734   5.122395e-06       97610.59      1.0804     -1
    10      4      259.53      324.31   Coal      0     -1       749327.8      3.7113393  4.9528915e-06      100951.13      1.1271     -1
    10      4      259.53      324.31   Coal      1     -1      606209.41      9.5811834  1.5805072e-05      31635.414      1.1258     -1
    10      5      324.31      405.26   Coal      0     -1      1197167.2     0.70003648  5.8474414e-07      855074.84        1.22     -1
    10      5      324.31      405.26   Coal      1     -1      918268.41      11.070102   1.205541e-05      41475.156      1.2241     -1
    10      6      405.26      506.42   Coal      0     -1      1901840.7      18.232487  9.5867584e-06      52155.273      1.3384     -1
    10      6      405.26      506.42   Coal      1     -1      1393505.5      73.832529  5.2983305e-05      9436.9349      1.3497     -1
    10      7      506.42      632.82   Coal      0     -1      3035144.5      89.595771  2.9519441e-05       16937.99      1.3865     -1
    10      7      506.42      632.82   Coal      1     -1      2102580.6      46.429076  2.2081948e-05      22642.929      1.3931     -1
    10      8      632.82      790.79   Coal      0     -1      4828491.2      303.87776  6.2934309e-05       7944.792      1.5325     -1
    10      8      632.82      790.79   Coal      1     -1      3135212.1      94.762889  3.0225352e-05      16542.405      1.5383     -1
    10      9      790.79      988.18   Coal      0     -1      7536008.3      633.29108  8.4035348e-05      5949.8772      1.6557     -1
    10      9      790.79      988.18   Coal      1     -1      4607120.4      154.94639  3.3631939e-05       14866.82      1.6712     -1
    10     10      988.18      1234.8   Coal      0     -1       11712968      1524.1263  0.00013012298      3842.5189      1.8585     -1
    10     10      988.18      1234.8   Coal      1     -1      6601024.7      162.99624  2.4692567e-05      20249.009      1.8981     -1
    10     11      1234.8      1543.1   Coal      0     -1       18091224      2126.8064  0.00011756012      4253.1429      2.1519     -1
    10     11      1234.8      1543.1   Coal      1     -1      9200903.3      210.52014  2.2880377e-05      21852.787      2.2459     -1
    10     12      1543.1      1928.2   Coal      0     -1       27781742        3159.45  0.00011372397      4396.6105      2.2209     -1
    10     12      1543.1      1928.2   Coal      1     -1       12737695      249.54182  1.9590814e-05      25522.166      2.3356     -1
    10     13      1928.2      2409.6   Coal      0     -1       41831519        4479.19  0.00010707692      4669.5405      2.5167     -1
    10     13      1928.2      2409.6   Coal      1     -1       17331903      367.94972   2.122962e-05      23551.999      2.6909     -1
    10     14      2409.6        3011   Coal      0     -1       62074864        6191.01  9.9734573e-05      5013.3067      2.6762     -1
    10     14      2409.6        3011   Coal      1     -1       23806595      640.22473  2.6892746e-05      18592.374      2.8805     -1
    10     15        3011      3762.6   Coal      0     -1       88343849        7470.37  8.4560159e-05      5912.9501      3.2167     -1
    10     15        3011      3762.6   Coal      1     -1       33881208       1033.051  3.0490383e-05      16398.613      3.4921     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.2227693e+08        8870.24  7.2542219e-05      6892.5379      3.8219     -1
    10     16      3762.6      4701.8   Coal      1     -1       50081369      1906.8337  3.8074713e-05      13132.076       4.164     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.6665357e+08       11224.22  6.7350614e-05      7423.8373      4.8659     -1
    10     17      4701.8      5875.5   Coal      1     -1       73597729      3209.2225  4.3604912e-05      11466.598       5.373     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.3013773e+08       10166.37  4.4175155e-05      11318.579      5.0947     -1
    10     18      5875.5      7342.1   Coal      1     -1   1.098437e+08      3780.0682  3.4413155e-05      14529.328      5.5326     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.3092724e+08        9083.14  2.7447544e-05      18216.566      6.6459     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.6827229e+08      4087.6565  2.4291916e-05      20582.979      7.2394     -1
    10     20      9174.7       11465   Coal      0     -1  4.8736522e+08      9887.4085  2.0287473e-05      24645.751      8.2243     -1
    10     20      9174.7       11465   Coal      1     -1  2.6115754e+08      4827.2218  1.8483946e-05      27050.502      8.9488     -1
    10     21       11465       14327   Coal      0     -1  1.8641058e+09       38404.46  2.0602082e-05      24269.392      8.8896     -1
    10     21       11465       14327   Coal      1     -1            125       3.239262    0.025914096      19.294518           1     -1
    10     22       14327       17903   Coal      0     -1  2.4429972e+09       45631.63  1.8678544e-05      26768.682      10.404     -1
    10     22       14327       17903   Coal      1     -1            125       3.239331    0.025914648      19.294107           1     -1
    10     23       17903       22372   Coal      0     -1  3.0910242e+09       64799.08  2.0963627e-05      23850.834      12.825     -1
    10     23       17903       22372   Coal      1     -1            125      3.2396761    0.025917409      19.292052           1     -1
    10     24       22372       27956   Coal      0     -1  3.6508283e+09       86337.71    2.36488e-05      21142.722      14.337     -1
    10     24       22372       27956   Coal      1     -1            125      3.2400416    0.025920333      19.289876           1     -1
    10     25       27956       34934   Coal      0     -1  3.9544757e+09      109884.97  2.7787494e-05      17993.706      15.638     -1
    10     25       27956       34934   Coal      1     -1            125      3.2405635    0.025924508      19.286769           1     -1
    10     26       34934       43654   Coal      0     -1  3.9145142e+09      123885.26  3.1647672e-05       15798.95      17.928     -1
    10     26       34934       43654   Coal      1     -1            125      3.2410565    0.025928452      19.283835           1     -1
    10     27       43654       54551   Coal      0     -1   3.508362e+09       128796.7  3.6711348e-05      13619.767      19.879     -1
    10     27       43654       54551   Coal      1     -1            125      3.2417467    0.025933974      19.279729           1     -1
    10     28       54551       68167   Coal      0     -1  2.8828468e+09      112318.43  3.8960943e-05      12833.365      20.576     -1
    10     28       54551       68167   Coal      1     -1            125       3.242156    0.025937248      19.277296           1     -1
    10     29       68167       85183   Coal      0     -1    2.28953e+09       83852.17  3.6624185e-05      13652.181      21.403     -1
    10     29       68167       85183   Coal      1     -1            125       3.242156    0.025937248      19.277296           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1680191e+09        42409.2  1.9561266e-05      25560.717      22.084     -1
    10     30       85183  1.0645e+05   Coal      1     -1            125      3.2401938     0.02592155       19.28897           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2430332e+09       41544.73  1.8521674e-05        26995.4      23.579     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            125      3.2401938     0.02592155       19.28897           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.3447449e+09       97473.58  1.8237274e-05      27416.377      23.045     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            125      3.2401938     0.02592155       19.28897           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5994469e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -31691942      -31691942              0           1     -1
    10      0           0         133   Migr      0      1      193960.95  0.00021085841  1.0871179e-09              0      1.0271     -1
    10      0           0         133   Migr      1      0      181848.21      78.368897  0.00043095776              0      1.0233     -1
    10      1         133       166.2   Migr      0      1       91857.49      1.0004407  1.0891226e-05              0      1.0377     -1
    10      1         133       166.2   Migr      1      0       84490.25      1.5613752  1.8479945e-05              0      1.0349     -1
    10      2       166.2      207.68   Migr      0      1      141400.11      3.3633863  2.3786306e-05              0      1.0875     -1
    10      2       166.2      207.68   Migr      1      0      132197.15      8.9918289  6.8018327e-05              0       1.086     -1
    10      3      207.68      259.53   Migr      0      1      221560.03      2.0007223  9.0301588e-06              0       1.082     -1
    10      3      207.68      259.53   Migr      1      0      204213.87      5.9383141  2.9078897e-05              0      1.0814     -1
    10      4      259.53      324.31   Migr      0      1      350998.78  0.00011715172  3.3376674e-10              0      1.1248     -1
    10      4      259.53      324.31   Migr      1      0      315303.17      45.599263  0.00014462038              0      1.1273     -1
    10      5      324.31      405.26   Migr      0      1      556439.25  0.00011563418  2.0781096e-10              0      1.2171     -1
    10      5      324.31      405.26   Migr      1      0      481548.95      89.354922   0.0001855573              0      1.2255     -1
    10      6      405.26      506.42   Migr      0      1      875766.23      5.3776219  6.1404765e-06              0      1.3341     -1
    10      6      405.26      506.42   Migr      1      0      737452.36      63.398303  8.5969354e-05              0      1.3509     -1
    10      7      506.42      632.82   Migr      0      1      1381619.5      13.404371  9.7019268e-06              0      1.3811     -1
    10      7      506.42      632.82   Migr      1      0      1125421.8      211.27217   0.0001877271              0      1.3957     -1
    10      8      632.82      790.79   Migr      0      1      2168460.4      42.276049  1.9495882e-05              0      1.5259     -1
    10      8      632.82      790.79   Migr      1      0      1709297.5      259.32687  0.00015171547              0      1.5404     -1
    10      9      790.79      988.18   Migr      0      1      3345195.8      40.951326  1.2241832e-05              0      1.6485     -1
    10      9      790.79      988.18   Migr      1      0      2569834.2      483.10128  0.00018798928              0      1.6739     -1
    10     10      988.18      1234.8   Migr      0      1      5128779.4      82.804039   1.614498e-05              0      1.8518     -1
    10     10      988.18      1234.8   Migr      1      0        3807245      886.71714  0.00023290257              0      1.9007     -1
    10     11      1234.8      1543.1   Migr      0      1      7812877.3       184.9386  2.3670997e-05              0      2.1455     -1
    10     11      1234.8      1543.1   Migr      1      0      5551057.4      1312.8835  0.00023651053              0      2.2445     -1
    10     12      1543.1      1928.2   Migr      0      1       11874011      430.41537  3.6248524e-05              0       2.214     -1
    10     12      1543.1      1928.2   Migr      1      0      8060221.4      1891.5378  0.00023467567              0      2.3391     -1
    10     13      1928.2      2409.6   Migr      0      1       17783849      700.98023  3.9416676e-05              0      2.5125     -1
    10     13      1928.2      2409.6   Migr      1      0       11527675      2367.9752  0.00020541655              0      2.6902     -1
    10     14      2409.6        3011   Migr      0      1       26483905      999.32452  3.7733277e-05              0      2.6803     -1
    10     14      2409.6        3011   Migr      1      0       16554609      2915.7387  0.00017612852              0      2.8809     -1
    10     15        3011      3762.6   Migr      0      1       38608376      1620.5175  4.1973212e-05              0      3.2208     -1
    10     15        3011      3762.6   Migr      1      0       24067359      2382.5169    9.89937e-05              0      3.4905     -1
    10     16      3762.6      4701.8   Migr      0      1       55483469      1750.5698  3.1551196e-05              0      3.8245     -1
    10     16      3762.6      4701.8   Migr      1      0       35638649      2315.7101  6.4977495e-05              0      4.1528     -1
    10     17      4701.8      5875.5   Migr      0      1       79177003      2049.8668  2.5889674e-05              0      4.8679     -1
    10     17      4701.8      5875.5   Migr      1      0       52564680      2259.9488  4.2993676e-05              0      5.3299     -1
    10     18      5875.5      7342.1   Migr      0      1  1.1429584e+08      2415.3549  2.1132484e-05              0      5.1061     -1
    10     18      5875.5      7342.1   Migr      1      0       78237916       2090.915  2.6725086e-05              0      5.5171     -1
    10     19      7342.1      9174.7   Migr      0      1   1.696043e+08      3107.3957  1.8321444e-05              0       6.633     -1
    10     19      7342.1      9174.7   Migr      1      0  1.1857959e+08      2457.4577   2.072412e-05              0       7.194     -1
    10     20      9174.7       11465   Migr      0      1  2.5607015e+08      4255.5043   1.661851e-05              0      8.2127     -1
    10     20      9174.7       11465   Migr      1      0  1.8230014e+08      3310.9319  1.8161982e-05              0      8.8629     -1
    10     21       11465       14327   Migr      0      1  6.3909342e+08              0              0              0      9.0612     -1
    10     21       11465       14327   Migr      1      0            125      3.2396761    0.025917409              0           1     -1
    10     22       14327       17903   Migr      0      1  9.0082189e+08              0              0              0      10.643     -1
    10     22       14327       17903   Migr      1      0            125      3.2396761    0.025917409              0           1     -1
    10     23       17903       22372   Migr      0      1  1.2479008e+09              0              0              0      13.156     -1
    10     23       17903       22372   Migr      1      0            125      3.2396761    0.025917409              0           1     -1
    10     24       22372       27956   Migr      0      1  1.6703246e+09              0              0              0      14.785     -1
    10     24       22372       27956   Migr      1      0            125      3.2396761    0.025917409              0           1     -1
    10     25       27956       34934   Migr      0      1  2.1426949e+09              0              0              0      16.173     -1
    10     25       27956       34934   Migr      1      0            125      3.2396761    0.025917409              0           1     -1
    10     26       34934       43654   Migr      0      1  2.6153749e+09              0              0              0      18.423     -1
    10     26       34934       43654   Migr      1      0            125      3.2396761    0.025917409              0           1     -1
    10     27       43654       54551   Migr      0      1  2.9514014e+09              0              0              0      19.806     -1
    10     27       43654       54551   Migr      1      0            125      3.2396761    0.025917409              0           1     -1
    10     28       54551       68167   Migr      0      1  2.9911857e+09              0              0              0      19.503     -1
    10     28       54551       68167   Migr      1      0            125      3.2396761    0.025917409              0           1     -1
    10     29       68167       85183   Migr      0      1  2.7504772e+09              0              0              0      19.276     -1
