  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      296194.18      40.050232  0.00013521613      3697.7836      1.4963     -1
    10      1         133       166.2   Coal      0     -1      160650.03        5.36325  3.3384681e-05      14976.929      2.2625     -1
    10      2       166.2      207.68   Coal      0     -1      251069.09      1.3284962  5.2913571e-06      94493.718      2.7951     -1
    10      3      207.68      259.53   Coal      0     -1      393306.13      8.4680068   2.153032e-05      23223.064      3.0589     -1
    10      4      259.53      324.31   Coal      0     -1      615311.15      11.882162  1.9310819e-05      25892.221      3.6128     -1
    10      5      324.31      405.26   Coal      0     -1      960121.66      28.113656  2.9281347e-05      17075.717      4.0085     -1
    10      6      405.26      506.42   Coal      0     -1        1488664      67.378258   4.526089e-05      11047.065      4.9663     -1
    10      7      506.42      632.82   Coal      0     -1      2309996.6      113.74039  4.9238337e-05      10154.689      5.7304     -1
    10      8      632.82      790.79   Coal      0     -1      3541032.9      266.07338  7.5140049e-05      6654.2411      6.4232     -1
    10      9      790.79      988.18   Coal      0     -1      5383021.9      334.85597  6.2205945e-05      8037.8169      8.8661     -1
    10     10      988.18      1234.8   Coal      0     -1      8207613.1      426.97784  5.2022169e-05      9611.2871      10.918     -1
    10     11      1234.8      1543.1   Coal      0     -1       12495823      649.97087  5.2015051e-05      9612.6024      11.986     -1
    10     12      1543.1      1928.2   Coal      0     -1       18917498        829.142  4.3829369e-05      11407.876      16.051     -1
    10     13      1928.2      2409.6   Coal      0     -1       28680973      1110.9455  3.8734583e-05      12908.362       15.94     -1
    10     14      2409.6        3011   Coal      0     -1       43315764      1447.7284  3.3422668e-05      14959.907      21.908     -1
    10     15        3011      3762.6   Coal      0     -1       65208010      2009.7779  3.0821029e-05       16222.69       25.32     -1
    10     16      3762.6      4701.8   Coal      0     -1       97752655        2925.32  2.9925734e-05      16708.028      28.946     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4489482e+08        4545.08  3.1368133e-05      15939.744      31.896     -1
