  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      359777.62       40.78464  0.00011336069      4410.6999      1.0159     -1
    10      0           0         133   Coal      1     -1      312546.34      33.361242  0.00010674015      4684.2731      1.0183     -1
    10      1         133       166.2   Coal      0     -1      187914.09      8.0164371  4.2660117e-05      11720.549      1.0438     -1
    10      1         133       166.2   Coal      1     -1      162076.92       2.418604  1.4922569e-05      33506.295      1.0501     -1
    10      2       166.2      207.68   Coal      0     -1      290526.22      24.590789  8.4642236e-05      5907.2163      1.0485     -1
    10      2       166.2      207.68   Coal      1     -1      255928.81      6.5777647  2.5701541e-05      19454.087      1.0564     -1
    10      3      207.68      259.53   Coal      0     -1      449747.31      16.704717   3.714245e-05      13461.686       1.109     -1
    10      3      207.68      259.53   Coal      1     -1       397939.4   0.0034712453  8.7230501e-09       57319400      1.1264     -1
    10      4      259.53      324.31   Coal      0     -1      704544.95       11.23162  1.5941666e-05      31364.351      1.1616     -1
    10      4      259.53      324.31   Coal      1     -1      612027.55  6.7404409e-05  1.1013297e-10  4.5399668e+09      1.1842     -1
    10      5      324.31      405.26   Coal      0     -1      1101710.6      38.745385  3.5168386e-05      14217.314       1.196     -1
    10      5      324.31      405.26   Coal      1     -1      944123.21      9.7173067  1.0292414e-05       48579.47      1.2204     -1
    10      6      405.26      506.42   Coal      0     -1      1718105.2      124.20281  7.2290573e-05      6916.5311      1.3172     -1
    10      6      405.26      506.42   Coal      1     -1      1468371.9      21.202887  1.4439725e-05      34626.697      1.3552     -1
    10      7      506.42      632.82   Coal      0     -1      2664532.2      220.44026  8.2731317e-05      6043.6606      1.3699     -1
    10      7      506.42      632.82   Coal      1     -1      2254084.4      64.968037  2.8822362e-05      17347.641      1.4084     -1
    10      8      632.82      790.79   Coal      0     -1      4053984.2      681.96728   0.0001682215      2972.2718      1.5689     -1
    10      8      632.82      790.79   Coal      1     -1      3410611.5      117.36336  3.4411236e-05      14530.138      1.6294     -1
    10      9      790.79      988.18   Coal      0     -1      6169680.7      1055.3653  0.00017105671      2923.0073      1.7007     -1
    10      9      790.79      988.18   Coal      1     -1      5038312.7       116.1433  2.3052023e-05       21690.07      1.7878     -1
    10     10      988.18      1234.8   Coal      0     -1      9371897.3      1856.8151  0.00019812585      2523.6485      1.8539     -1
    10     10      988.18      1234.8   Coal      1     -1      7324401.1      160.44375  2.1905375e-05      22825.448      1.9715     -1
    10     11      1234.8      1543.1   Coal      0     -1       14213270      2519.9847  0.00017729802      2820.1105      2.1165     -1
    10     11      1234.8      1543.1   Coal      1     -1       10315231      183.23975     1.7764e-05      28146.814      2.2974     -1
    10     12      1543.1      1928.2   Coal      0     -1       21642594      3179.6059  0.00014691427      3403.3453      2.3702     -1
    10     12      1543.1      1928.2   Coal      1     -1       14352005      347.41864  2.4206976e-05      20655.203      2.6027     -1
    10     13      1928.2      2409.6   Coal      0     -1       32918545        4233.97   0.0001286196      3887.4325      2.4245     -1
    10     13      1928.2      2409.6   Coal      1     -1       19703098      468.86119  2.3796319e-05      21011.653      2.6737     -1
    10     14      2409.6        3011   Coal      0     -1       49045542        5410.53  0.00011031645      4532.4156      2.9627     -1
    10     14      2409.6        3011   Coal      1     -1       27269245      696.58991  2.5544892e-05      19573.385      3.3513     -1
    10     15        3011      3762.6   Coal      0     -1       71171186        6688.69  9.3980309e-05      5320.2634      3.4669     -1
    10     15        3011      3762.6   Coal      1     -1       38813078       1203.072  3.0996562e-05      16130.821      3.9418     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.0074633e+08        7947.77  7.8888928e-05       6338.025      4.3023     -1
    10     16      3762.6      4701.8   Coal      1     -1       56401555      2174.8694  3.8560451e-05      12966.653       4.924     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.3941633e+08        9893.82  7.0966003e-05      7045.6272      4.6266     -1
    10     17      4701.8      5875.5   Coal      1     -1       82627424      3590.0342  4.3448459e-05      11507.888       5.223     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.9478072e+08        8956.71  4.5983555e-05      10873.452      5.6192     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.2229527e+08      4254.8672  3.4791756e-05      14371.221      6.3158     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.8343885e+08        8289.41  2.9245849e-05      17096.443      7.0117     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.8465369e+08      4579.4694  2.4800314e-05      20161.035       7.695     -1
    10     20      9174.7       11465   Coal      0     -1  4.2398937e+08      8495.2415  2.0036449e-05      24954.521      8.2798     -1
    10     20      9174.7       11465   Coal      1     -1  2.8180744e+08      5428.4368   1.926293e-05      25956.592       8.956     -1
    10     21       11465       14327   Coal      0     -1  1.8047919e+09       36211.18  2.0063909e-05      24920.369      10.115     -1
    10     21       11465       14327   Coal      1     -1            121      3.2361106    0.026744716      18.695282           1     -1
    10     22       14327       17903   Coal      0     -1  2.3795575e+09       43953.26   1.847119e-05      27069.181      10.759     -1
    10     22       14327       17903   Coal      1     -1            121      3.2361772    0.026745266      18.694897           1     -1
    10     23       17903       22372   Coal      0     -1  3.0309505e+09       62788.37  2.0715736e-05      24136.242      13.071     -1
    10     23       17903       22372   Coal      1     -1            121      3.2365108    0.026748023       18.69297           1     -1
    10     24       22372       27956   Coal      0     -1  3.6040309e+09       84442.21  2.3429935e-05      21340.222      14.818     -1
    10     24       22372       27956   Coal      1     -1            121      3.2368639    0.026750941      18.690931           1     -1
    10     25       27956       34934   Coal      0     -1  3.9208037e+09      109241.88  2.7862114e-05      17945.515       17.78     -1
    10     25       27956       34934   Coal      1     -1            121      3.2373682    0.026755109       18.68802           1     -1
    10     26       34934       43654   Coal      0     -1  3.8897568e+09      122563.42  3.1509276e-05      15868.343      18.534     -1
    10     26       34934       43654   Coal      1     -1            121      3.2378444    0.026759045      18.685271           1     -1
    10     27       43654       54551   Coal      0     -1  3.4969591e+09      128209.83  3.6663234e-05       13637.64      20.801     -1
    10     27       43654       54551   Coal      1     -1            121      3.2385114    0.026764557      18.681423           1     -1
    10     28       54551       68167   Coal      0     -1  2.8877597e+09      111793.73  3.8712962e-05      12915.571       21.35     -1
    10     28       54551       68167   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     29       68167       85183   Coal      0     -1  2.2930756e+09       84104.52  3.6677604e-05      13632.297      21.172     -1
    10     29       68167       85183   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1636876e+09       42475.84  1.9631226e-05      25469.627      22.982     -1
    10     30       85183  1.0645e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2318353e+09       41247.57  1.8481458e-05      27054.143      23.757     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.4082894e+09       97490.88  1.8026195e-05      27737.412      23.503     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5990673e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -31260068      -31260068              0           1     -1
    10      0           0         133   Migr      0      1      202339.29  0.00020862905  1.0310852e-09              0      1.0223     -1
    10      0           0         133   Migr      1      0      182260.94      60.964231  0.00033448873              0      1.0249     -1
    10      1         133       166.2   Migr      0      1       92304.11  0.00044608803  4.8328078e-09              0      1.0437     -1
    10      1         133       166.2   Migr      1      0       83399.92  0.00074276768  8.9060958e-09              0       1.051     -1
    10      2       166.2      207.68   Migr      0      1       142749.3  0.00028966136  2.0291613e-09              0      1.0484     -1
    10      2       166.2      207.68   Migr      1      0      131229.83      1.6258569  1.2389385e-05              0      1.0572     -1
    10      3      207.68      259.53   Migr      0      1      220623.26      1.0001848  4.5334511e-06              0      1.1092     -1
    10      3      207.68      259.53   Migr      1      0      203984.28      19.452272  9.5361621e-05              0       1.127     -1
    10      4      259.53      324.31   Migr      0      1      345004.55   0.0001721746  4.9905024e-10              0      1.1616     -1
    10      4      259.53      324.31   Migr      1      0      313612.91      10.682088  3.4061379e-05              0      1.1856     -1
    10      5      324.31      405.26   Migr      0      1      538813.74  7.5804923e-05  1.4068855e-10              0      1.1959     -1
    10      5      324.31      405.26   Migr      1      0      483937.94      16.748967  3.4609741e-05              0       1.222     -1
    10      6      405.26      506.42   Migr      0      1      838647.22      1.9448079  2.3189821e-06              0      1.3169     -1
    10      6      405.26      506.42   Migr      1      0      755349.57      65.240936  8.6371845e-05              0      1.3564     -1
    10      7      506.42      632.82   Migr      0      1      1294997.4      4.5062788   3.479759e-06              0      1.3699     -1
    10      7      506.42      632.82   Migr      1      0      1169044.6      107.61183  9.2051085e-05              0      1.4098     -1
    10      8      632.82      790.79   Migr      0      1      1969608.8      10.686848  5.4258734e-06              0      1.5703     -1
    10      8      632.82      790.79   Migr      1      0      1791480.6      218.88573  0.00012218147              0      1.6289     -1
    10      9      790.79      988.18   Migr      0      1      2992163.2      29.143884  9.7400719e-06              0      1.7018     -1
    10      9      790.79      988.18   Migr      1      0      2698948.5      471.19357  0.00017458413              0      1.7891     -1
    10     10      988.18      1234.8   Migr      0      1      4514411.2      55.704427  1.2339245e-05              0      1.8555     -1
    10     10      988.18      1234.8   Migr      1      0      4039502.2      808.77296    0.000200216              0      1.9723     -1
    10     11      1234.8      1543.1   Migr      0      1      6796865.9       144.4359  2.1250368e-05              0      2.1139     -1
    10     11      1234.8      1543.1   Migr      1      0      5915430.8      1268.7312  0.00021447824              0      2.2991     -1
    10     12      1543.1      1928.2   Migr      0      1       10252371      345.37912   3.368773e-05              0      2.3666     -1
    10     12      1543.1      1928.2   Migr      1      0      8612936.2      1744.0046  0.00020248665              0      2.6082     -1
    10     13      1928.2      2409.6   Migr      0      1       15490984      606.82209  3.9172597e-05              0      2.4247     -1
    10     13      1928.2      2409.6   Migr      1      0       12400975       2348.551  0.00018938438              0       2.678     -1
    10     14      2409.6        3011   Migr      0      1       23130958      935.74413  4.0454188e-05              0      2.9616     -1
    10     14      2409.6        3011   Migr      1      0       17859081      2481.0951  0.00013892625              0       3.337     -1
    10     15        3011      3762.6   Migr      0      1       34071276      1346.4677  3.9519146e-05              0      3.4705     -1
    10     15        3011      3762.6   Migr      1      0       26037617      2625.2549  0.00010082547              0      3.9169     -1
    10     16      3762.6      4701.8   Migr      0      1       49671187      1595.6999  3.2125262e-05              0      4.3043     -1
    10     16      3762.6      4701.8   Migr      1      0       38224613      2300.0867  6.0172924e-05              0      4.8795     -1
    10     17      4701.8      5875.5   Migr      0      1       71595092      1947.9066  2.7207264e-05              0      4.6385     -1
    10     17      4701.8      5875.5   Migr      1      0       56265274       2180.123  3.8747221e-05              0      5.1783     -1
    10     18      5875.5      7342.1   Migr      0      1  1.0414293e+08      2177.2928  2.0906774e-05              0      5.6124     -1
    10     18      5875.5      7342.1   Migr      1      0       83514254      2079.8992  2.4904721e-05              0      6.2255     -1
    10     19      7342.1      9174.7   Migr      0      1  1.5567229e+08      2765.8404   1.776707e-05              0      6.9525     -1
    10     19      7342.1      9174.7   Migr      1      0  1.2559393e+08      2602.0345  2.0717836e-05              0      7.6138     -1
    10     20      9174.7       11465   Migr      0      1  2.3715597e+08      3899.9037  1.6444468e-05              0      8.2058     -1
    10     20      9174.7       11465   Migr      1      0  1.9112052e+08      3526.9698  1.8454166e-05              0      8.9049     -1
    10     21       11465       14327   Migr      0      1  6.2864874e+08              0              0              0      10.291     -1
    10     21       11465       14327   Migr      1      0            121      3.2365108    0.026748023              0           1     -1
    10     22       14327       17903   Migr      0      1  8.8954423e+08              0              0              0      11.035     -1
    10     22       14327       17903   Migr      1      0            121      3.2365108    0.026748023              0           1     -1
    10     23       17903       22372   Migr      0      1  1.2380135e+09              0              0              0      13.452     -1
    10     23       17903       22372   Migr      1      0            121      3.2365108    0.026748023              0           1     -1
    10     24       22372       27956   Migr      0      1  1.6643035e+09              0              0              0      15.314     -1
    10     24       22372       27956   Migr      1      0            121      3.2365108    0.026748023              0           1     -1
    10     25       27956       34934   Migr      0      1  2.1430955e+09              0              0              0      18.316     -1
    10     25       27956       34934   Migr      1      0            121      3.2365108    0.026748023              0           1     -1
    10     26       34934       43654   Migr      0      1  2.6138527e+09              0              0              0      18.975     -1
