  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      352819.35      35.022703  9.9265256e-05      5037.0091      1.0213     -1
    10      0           0         133   Coal      1     -1         322553      102.62399  0.00031816163      1571.5283      1.0139     -1
    10      1         133       166.2   Coal      0     -1      193311.53      7.9211705  4.0976193e-05      12202.207      1.0513     -1
    10      1         133       166.2   Coal      1     -1      165180.92      9.0425012  5.4743013e-05      9133.5857      1.0416     -1
    10      2       166.2      207.68   Coal      0     -1       304361.9      12.731055  4.1828675e-05      11953.522      1.0759     -1
    10      2       166.2      207.68   Coal      1     -1      251969.61      20.501677  8.1365674e-05      6145.0975      1.0608     -1
    10      3      207.68      259.53   Coal      0     -1      480606.55      10.884508   2.264744e-05      22077.551      1.0895     -1
    10      3      207.68      259.53   Coal      1     -1      386988.18      3.2305063  8.3478165e-06      59895.902      1.0772     -1
    10      4      259.53      324.31   Coal      0     -1      755296.81      3.4550248  4.5743934e-06      109304.11      1.1542     -1
    10      4      259.53      324.31   Coal      1     -1      594358.05      11.509588  1.9364738e-05      25820.127      1.1427     -1
    10      5      324.31      405.26   Coal      0     -1      1204932.2      67.675733  5.6165593e-05      8902.2473      1.2284     -1
    10      5      324.31      405.26   Coal      1     -1      908410.75      29.173566   3.211495e-05      15569.073      1.2136     -1
    10      6      405.26      506.42   Coal      0     -1      1939009.8      58.314521  3.0074381e-05      16625.446       1.288     -1
    10      6      405.26      506.42   Coal      1     -1      1377065.9      28.792285   2.090843e-05      23913.799      1.2708     -1
    10      7      506.42      632.82   Coal      0     -1      3200822.2      144.56469  4.5164861e-05      11070.553      1.4492     -1
    10      7      506.42      632.82   Coal      1     -1      1977756.9      84.932549  4.2943877e-05      11643.103      1.4357     -1
    10      8      632.82      790.79   Coal      0     -1      5168925.8      642.47807  0.00012429625      4022.6476       1.553     -1
    10      8      632.82      790.79   Coal      1     -1      2797173.3      96.439294  3.4477411e-05      14502.249      1.5485     -1
    10      9      790.79      988.18   Coal      0     -1      8118916.5      1147.6279  0.00014135235        3537.26      1.6299     -1
    10      9      790.79      988.18   Coal      1     -1      3922833.4      174.10976  4.4383676e-05      11265.403      1.6381     -1
    10     10      988.18      1234.8   Coal      0     -1       12687784      1850.3969  0.00014584083      3428.3952      1.8398     -1
    10     10      988.18      1234.8   Coal      1     -1      5352858.8      297.74541  5.5623625e-05      8988.9863      1.8678     -1
    10     11      1234.8      1543.1   Coal      0     -1       19424718      3262.1078  0.00016793592      2977.3262      2.0026     -1
    10     11      1234.8      1543.1   Coal      1     -1      7016071.3      402.81161  5.7412703e-05      8708.8741      2.0454     -1
    10     12      1543.1      1928.2   Coal      0     -1       28895581         4467.7  0.00015461534      3233.8318      2.2541     -1
    10     12      1543.1      1928.2   Coal      1     -1      9056112.3      596.93959  6.5915657e-05      7585.4513      2.3273     -1
    10     13      1928.2      2409.6   Coal      0     -1       41281830        6205.58  0.00015032231      3326.1863      2.5645     -1
    10     13      1928.2      2409.6   Coal      1     -1       11724964      923.72023  7.8782353e-05       6346.599      2.6721     -1
    10     14      2409.6        3011   Coal      0     -1       56352999        7432.12  0.00013188508      3791.1793      2.7691     -1
    10     14      2409.6        3011   Coal      1     -1       15901900      1309.9138  8.2374672e-05      6069.8269       2.897     -1
    10     15        3011      3762.6   Coal      0     -1       74494581        8524.95  0.00011443718      4369.2092      3.2404     -1
