  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      334531.18       46.99019   0.0001404658      3559.5853      1.0169     -1
    10      0           0         133   Coal      1     -1       308227.3      4.0170236  1.3032667e-05      38365.134      1.0186     -1
    10      1         133       166.2   Coal      0     -1      184976.16      10.651354  5.7582307e-05      8683.2228      1.0266     -1
    10      1         133       166.2   Coal      1     -1      166836.32      13.907925  8.3362694e-05      5997.8868      1.0313     -1
    10      2       166.2      207.68   Coal      0     -1      285310.17      6.5964082   2.312013e-05      21626.176      1.0424     -1
    10      2       166.2      207.68   Coal      1     -1       257091.1      17.440167  6.7836525e-05      7370.6606      1.0472     -1
    10      3      207.68      259.53   Coal      0     -1      455002.09      5.1146376   1.124091e-05      44480.384       1.106     -1
    10      3      207.68      259.53   Coal      1     -1      391452.12      7.1830618  1.8349784e-05      27248.277      1.1102     -1
    10      4      259.53      324.31   Coal      0     -1      726459.23       8.674205  1.1940388e-05      41874.687      1.1202     -1
    10      4      259.53      324.31   Coal      1     -1       595731.4      3.5843044  6.0166452e-06       83102.79      1.1226     -1
    10      5      324.31      405.26   Coal      0     -1      1176738.4      18.196601  1.5463591e-05      32334.017         1.2     -1
    10      5      324.31      405.26   Coal      1     -1         898709      11.010146  1.2251069e-05      40812.764      1.2096     -1
    10      6      405.26      506.42   Coal      0     -1      1893817.5      35.237381  1.8606535e-05      26872.279      1.3154     -1
    10      6      405.26      506.42   Coal      1     -1      1352680.8       15.92849  1.1775498e-05      42461.049       1.327     -1
    10      7      506.42      632.82   Coal      0     -1      3076353.9      49.309441  1.6028533e-05       31194.37      1.3777     -1
    10      7      506.42      632.82   Coal      1     -1      2008137.1      97.623054   4.861374e-05      10285.158      1.3896     -1
    10      8      632.82      790.79   Coal      0     -1      4968187.8      275.79398  5.5511987e-05      9007.0636      1.5474     -1
    10      8      632.82      790.79   Coal      1     -1      2955847.4      83.778313  2.8343247e-05      17640.887      1.5621     -1
    10      9      790.79      988.18   Coal      0     -1      8074720.9       581.5248  7.2017944e-05      6942.7142      1.7966     -1
    10      9      790.79      988.18   Coal      1     -1      4213868.3      135.74499  3.2213867e-05      15521.266      1.8114     -1
    10     10      988.18      1234.8   Coal      0     -1       13094120      1195.2643  9.1282522e-05      5477.4998      1.7776     -1
    10     10      988.18      1234.8   Coal      1     -1      5844594.1      167.49592  2.8658264e-05      17446.975      1.7882     -1
    10     11      1234.8      1543.1   Coal      0     -1       20549228        2220.72  0.00010806829       4626.704      2.0105     -1
    10     11      1234.8      1543.1   Coal      1     -1      8031780.1       219.7509  2.7360173e-05      18274.738      2.0227     -1
    10     12      1543.1      1928.2   Coal      0     -1       31093869        3227.89  0.00010381114      4816.4388      2.3422     -1
    10     12      1543.1      1928.2   Coal      1     -1       11037250      418.36213  3.7904563e-05      13191.024      2.3959     -1
    10     13      1928.2      2409.6   Coal      0     -1       45723216      4561.4707  9.9762684e-05       5011.894      2.6406     -1
    10     13      1928.2      2409.6   Coal      1     -1       15255872      692.84238  4.5414799e-05      11009.627      2.7258     -1
    10     14      2409.6        3011   Coal      0     -1       65006570        6637.91  0.00010211137      4896.6143       3.004     -1
    10     14      2409.6        3011   Coal      1     -1       21201058      1092.8355  5.1546271e-05      9700.0227      3.1348     -1
    10     15        3011      3762.6   Coal      0     -1       90131756        7920.26  8.7874245e-05      5689.9493      3.4529     -1
    10     15        3011      3762.6   Coal      1     -1       30045383      1736.6799  5.7801889e-05      8650.2363      3.6778     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.2122042e+08        9989.46  8.2407402e-05      6067.4162      3.7874     -1
    10     16      3762.6      4701.8   Coal      1     -1       43456429       2612.326  6.0113683e-05      8317.5739      4.0411     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.6090759e+08       11393.55  7.0808032e-05      7061.3458      4.3978     -1
    10     17      4701.8      5875.5   Coal      1     -1       63427503      4024.9461  6.3457426e-05      7879.2985      4.7009     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1987234e+08       10182.06  4.6308963e-05      10797.046      5.6229     -1
    10     18      5875.5      7342.1   Coal      1     -1       94030988      4176.0261  4.4411169e-05      11258.429      5.9962     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1562137e+08        8917.75  2.8254583e-05      17696.244      6.6114     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.4440322e+08      4164.2649  2.8837755e-05      17338.381      7.0419     -1
    10     20      9174.7       11465   Coal      0     -1  4.6520572e+08        9390.22  2.0185092e-05      24770.757       7.916     -1
    10     20      9174.7       11465   Coal      1     -1  2.2729482e+08      4619.2148  2.0322569e-05      24603.188      8.3328     -1
    10     21       11465       14327   Coal      0     -1  1.7174656e+09       36660.96  2.1345965e-05      23423.631      8.9862     -1
    10     21       11465       14327   Coal      1     -1            120      3.2352911    0.026960759      18.545472           1     -1
    10     22       14327       17903   Coal      0     -1  2.2589465e+09       43051.84   1.905837e-05      26235.192      10.352     -1
    10     22       14327       17903   Coal      1     -1            120      3.2353573    0.026961311      18.545092           1     -1
    10     23       17903       22372   Coal      0     -1  2.8843079e+09       60202.23  2.0872331e-05      23955.158      12.291     -1
    10     23       17903       22372   Coal      1     -1            120      3.2356877    0.026964064      18.543199           1     -1
    10     24       22372       27956   Coal      0     -1  3.4530372e+09       81287.75  2.3540942e-05      21239.592      14.702     -1
    10     24       22372       27956   Coal      1     -1            120      3.2360378    0.026966982      18.541192           1     -1
    10     25       27956       34934   Coal      0     -1  3.7767296e+09      105268.17  2.7872838e-05      17938.611      15.944     -1
    10     25       27956       34934   Coal      1     -1            120      3.2365379    0.026971149      18.538328           1     -1
    10     26       34934       43654   Coal      0     -1  3.7645226e+09      119273.56  3.1683582e-05      15781.044      19.581     -1
    10     26       34934       43654   Coal      1     -1            120      3.2370098    0.026975082      18.535625           1     -1
    10     27       43654       54551   Coal      0     -1  3.3892742e+09      124735.83   3.680311e-05      13585.808       20.25     -1
    10     27       43654       54551   Coal      1     -1            120      3.2376709    0.026980591       18.53184           1     -1
    10     28       54551       68167   Coal      0     -1   2.805191e+09      108535.53  3.8690959e-05      12922.916      20.631     -1
    10     28       54551       68167   Coal      1     -1            120      3.2380633    0.026983861      18.529594           1     -1
    10     29       68167       85183   Coal      0     -1  2.2291812e+09       81781.43  3.6686757e-05      13628.896      20.286     -1
    10     29       68167       85183   Coal      1     -1            120      3.2380633    0.026983861      18.529594           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1096357e+09       41161.74  1.9511302e-05      25626.173      21.262     -1
    10     30       85183  1.0645e+05   Coal      1     -1            120      3.2361835    0.026968196      18.540358           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.1903668e+09       40342.17  1.8417997e-05       27147.36      24.221     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            120      3.2361835    0.026968196      18.540358           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.2275182e+09       94819.38  1.8138508e-05      27565.663      22.385     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            120      3.2361835    0.026968196      18.540358           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.6007476e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -30612466      -30612466              0           1     -1
    10      0           0         133   Migr      0      1      186247.76   0.0022186506  1.1912361e-08              0      1.0246     -1
    10      0           0         133   Migr      1      0      180596.41      57.442256  0.00031806976              0      1.0262     -1
    10      1         133       166.2   Migr      0      1       94763.22      5.0096618  5.2865044e-05              0      1.0319     -1
    10      1         133       166.2   Migr      1      0       91208.71      1.4948025  1.6388813e-05              0      1.0358     -1
    10      2       166.2      207.68   Migr      0      1       144075.3    0.058274635  4.0447346e-07              0      1.0477     -1
    10      2       166.2      207.68   Migr      1      0      139061.87      25.686184  0.00018471047              0      1.0512     -1
    10      3      207.68      259.53   Migr      0      1       225580.7  0.00017677331  7.8363667e-10              0      1.1111     -1
    10      3      207.68      259.53   Migr      1      0      210676.76      42.448427  0.00020148604              0       1.114     -1
    10      4      259.53      324.31   Migr      0      1      352847.67      1.0030997   2.842869e-06              0      1.1249     -1
    10      4      259.53      324.31   Migr      1      0      321851.07      101.29878  0.00031473806              0      1.1261     -1
    10      5      324.31      405.26   Migr      0      1      559214.19      8.1140246   1.450969e-05              0      1.2036     -1
    10      5      324.31      405.26   Migr      1      0      489851.84      125.15184  0.00025548917              0      1.2129     -1
    10      6      405.26      506.42   Migr      0      1      882846.21      37.287444  4.2235492e-05              0      1.3172     -1
    10      6      405.26      506.42   Migr      1      0       742239.1      178.30059  0.00024021988              0      1.3318     -1
    10      7      506.42      632.82   Migr      0      1      1398600.5      33.571404  2.4003569e-05              0      1.3793     -1
    10      7      506.42      632.82   Migr      1      0      1119487.3      301.77524  0.00026956558              0      1.3956     -1
    10      8      632.82      790.79   Migr      0      1      2201295.6      71.928776  3.2675654e-05              0      1.5478     -1
    10      8      632.82      790.79   Migr      1      0      1683753.5      449.42547   0.0002669188              0      1.5714     -1
    10      9      790.79      988.18   Migr      0      1      3469541.7       118.4415  3.4137505e-05              0      1.7968     -1
    10      9      790.79      988.18   Migr      1      0        2486673      936.70468  0.00037668993              0      1.8247     -1
    10     10      988.18      1234.8   Migr      0      1        5454293      252.87872  4.6363243e-05              0      1.7786     -1
    10     10      988.18      1234.8   Migr      1      0      3607884.6      1181.7681  0.00032755153              0      1.8025     -1
    10     11      1234.8      1543.1   Migr      0      1      8380256.3      435.53324  5.1971351e-05              0      2.0107     -1
    10     11      1234.8      1543.1   Migr      1      0      5196146.8      1639.2703  0.00031547807              0      2.0383     -1
    10     12      1543.1      1928.2   Migr      0      1       12618474      806.01027  6.3875414e-05              0      2.3477     -1
    10     12      1543.1      1928.2   Migr      1      0      7452614.5      1877.5745  0.00025193501              0      2.4052     -1
    10     13      1928.2      2409.6   Migr      0      1       18691175      1088.6647  5.8244849e-05              0      2.6476     -1
    10     13      1928.2      2409.6   Migr      1      0       10719628      2407.5544  0.00022459308              0      2.7269     -1
    10     14      2409.6        3011   Migr      0      1       27134409        1625.14  5.9892219e-05              0      3.0177     -1
    10     14      2409.6        3011   Migr      1      0       15416285      2622.3144  0.00017010028              0      3.1227     -1
    10     15        3011      3762.6   Migr      0      1       38976299      1725.9507  4.4282057e-05              0      3.4805     -1
    10     15        3011      3762.6   Migr      1      0       22254752      2576.2145  0.00011576019              0       3.647     -1
    10     16      3762.6      4701.8   Migr      0      1       55073789      2150.2707  3.9043449e-05              0      3.8236     -1
    10     16      3762.6      4701.8   Migr      1      0       32495587      2210.0596  6.8011068e-05              0      4.0068     -1
    10     17      4701.8      5875.5   Migr      0      1       77453800       2257.627  2.9148046e-05              0      4.4408     -1
    10     17      4701.8      5875.5   Migr      1      0       47724533      2095.1429  4.3900754e-05              0      4.6572     -1
    10     18      5875.5      7342.1   Migr      0      1  1.1122869e+08        2483.81  2.2330659e-05              0      5.6356     -1
    10     18      5875.5      7342.1   Migr      1      0       70829775      1991.9309   2.812279e-05              0      5.8979     -1
    10     19      7342.1      9174.7   Migr      0      1  1.6466547e+08        3100.54  1.8829327e-05              0      6.6318     -1
    10     19      7342.1      9174.7   Migr      1      0  1.0757866e+08      2223.4236  2.0667887e-05              0      6.9078     -1
    10     20      9174.7       11465   Migr      0      1  2.4870479e+08      4194.5312  1.6865502e-05              0      7.9353     -1
    10     20      9174.7       11465   Migr      1      0  1.6662209e+08      2944.3844  1.7671033e-05              0       8.193     -1
