  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      357353.92       67.72453  0.00018951668      2638.2902      1.0166     -1
    10      0           0         133   Coal      1     -1      305654.65      5.0280127  1.6449979e-05      30395.175      1.0149     -1
    10      1         133       166.2   Coal      0     -1      205268.76  0.00029880163  1.4556605e-09  3.4348668e+08      1.0294     -1
    10      1         133       166.2   Coal      1     -1      157722.44  0.00026775066  1.6976067e-09   2.945323e+08      1.0265     -1
    10      2       166.2      207.68   Coal      0     -1      318294.67      2.0008193  6.2860598e-06      79541.083      1.0453     -1
    10      2       166.2      207.68   Coal      1     -1      245494.37      1.0001693  4.0741026e-06      122726.41      1.0409     -1
    10      3      207.68      259.53   Coal      0     -1      501385.56  8.1603897e-05  1.6275677e-10  3.0720687e+09      1.1075     -1
    10      3      207.68      259.53   Coal      1     -1      382622.29      8.8419959  2.3108941e-05      21636.647      1.1026     -1
    10      4      259.53      324.31   Coal      0     -1      783975.82    0.090788105  1.1580473e-07      4317613.1        1.11     -1
    10      4      259.53      324.31   Coal      1     -1      588811.82       13.84076  2.3506253e-05      21270.935      1.1009     -1
    10      5      324.31      405.26   Coal      0     -1      1246043.1      7.3934671  5.9335563e-06      84266.496      1.1975     -1
    10      5      324.31      405.26   Coal      1     -1      898353.75      19.150768  2.1317625e-05       23454.77      1.1961     -1
    10      6      405.26      506.42   Coal      0     -1      1965097.4      23.449963  1.1933232e-05      41899.797      1.3313     -1
    10      6      405.26      506.42   Coal      1     -1        1352696      66.200564  4.8939721e-05       10216.65      1.3331     -1
    10      7      506.42      632.82   Coal      0     -1      3135160.2      51.510667  1.6429995e-05      30432.145      1.3658     -1
    10      7      506.42      632.82   Coal      1     -1      2046432.3      41.440301  2.0250023e-05       24691.33      1.3644     -1
    10      8      632.82      790.79   Coal      0     -1      4977535.9      288.63645  5.7987818e-05      8622.5006      1.5007     -1
    10      8      632.82      790.79   Coal      1     -1      3051361.2      97.787247  3.2047089e-05      15602.041      1.4923     -1
    10      9      790.79      988.18   Coal      0     -1      7910136.7       552.8072  6.9885923e-05      7154.5166      1.7126     -1
    10      9      790.79      988.18   Coal      1     -1      4409956.4       267.2137  6.0593276e-05      8251.7407      1.7165     -1
    10     10      988.18      1234.8   Coal      0     -1       12634973       1089.073  8.6195126e-05       5800.792      1.8244     -1
    10     10      988.18      1234.8   Coal      1     -1      6186487.6      257.47055  4.1618212e-05      12013.971      1.8234     -1
    10     11      1234.8      1543.1   Coal      0     -1       20030695         1697.9  8.4764909e-05      5898.6674      1.9885     -1
    10     11      1234.8      1543.1   Coal      1     -1      8476651.5      364.63729  4.3016666e-05      11623.402      1.9861     -1
    10     12      1543.1      1928.2   Coal      0     -1       30500467        3421.64   0.0001121832      4456.9953      2.3353     -1
    10     12      1543.1      1928.2   Coal      1     -1       11710872      492.77713  4.2078602e-05      11882.524      2.3585     -1
    10     13      1928.2      2409.6   Coal      0     -1       44715086        4767.27  0.00010661435      4689.8001      2.4531     -1
    10     13      1928.2      2409.6   Coal      1     -1       16307416      690.91279  4.2368012e-05      11801.356      2.4912     -1
    10     14      2409.6        3011   Coal      0     -1       63679212        6471.81  0.00010163144      4919.7374      2.8745     -1
    10     14      2409.6        3011   Coal      1     -1       22492222      1284.6385  5.7114789e-05         8754.3      2.9905     -1
    10     15        3011      3762.6   Coal      0     -1       86526434        8012.51  9.2601874e-05      5399.4587      3.2926     -1
    10     15        3011      3762.6   Coal      1     -1       32272512      1801.6384  5.5825788e-05      8956.4342      3.4561     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.1641206e+08        9276.91  7.9690286e-05      6274.2905      3.8463     -1
    10     16      3762.6      4701.8   Coal      1     -1       46715792      3076.3331  6.5852101e-05      7592.7722      4.0466     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.5471389e+08       11130.61  7.1943186e-05      6949.9285      4.4094     -1
    10     17      4701.8      5875.5   Coal      1     -1       68258159      4240.8792  6.2129996e-05      8047.6426      4.6405     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1088384e+08        9721.51  4.6098886e-05      10846.249      4.9157     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.0135241e+08      4440.9519  4.3816936e-05      11411.113       5.172     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.0244168e+08         8850.8  2.9264485e-05      17085.556      6.2753     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.5494185e+08      4306.7454  2.7795883e-05      17988.275      6.5617     -1
    10     20      9174.7       11465   Coal      0     -1  4.4720591e+08        8940.16  1.9991149e-05      25011.069      7.7542     -1
    10     20      9174.7       11465   Coal      1     -1  2.4198881e+08      4979.0109  2.0575377e-05      24300.892      8.0199     -1
    10     21       11465       14327   Coal      0     -1  1.7275263e+09       36466.83  2.1109276e-05      23686.269      9.0922     -1
    10     21       11465       14327   Coal      1     -1            121      3.2361106    0.026744716      18.695282           1     -1
    10     22       14327       17903   Coal      0     -1  2.2793275e+09       43058.72  1.8890976e-05      26467.664      11.082     -1
    10     22       14327       17903   Coal      1     -1            121      3.2361772    0.026745266      18.694897           1     -1
    10     23       17903       22372   Coal      0     -1  2.9145499e+09       60534.92  2.0769903e-05      24073.295      12.418     -1
    10     23       17903       22372   Coal      1     -1            121      3.2365108    0.026748023       18.69297           1     -1
    10     24       22372       27956   Coal      0     -1  3.4743691e+09       82221.87  2.3665267e-05       21128.01      13.748     -1
    10     24       22372       27956   Coal      1     -1            121      3.2368639    0.026750941      18.690931           1     -1
    10     25       27956       34934   Coal      0     -1   3.797514e+09       105380.1  2.7749759e-05      18018.174      16.735     -1
    10     25       27956       34934   Coal      1     -1            121      3.2373682    0.026755109       18.68802           1     -1
    10     26       34934       43654   Coal      0     -1  3.7815041e+09       119490.3  3.1598617e-05      15823.477      18.016     -1
    10     26       34934       43654   Coal      1     -1            121      3.2378444    0.026759045      18.685271           1     -1
    10     27       43654       54551   Coal      0     -1  3.4034962e+09      125166.17  3.6775763e-05      13595.911      20.139     -1
    10     27       43654       54551   Coal      1     -1            121      3.2385114    0.026764557      18.681423           1     -1
    10     28       54551       68167   Coal      0     -1  2.8080568e+09      108848.53  3.8762937e-05      12898.919      20.607     -1
    10     28       54551       68167   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     29       68167       85183   Coal      0     -1  2.2255069e+09          81953  3.6824419e-05      13577.947      19.719     -1
    10     29       68167       85183   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1056762e+09       41038.48  1.9489454e-05        25654.9      20.951     -1
    10     30       85183  1.0645e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.1914386e+09        40197.7  1.8343064e-05      27258.259      23.647     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.2731208e+09       95292.73   1.807141e-05      27668.012      23.733     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.6003793e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -30691581      -30691581              0           1     -1
    10      0           0         133   Migr      0      1      193872.99      1.0010485   5.163424e-06              0      1.0235     -1
    10      0           0         133   Migr      1      0      180984.88      147.34124    0.000814108              0      1.0236     -1
    10      1         133       166.2   Migr      0      1      100870.54      1.0004078  9.9177406e-06              0       1.033     -1
    10      1         133       166.2   Migr      1      0       88853.38      15.058527  0.00016947613              0      1.0331     -1
