  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      356519.04      33.761955  9.4698883e-05      5279.8933      1.0157     -1
    10      0           0         133   Coal      1     -1      313355.98      11.277032  3.5987927e-05      13893.548      1.0157     -1
    10      1         133       166.2   Coal      0     -1      200764.52       9.990368  4.9761621e-05      10047.904      1.0424     -1
    10      1         133       166.2   Coal      1     -1      165626.04     0.34333826  2.0729727e-06      241199.51      1.0466     -1
    10      2       166.2      207.68   Coal      0     -1      314220.34      11.993532  3.8169177e-05      13099.575      1.0511     -1
    10      2       166.2      207.68   Coal      1     -1      256155.54  0.00014866319  5.8036296e-10  8.6152982e+08      1.0571     -1
    10      3      207.68      259.53   Coal      0     -1      489152.02      2.0003392   4.089402e-06      122267.27      1.0885     -1
    10      3      207.68      259.53   Coal      1     -1      395619.72   0.0035712394    9.02695e-09       55389694      1.0988     -1
    10      4      259.53      324.31   Coal      0     -1      764846.17      18.654464  2.4389825e-05      20500.352       1.097     -1
    10      4      259.53      324.31   Coal      1     -1      603096.62      9.3263502  1.5464106e-05      32332.939       1.111     -1
    10      5      324.31      405.26   Coal      0     -1      1212763.4      9.9150708   8.175602e-06      61157.576      1.1436     -1
    10      5      324.31      405.26   Coal      1     -1      920263.97      23.014585  2.5008678e-05       19993.06      1.1599     -1
    10      6      405.26      506.42   Coal      0     -1      1960096.6      20.574358  1.0496604e-05      47634.454      1.2259     -1
    10      6      405.26      506.42   Coal      1     -1      1378445.8       31.27961   2.269194e-05      22034.255      1.2386     -1
    10      7      506.42      632.82   Coal      0     -1      3182882.6      75.844454  2.3828857e-05      20982.962      1.3542     -1
    10      7      506.42      632.82   Coal      1     -1        2027100      83.746695  4.1313549e-05      12102.567      1.3682     -1
    10      8      632.82      790.79   Coal      0     -1      5115416.1      213.32621   4.170261e-05      11989.657      1.4677     -1
    10      8      632.82      790.79   Coal      1     -1      2988709.1      115.41984  3.8618626e-05       12947.12      1.4727     -1
    10      9      790.79      988.18   Coal      0     -1      8163272.8      539.28326  6.6062139e-05      7568.6317      1.6626     -1
    10      9      790.79      988.18   Coal      1     -1      4331248.3      274.96924  6.3484987e-05      7875.8778      1.6685     -1
    10     10      988.18      1234.8   Coal      0     -1       12869811      1289.4843  0.00010019451      4990.2936      1.8433     -1
    10     10      988.18      1234.8   Coal      1     -1        6100590      245.12947  4.0181272e-05      12443.608      1.8638     -1
    10     11      1234.8      1543.1   Coal      0     -1       19955766        2118.23  0.00010614626      4710.4814      1.9239     -1
    10     11      1234.8      1543.1   Coal      1     -1      8418468.8       396.7401  4.7127346e-05      10609.551      1.9429     -1
    10     12      1543.1      1928.2   Coal      0     -1       30716415        3280.94   0.0001068139      4681.0388      2.3129     -1
    10     12      1543.1      1928.2   Coal      1     -1       11240582      510.49447  4.5415304e-05      11009.505      2.3648     -1
    10     13      1928.2      2409.6   Coal      0     -1       45303923         4997.3  0.00011030612      4532.8401      2.4939     -1
    10     13      1928.2      2409.6   Coal      1     -1       15282508      812.54749  5.3168466e-05      9404.0705      2.5679     -1
    10     14      2409.6        3011   Coal      0     -1       63831109        6474.85  0.00010143722      4929.1573      2.8169     -1
    10     14      2409.6        3011   Coal      1     -1       21532197      1132.2829  5.2585572e-05      9508.3115      2.9131     -1
    10     15        3011      3762.6   Coal      0     -1       87586078        7787.26  8.8909793e-05      5623.6775      3.1938     -1
    10     15        3011      3762.6   Coal      1     -1       31126386      1896.5283  6.0929924e-05      8206.1484      3.3097     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.1726584e+08        9704.05  8.2752576e-05       6042.108      3.6132     -1
