  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      346980.04      33.421245  9.6320367e-05      5191.0101      1.0155     -1
    10      0           0         133   Coal      1     -1      313463.56      7.0082593  2.2357493e-05      22363.867      1.0177     -1
    10      1         133       166.2   Coal      0     -1      189078.41      28.988114  0.00015331266      3261.3093      1.0312     -1
    10      1         133       166.2   Coal      1     -1       167255.5   0.0002368264  1.4159558e-09  3.5311836e+08      1.0379     -1
    10      2       166.2      207.68   Coal      0     -1      294091.69      5.2849748    1.79705e-05      27823.377      1.0565     -1
    10      2       166.2      207.68   Coal      1     -1      260415.12        6.85755  2.6333148e-05      18987.475      1.0704     -1
    10      3      207.68      259.53   Coal      0     -1      471938.64  9.0688887e-05  1.9216245e-10  2.6019651e+09      1.0773     -1
    10      3      207.68      259.53   Coal      1     -1      396343.21      7.7088858  1.9450026e-05      25706.906      1.0927     -1
    10      4      259.53      324.31   Coal      0     -1      760784.46      2.0006778  2.6297564e-06      190131.68       1.115     -1
    10      4      259.53      324.31   Coal      1     -1      594887.21       4.931996  8.2906406e-06      60308.971      1.1337     -1
    10      5      324.31      405.26   Coal      0     -1      1226023.5      5.1836001  4.2279777e-06      118259.85      1.1642     -1
    10      5      324.31      405.26   Coal      1     -1      896136.77      23.941198  2.6716009e-05       18715.37      1.1821     -1
    10      6      405.26      506.42   Coal      0     -1      1940265.2      27.905983  1.4382561e-05      34764.323      1.2639     -1
    10      6      405.26      506.42   Coal      1     -1      1370959.8       27.00006  1.9694275e-05      25388.089       1.283     -1
    10      7      506.42      632.82   Coal      0     -1      3100752.4      39.267066  1.2663722e-05      39482.863      1.4179     -1
    10      7      506.42      632.82   Coal      1     -1      2086854.3      26.891575  1.2886177e-05      38801.267      1.4287     -1
    10      8      632.82      790.79   Coal      0     -1      5007442.5      221.13685  4.4161635e-05      11322.045      1.5379     -1
    10      8      632.82      790.79   Coal      1     -1        3060731      116.32266  3.8004863e-05      13156.211      1.5492     -1
    10      9      790.79      988.18   Coal      0     -1      8046854.2       601.3434  7.4730247e-05      6690.7312      1.6769     -1
    10      9      790.79      988.18   Coal      1     -1        4354852      201.81128  4.6341709e-05      10789.417      1.6797     -1
    10     10      988.18      1234.8   Coal      0     -1       12754802      1092.7573  8.5674182e-05      5836.0639      1.9302     -1
    10     10      988.18      1234.8   Coal      1     -1      6122747.4      223.74011  3.6542437e-05      13682.722      1.9409     -1
    10     11      1234.8      1543.1   Coal      0     -1       19893368      2098.5175   0.0001054883      4739.8623      2.0657     -1
    10     11      1234.8      1543.1   Coal      1     -1      8553104.3      379.46193  4.4365404e-05      11270.043      2.0793     -1
    10     12      1543.1      1928.2   Coal      0     -1       30300117        3168.69  0.00010457682      4781.1741      2.1086     -1
    10     12      1543.1      1928.2   Coal      1     -1       11715688      495.81711  4.2320784e-05      11814.526      2.1348     -1
    10     13      1928.2      2409.6   Coal      0     -1       45145668        4644.28  0.00010287321      4860.3517      2.6777     -1
