  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      368187.19  0.00058114532  1.5783964e-09  3.1677721e+08      1.0153     -1
    10      0           0         133   Coal      1     -1      308094.01      7.1007691   2.304741e-05      21694.411      1.0155     -1
    10      1         133       166.2   Coal      0     -1      207098.54    0.011099358  5.3594573e-08      9329302.8      1.0394     -1
    10      1         133       166.2   Coal      1     -1      162876.64      3.4638227  2.1266541e-05      23511.111      1.0349     -1
    10      2       166.2      207.68   Coal      0     -1      329067.96     0.75185966  2.2848158e-06      218836.03      1.0596     -1
    10      2       166.2      207.68   Coal      1     -1      250818.84      13.771694  5.4906934e-05      9106.3179      1.0541     -1
    10      3      207.68      259.53   Coal      0     -1      511714.86     0.60027341  1.1730623e-06      426234.82      1.0806     -1
    10      3      207.68      259.53   Coal      1     -1      390115.29      21.763641  5.5787715e-05      8962.5467      1.0777     -1
    10      4      259.53      324.31   Coal      0     -1      801873.14      2.7019274  3.3695197e-06       148389.1      1.1838     -1
    10      4      259.53      324.31   Coal      1     -1      605774.76  0.00061331169  1.0124418e-09  4.9385554e+08      1.1847     -1
    10      5      324.31      405.26   Coal      0     -1      1277494.3      1.2650554  9.9026306e-07      504916.34      1.1774     -1
    10      5      324.31      405.26   Coal      1     -1       930211.7       26.62079  2.8617991e-05      17471.527      1.1779     -1
    10      6      405.26      506.42   Coal      0     -1      2045031.9      20.526016  1.0037015e-05      49815.609      1.2925     -1
    10      6      405.26      506.42   Coal      1     -1      1404495.8      36.000557  2.5632371e-05      19506.584      1.2896     -1
    10      7      506.42      632.82   Coal      0     -1      3305398.7      73.756432  2.2313929e-05      22407.529       1.325     -1
    10      7      506.42      632.82   Coal      1     -1      2100608.2      20.968772  9.9822385e-06      50088.966      1.3181     -1
    10      8      632.82      790.79   Coal      0     -1      5301418.6      316.65589  5.9730407e-05      8370.9458      1.5048     -1
    10      8      632.82      790.79   Coal      1     -1      3076772.3      111.65647  3.6290131e-05       13777.85      1.5055     -1
    10      9      790.79      988.18   Coal      0     -1      8449050.3      812.63278   9.618037e-05       5198.566      1.7367     -1
    10      9      790.79      988.18   Coal      1     -1      4388873.4      149.31832  3.4022017e-05      14696.366      1.7502     -1
    10     10      988.18      1234.8   Coal      0     -1       13410812      1574.3764  0.00011739606      4259.0869      1.8118     -1
    10     10      988.18      1234.8   Coal      1     -1        5982103       208.1994  3.4803713e-05      14366.283      1.8236     -1
    10     11      1234.8      1543.1   Coal      0     -1       20794654      2591.6745  0.00012463177      4011.8183      1.9503     -1
    10     11      1234.8      1543.1   Coal      1     -1      8134146.1      187.50961  2.3052156e-05      21689.945      1.9668     -1
    10     12      1543.1      1928.2   Coal      0     -1       30932385        3953.96   0.0001278259      3911.5703      2.1865     -1
    10     12      1543.1      1928.2   Coal      1     -1       11189688      436.68189  3.9025386e-05      12812.173      2.2376     -1
    10     13      1928.2      2409.6   Coal      0     -1       44831517        5292.48  0.00011805266      4235.3979      2.4507     -1
    10     13      1928.2      2409.6   Coal      1     -1       15310438      612.88685  4.0030656e-05      12490.427       2.549     -1
    10     14      2409.6        3011   Coal      0     -1       63815738        6480.34  0.00010154768      4923.7955      2.8844     -1
    10     14      2409.6        3011   Coal      1     -1       21109903      1053.9307  4.9925889e-05      10014.844      3.0501     -1
    10     15        3011      3762.6   Coal      0     -1       88812276        8322.87  9.3713058e-05      5335.4357      3.1379     -1
    10     15        3011      3762.6   Coal      1     -1       29886326       1534.243  5.1335953e-05      9739.7627      3.3373     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.2078597e+08        9873.73  8.1745667e-05      6116.5321      3.5464     -1
    10     16      3762.6      4701.8   Coal      1     -1       42955769      2559.2099  5.9577792e-05      8392.3889      3.8118     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.6124998e+08       11371.62  7.0521684e-05      7090.0179      4.1254     -1
    10     17      4701.8      5875.5   Coal      1     -1       62323125      3665.5277  5.8814889e-05      8501.2487      4.4339     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.2103628e+08       10038.56  4.5415894e-05      11009.362      4.8171     -1
    10     18      5875.5      7342.1   Coal      1     -1       92731374      3985.4816  4.2978782e-05      11633.647      5.1318     -1
    10     19      7342.1      9174.7   Coal      0     -1   3.175414e+08        9124.04  2.8733387e-05      17401.359      6.4214     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.4232512e+08      4009.2497  2.8169655e-05      17749.596      6.8712     -1
    10     20      9174.7       11465   Coal      0     -1   4.689066e+08        9167.94   1.955174e-05      25573.171      7.7518     -1
    10     20      9174.7       11465   Coal      1     -1  2.2337444e+08       4476.769  2.0041546e-05      24948.175      8.2628     -1
    10     21       11465       14327   Coal      0     -1  1.7152927e+09        36060.3  2.1022826e-05      23783.673      8.5437     -1
    10     21       11465       14327   Coal      1     -1            122      3.2369172    0.026532108      18.845091           1     -1
    10     22       14327       17903   Coal      0     -1  2.2605073e+09       42788.24    1.89286e-05      26415.054      9.9804     -1
    10     22       14327       17903   Coal      1     -1            122      3.2369844    0.026532659        18.8447           1     -1
    10     23       17903       22372   Coal      0     -1  2.8840326e+09       60470.97  2.0967506e-05      23846.423      11.271     -1
    10     23       17903       22372   Coal      1     -1            122      3.2373206    0.026535415      18.842743           1     -1
    10     24       22372       27956   Coal      0     -1  3.4435538e+09        80991.5  2.3519743e-05      21258.736       13.44     -1
    10     24       22372       27956   Coal      1     -1            122      3.2376767    0.026538334       18.84067           1     -1
    10     25       27956       34934   Coal      0     -1  3.7723691e+09      105068.38  2.7852095e-05      17951.971      16.668     -1
    10     25       27956       34934   Coal      1     -1            122      3.2381855    0.026542504       18.83771           1     -1
    10     26       34934       43654   Coal      0     -1  3.7586707e+09      118891.29  3.1631207e-05      15807.174      18.738     -1
    10     26       34934       43654   Coal      1     -1            122       3.238666    0.026546443      18.834915           1     -1
    10     27       43654       54551   Coal      0     -1  3.3819191e+09      124577.97  3.6836473e-05      13573.504      19.642     -1
    10     27       43654       54551   Coal      1     -1            122      3.2393388    0.026551957      18.831004           1     -1
    10     28       54551       68167   Coal      0     -1  2.7998104e+09      108096.68  3.8608571e-05      12950.492      20.811     -1
    10     28       54551       68167   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
