  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      355489.57      6.0773163  1.7095625e-05      29247.249      1.0162     -1
    10      0           0         133   Coal      1     -1      326853.35      14.597879  4.4661862e-05      11195.234      1.0159     -1
    10      1         133       166.2   Coal      0     -1      201113.24  0.00039617616  1.9699158e-09  2.5381795e+08      1.0271     -1
    10      1         133       166.2   Coal      1     -1      173209.88      4.7606938  2.7485117e-05      18191.664      1.0279     -1
    10      2       166.2      207.68   Coal      0     -1      313212.26      1.0120536  3.2312068e-06      154740.95      1.0698     -1
    10      2       166.2      207.68   Coal      1     -1      264021.72      4.9114079  1.8602288e-05      26878.415      1.0685     -1
    10      3      207.68      259.53   Coal      0     -1      492360.45   0.0059161769  1.2015947e-08       41611370      1.0691     -1
    10      3      207.68      259.53   Coal      1     -1      408331.05      1.0014842  2.4526281e-06      203862.95       1.066     -1
    10      4      259.53      324.31   Coal      0     -1      784929.66      1.1641227  1.4830918e-06      337133.55      1.1226     -1
    10      4      259.53      324.31   Coal      1     -1      621625.93      6.2389462  1.0036496e-05      49818.183      1.1174     -1
    10      5      324.31      405.26   Coal      0     -1      1262269.9      5.5304072  4.3813189e-06      114120.89      1.1615     -1
    10      5      324.31      405.26   Coal      1     -1      942041.65      41.248779  4.3786577e-05      11419.025      1.1551     -1
    10      6      405.26      506.42   Coal      0     -1      2025637.6       26.20941  1.2938844e-05      38643.328      1.2528     -1
    10      6      405.26      506.42   Coal      1     -1      1425948.1       27.86871  1.9543986e-05      25583.318       1.246     -1
    10      7      506.42      632.82   Coal      0     -1      3248065.1      89.430828   2.753357e-05       18159.65      1.4153     -1
    10      7      506.42      632.82   Coal      1     -1      2114079.2      69.054841  3.2664264e-05      15307.248      1.4024     -1
    10      8      632.82      790.79   Coal      0     -1      5228081.7       351.5537  6.7243345e-05        7435.68      1.3929     -1
    10      8      632.82      790.79   Coal      1     -1      3058989.8      121.21875  3.9627052e-05      12617.643      1.3832     -1
    10      9      790.79      988.18   Coal      0     -1      8363579.3      683.46681  8.1719415e-05       6118.497      1.6169     -1
    10      9      790.79      988.18   Coal      1     -1      4382587.5      160.79988  3.6690626e-05      13627.459      1.6114     -1
    10     10      988.18      1234.8   Coal      0     -1       13261706      1483.5331  0.00011186593      4469.6361      1.8862     -1
    10     10      988.18      1234.8   Coal      1     -1      6104280.3      230.01133  3.7680335e-05      13269.521      1.9067     -1
    10     11      1234.8      1543.1   Coal      0     -1       20603759        2754.94  0.00013371055      3739.4206      1.9425     -1
    10     11      1234.8      1543.1   Coal      1     -1      8279120.5      266.25907  3.2160309e-05      15547.114      1.9656     -1
    10     12      1543.1      1928.2   Coal      0     -1       30957182        3925.74  0.00012681193      3942.8467       2.361     -1
    10     12      1543.1      1928.2   Coal      1     -1       10964179       418.0743  3.8130927e-05      13112.716      2.4254     -1
    10     13      1928.2      2409.6   Coal      0     -1       44875233        5447.93  0.00012140171      4118.5581      2.4062     -1
    10     13      1928.2      2409.6   Coal      1     -1       14960140       604.1154  4.0381667e-05      12381.856      2.4671     -1
    10     14      2409.6        3011   Coal      0     -1       63530061        6613.61  0.00010410206      4802.9791       2.961     -1
    10     14      2409.6        3011   Coal      1     -1       20848101      1037.4853  4.9764017e-05       10047.42      3.1031     -1
    10     15        3011      3762.6   Coal      0     -1       87832642        8260.26  9.4045446e-05      5316.5785      3.1297     -1
    10     15        3011      3762.6   Coal      1     -1       29757641      1608.8313  5.4064476e-05      9248.2169      3.2876     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.1886334e+08        9584.51  8.0634705e-05       6200.804       3.519     -1
    10     16      3762.6      4701.8   Coal      1     -1       43096330       2595.715  6.0230536e-05      8301.4371      3.7074     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.5958526e+08       11427.39  7.1606802e-05      6982.5769      4.3319     -1
    10     17      4701.8      5875.5   Coal      1     -1       62412803      3689.7299  5.9118157e-05      8457.6385      4.6174     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1729558e+08       10200.38  4.6942419e-05      10651.347      4.6251     -1
    10     18      5875.5      7342.1   Coal      1     -1       93690565      3993.6353    4.26258e-05      11729.985      4.8969     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1204545e+08        8871.53  2.8430249e-05      17586.902      5.6662     -1
    10     19      7342.1      9174.7   Coal      1     -1  1.4515885e+08      3925.4902  2.7042719e-05      18489.265      5.9952     -1
    10     20      9174.7       11465   Coal      0     -1  4.6069917e+08        9138.39  1.9835916e-05      25206.802        7.57     -1
    10     20      9174.7       11465   Coal      1     -1   2.279748e+08      4387.3393  1.9244843e-05      25980.986      7.9949     -1
    10     21       11465       14327   Coal      0     -1  1.7164399e+09       36073.95  2.1016728e-05      23790.573      8.3225     -1
    10     21       11465       14327   Coal      1     -1            122      3.2369172    0.026532108      18.845091           1     -1
    10     22       14327       17903   Coal      0     -1  2.2661131e+09       42711.42  1.8847877e-05      26528.187      10.285     -1
    10     22       14327       17903   Coal      1     -1            122      3.2369844    0.026532659        18.8447           1     -1
    10     23       17903       22372   Coal      0     -1  2.8937906e+09       60782.48   2.100445e-05      23804.479      11.817     -1
    10     23       17903       22372   Coal      1     -1            122      3.2373206    0.026535415      18.842743           1     -1
    10     24       22372       27956   Coal      0     -1  3.4473405e+09       81664.04  2.3688997e-05      21106.845      14.005     -1
    10     24       22372       27956   Coal      1     -1            122      3.2376767    0.026538334       18.84067           1     -1
    10     25       27956       34934   Coal      0     -1  3.7650272e+09      104867.16  2.7852962e-05      17951.412      15.861     -1
    10     25       27956       34934   Coal      1     -1            122      3.2381855    0.026542504       18.83771           1     -1
    10     26       34934       43654   Coal      0     -1  3.7462464e+09      118804.04   3.171282e-05      15766.494      17.124     -1
    10     26       34934       43654   Coal      1     -1            122       3.238666    0.026546443      18.834915           1     -1
    10     27       43654       54551   Coal      0     -1  3.3800924e+09      124076.55  3.6708035e-05      13620.996      20.285     -1
    10     27       43654       54551   Coal      1     -1            122      3.2393388    0.026551957      18.831004           1     -1
    10     28       54551       68167   Coal      0     -1  2.7936064e+09      108559.18   3.885987e-05      12866.744      21.076     -1
    10     28       54551       68167   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
    10     29       68167       85183   Coal      0     -1  2.2144504e+09       81292.05  3.6709808e-05      13620.338      20.867     -1
    10     29       68167       85183   Coal      1     -1            122      3.2397378    0.026555228      18.828684           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.1011117e+09       40686.84  1.9364434e-05      25820.532       22.01     -1
    10     30       85183  1.0645e+05   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.1785863e+09       40083.16  1.8398702e-05       27175.83      23.107     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.1965224e+09       94330.43  1.8152607e-05      27544.253      22.734     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            122      3.2378252    0.026539551      18.839806           1     -1
    10     -1           0       1e+99  Delay     -1     -1   2.599484e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -30442012      -30442012              0           1     -1
    10      0           0         133   Migr      0      1      198848.95  0.00051327448   2.581228e-09              0      1.0274     -1
    10      0           0         133   Migr      1      0      189598.05      62.511838  0.00032970718              0      1.0275     -1
    10      1         133       166.2   Migr      0      1      102944.72  0.00040099713  3.8952666e-09              0       1.032     -1
    10      1         133       166.2   Migr      1      0       94935.24      28.793923  0.00030330068              0      1.0334     -1
    10      2       166.2      207.68   Migr      0      1      157517.27      1.0016212  6.3588022e-06              0      1.0751     -1
    10      2       166.2      207.68   Migr      1      0      143614.52       16.43585  0.00011444421              0      1.0744     -1
    10      3      207.68      259.53   Migr      0      1      243217.44      1.0363669  4.2610715e-06              0      1.0728     -1
    10      3      207.68      259.53   Migr      1      0      220678.02      67.305179  0.00030499267              0      1.0711     -1
    10      4      259.53      324.31   Migr      0      1      380721.74  0.00010728815  2.8180202e-10              0      1.1241     -1
    10      4      259.53      324.31   Migr      1      0      336534.77      66.327884  0.00019709073              0      1.1214     -1
    10      5      324.31      405.26   Migr      0      1      599756.32      7.5420771  1.2575236e-05              0      1.1617     -1
    10      5      324.31      405.26   Migr      1      0      512857.66      139.60105  0.00027220232              0      1.1598     -1
    10      6      405.26      506.42   Migr      0      1      942643.91      18.354396  1.9471187e-05              0       1.251     -1
    10      6      405.26      506.42   Migr      1      0      783252.28      148.27948  0.00018931254              0      1.2518     -1
    10      7      506.42      632.82   Migr      0      1      1479187.8      18.698982  1.2641385e-05              0       1.411     -1
    10      7      506.42      632.82   Migr      1      0      1175342.4      250.24861  0.00021291549              0      1.4094     -1
    10      8      632.82      790.79   Migr      0      1        2318946       29.66928  1.2794295e-05              0      1.3886     -1
    10      8      632.82      790.79   Migr      1      0      1743229.3      468.44112   0.0002687203              0      1.3898     -1
    10      9      790.79      988.18   Migr      0      1      3616713.8      75.837127  2.0968518e-05              0      1.6133     -1
    10      9      790.79      988.18   Migr      1      0      2572120.1      711.23802   0.0002765182              0      1.6197     -1
    10     10      988.18      1234.8   Migr      0      1      5606179.1      198.98928  3.5494635e-05              0      1.8803     -1
    10     10      988.18      1234.8   Migr      1      0      3731703.3      1218.1421  0.00032643059              0      1.9125     -1
    10     11      1234.8      1543.1   Migr      0      1      8550421.6      305.78752  3.5762859e-05              0      1.9342     -1
    10     11      1234.8      1543.1   Migr      1      0      5336678.1      1855.8336   0.0003477507              0      1.9759     -1
    10     12      1543.1      1928.2   Migr      0      1       12714762      669.41386  5.2648557e-05              0      2.3487     -1
    10     12      1543.1      1928.2   Migr      1      0      7502605.5      2069.9759  0.00027590094              0      2.4381     -1
    10     13      1928.2      2409.6   Migr      0      1       18555127       1034.436  5.5749334e-05              0      2.4015     -1
    10     13      1928.2      2409.6   Migr      1      0       10722607      2317.3277  0.00021611606              0      2.4816     -1
    10     14      2409.6        3011   Migr      0      1       26823085       1492.234  5.5632452e-05              0      2.9667     -1
    10     14      2409.6        3011   Migr      1      0       15412004      2585.2137  0.00016774027              0      3.1128     -1
    10     15        3011      3762.6   Migr      0      1       38466318      1876.9539  4.8794738e-05              0      3.1494     -1
