  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      370821.68      4.9261221  1.3284342e-05      37638.295      1.0154     -1
    10      0           0         133   Coal      1     -1      307400.42      4.0035638  1.3023937e-05      38390.848      1.0199     -1
    10      1         133       166.2   Coal      0     -1      206688.06      2.0196309  9.7713963e-06       51169.76      1.0306     -1
    10      1         133       166.2   Coal      1     -1      164658.66      3.0919162  1.8777732e-05      26627.284      1.0347     -1
    10      2       166.2      207.68   Coal      0     -1      321785.89   0.0001496872  4.6517639e-10  1.0748611e+09      1.0502     -1
    10      2       166.2      207.68   Coal      1     -1      253858.94  0.00015951444  6.2835858e-10  7.9572399e+08      1.0558     -1
    10      3      207.68      259.53   Coal      0     -1      503123.77  8.3605688e-05   1.661732e-10  3.0089087e+09      1.0544     -1
    10      3      207.68      259.53   Coal      1     -1      389848.97  0.00018561142  4.7611108e-10  1.0501751e+09      1.0594     -1
    10      4      259.53      324.31   Coal      0     -1      787201.44     0.57016347   7.242917e-07       690329.6      1.1721     -1
    10      4      259.53      324.31   Coal      1     -1      596854.11       5.183334  8.6844237e-06      57574.345      1.1796     -1
    10      5      324.31      405.26   Coal      0     -1      1245328.7      2.9572087  2.3746411e-06      210558.13      1.1577     -1
    10      5      324.31      405.26   Coal      1     -1      916648.65      12.578444  1.3722209e-05      36437.282      1.1639     -1
    10      6      405.26      506.42   Coal      0     -1      1979829.1      20.229452  1.0217777e-05      48934.324      1.3475     -1
    10      6      405.26      506.42   Coal      1     -1      1397343.3       16.45176  1.1773599e-05      42467.896      1.3565     -1
    10      7      506.42      632.82   Coal      0     -1      3153905.3      74.042076  2.3476315e-05      21298.061      1.4693     -1
    10      7      506.42      632.82   Coal      1     -1      2139848.1      57.960052  2.7086059e-05       18459.68       1.479     -1
    10      8      632.82      790.79   Coal      0     -1      4992259.8       393.7434  7.8870775e-05      6339.4838       1.501     -1
    10      8      632.82      790.79   Coal      1     -1      3193795.7      118.59964  3.7134384e-05       13464.61      1.5091     -1
    10      9      790.79      988.18   Coal      0     -1      7961040.9      616.12511  7.7392532e-05      6460.5717      1.6311     -1
    10      9      790.79      988.18   Coal      1     -1      4596001.9       208.1746  4.5294716e-05      11038.815       1.639     -1
    10     10      988.18      1234.8   Coal      0     -1       12703855      1351.6533   0.0001063971      4699.3762      1.9029     -1
    10     10      988.18      1234.8   Coal      1     -1      6327569.7      240.72782  3.8044279e-05      13142.581      1.9225     -1
