  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1       319885.1      35.374391  0.00011058468       4521.422      1.4658     -1
    10      1         133       166.2   Coal      0     -1      170054.21    0.023923827  1.4068353e-07      3554076.3      2.4892     -1
    10      2       166.2      207.68   Coal      0     -1      263468.53      0.1897318  7.2013078e-07      694318.33      2.7158     -1
    10      3      207.68      259.53   Coal      0     -1      409244.79      1.3002039  3.1770812e-06      157377.16      2.7263     -1
    10      4      259.53      324.31   Coal      0     -1      633951.44      9.2943669  1.4661008e-05      34104.068      3.3665     -1
    10      5      324.31      405.26   Coal      0     -1      985322.92      35.187829  3.5711976e-05      14000.905      4.2204     -1
    10      6      405.26      506.42   Coal      0     -1      1518325.2      78.636716   5.179175e-05      9654.0473      5.3487     -1
    10      7      506.42      632.82   Coal      0     -1      2330468.5      201.75662  8.6573419e-05      5775.4447      5.7608     -1
    10      8      632.82      790.79   Coal      0     -1      3532751.5      329.62592  9.3305718e-05      5358.7284      7.1523     -1
    10      9      790.79      988.18   Coal      0     -1      5373581.3      346.89606   6.455584e-05      7745.2326      9.5125     -1
    10     10      988.18      1234.8   Coal      0     -1      8175188.2      528.60115  6.4659202e-05      7732.8514      11.625     -1
    10     11      1234.8      1543.1   Coal      0     -1       12381416      709.73756   5.732281e-05      8722.5312      12.232     -1
    10     12      1543.1      1928.2   Coal      0     -1       18735492         921.86  4.9203938e-05      10161.788      14.783     -1
    10     13      1928.2      2409.6   Coal      0     -1       28256231      1163.0778  4.1161818e-05       12147.18      18.556     -1
    10     14      2409.6        3011   Coal      0     -1       42745293      1493.1246  3.4930738e-05       14314.04      21.017     -1
    10     15        3011      3762.6   Coal      0     -1       64366382      2056.4938  3.1949812e-05      15649.544      23.544     -1
    10     16      3762.6      4701.8   Coal      0     -1       96444385        2978.66  3.0884742e-05      16189.224      27.608     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4295172e+08         4449.4  3.1125193e-05      16064.157       31.87     -1
    10     18      5875.5      7342.1   Coal      0     -1   2.117219e+08        4982.79  2.3534599e-05      21245.316       41.15     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1417444e+08        6048.53  1.9252139e-05       25971.14      45.111     -1
    10     20      9174.7       11465   Coal      0     -1  4.6694753e+08        7968.75  1.7065622e-05      29298.669      58.732     -1
    10     21       11465       14327   Coal      0     -1  6.8461563e+08       11668.64  1.7044075e-05      29335.708       62.56     -1
    10     22       14327       17903   Coal      0     -1  9.8145254e+08       17900.05  1.8238325e-05      27414.799      82.671     -1
    10     23       17903       22372   Coal      0     -1  1.3376659e+09       29737.93  2.2231209e-05      22490.905      88.577     -1
    10     24       22372       27956   Coal      0     -1  1.7107229e+09       43213.72  2.5260502e-05      19793.748       101.9     -1
    10     25       27956       34934   Coal      0     -1  2.0232462e+09       58445.71  2.8887098e-05      17308.765      109.37     -1
    10     26       34934       43654   Coal      0     -1  2.2019491e+09       68952.04  3.1314094e-05      15967.251      113.43     -1
    10     27       43654       54551   Coal      0     -1  2.1819177e+09       75473.25  3.4590329e-05      14454.907       111.7     -1
    10     28       54551       68167   Coal      0     -1   1.933368e+09       69919.14  3.6164425e-05      13825.742      91.996     -1
    10     29       68167       85183   Coal      0     -1  1.6364289e+09       54502.07  3.3305493e-05      15012.539      79.952     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.5649962e+09       28739.81   1.836414e-05      27226.975      71.798     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.6225202e+09       28553.83  1.7598443e-05      28411.604      72.591     -1
