  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      310559.43      23.986819   7.723745e-05      6473.5436      1.5198     -1
    10      1         133       166.2   Coal      0     -1      163721.92      6.2237284   3.801402e-05      13153.042      2.2775     -1
    10      2       166.2      207.68   Coal      0     -1      256962.41    0.010793061  4.2002491e-08       11904056      2.3071     -1
    10      3      207.68      259.53   Coal      0     -1       400372.1      4.6035568  1.1498196e-05      43485.083       2.927     -1
    10      4      259.53      324.31   Coal      0     -1       634335.5      3.2919732  5.1896405e-06      96345.787      3.2282     -1
    10      5      324.31      405.26   Coal      0     -1      986682.55      26.404205  2.6760588e-05      18684.193      4.4171     -1
    10      6      405.26      506.42   Coal      0     -1      1522694.7      63.273198  4.1553437e-05      12032.699      5.3079     -1
    10      7      506.42      632.82   Coal      0     -1      2344563.8      102.50035  4.3718302e-05      11436.858      6.0382     -1
    10      8      632.82      790.79   Coal      0     -1      3584066.3      309.21965  8.6276209e-05      5795.3404      6.3167     -1
    10      9      790.79      988.18   Coal      0     -1      5414626.6      402.68166  7.4369238e-05      6723.2099      8.9864     -1
    10     10      988.18      1234.8   Coal      0     -1        8191067      529.45937  6.4638633e-05      7735.3121      11.941     -1
    10     11      1234.8      1543.1   Coal      0     -1       12428461      678.89543  5.4624255e-05      9153.4429      11.819     -1
    10     12      1543.1      1928.2   Coal      0     -1       18820188         880.74  4.6797619e-05      10684.304      15.913     -1
    10     13      1928.2      2409.6   Coal      0     -1       28451036         1175.1  4.1302538e-05      12105.794      18.009     -1
    10     14      2409.6        3011   Coal      0     -1       42912141        1611.01  3.7542056e-05      13318.397      21.551     -1
    10     15        3011      3762.6   Coal      0     -1       64444106        2053.73  3.1868391e-05      15689.527       25.56     -1
    10     16      3762.6      4701.8   Coal      0     -1       96656324        2939.29  3.0409702e-05      16442.121       27.19     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.4345787e+08        4449.23  3.1014194e-05      16121.651      31.485     -1
    10     18      5875.5      7342.1   Coal      0     -1  2.1203297e+08        5172.82    2.43963e-05      20494.911      39.296     -1
    10     19      7342.1      9174.7   Coal      0     -1  3.1450613e+08        5997.18  1.9068563e-05      26221.168       49.96     -1
    10     20      9174.7       11465   Coal      0     -1   4.677199e+08        7957.99  1.7014435e-05      29386.811      61.701     -1
    10     21       11465       14327   Coal      0     -1  6.8608378e+08       11580.99  1.6879848e-05       29621.12      63.297     -1
    10     22       14327       17903   Coal      0     -1  9.8440906e+08       17842.52  1.8125107e-05      27586.043      83.636     -1
    10     23       17903       22372   Coal      0     -1  1.3419007e+09       29801.11  2.2208134e-05      22514.273      89.626     -1
    10     24       22372       27956   Coal      0     -1  1.7166118e+09       43135.33   2.512818e-05      19897.979      99.773     -1
    10     25       27956       34934   Coal      0     -1  2.0354333e+09       58510.67  2.8746051e-05      17393.693      112.58     -1
    10     26       34934       43654   Coal      0     -1   2.214224e+09       69223.43  3.1263065e-05      15993.313      112.66     -1
    10     27       43654       54551   Coal      0     -1  2.1901432e+09       75777.46  3.4599318e-05      14451.152      109.87     -1
    10     28       54551       68167   Coal      0     -1  1.9381841e+09       70236.58  3.6238343e-05       13797.54      92.521     -1
    10     29       68167       85183   Coal      0     -1  1.6359373e+09       54701.93  3.3437669e-05      14953.195      81.361     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.5609296e+09       28792.95  1.8446027e-05      27106.108      73.329     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.6174655e+09       28691.56  1.7738591e-05      28187.131      75.302     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1   4.014066e+09       69300.11  1.7264317e-05      28961.469      57.613     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5967832e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -15660862      -15660862              0           1     -1
    10     -1           0       1e+99 Recomb     -1     -1           4257  1.2771005e-05  3.0000011e-09              0           1     -1
    10     -1           0       1e+99 Resamp     -1     -1  2.5967832e+09         731733  0.00028178441              0           1     -1
     9      0           0         133   Coal      0     -1       308132.6        27.0295  8.7720351e-05      5699.9316      1.5103     -1
     9      1         133       166.2   Coal      0     -1      165796.65      8.2574969  4.9804969e-05      10039.159       2.277     -1
     9      2       166.2      207.68   Coal      0     -1      256542.28    0.036049662  1.4052133e-07      3558178.7      2.5999     -1
     9      3      207.68      259.53   Coal      0     -1      399241.53      5.4059804  1.3540626e-05      36925.914      2.9655     -1
     9      4      259.53      324.31   Coal      0     -1      622383.43      5.5086338  8.8508683e-06      56491.633      3.5028     -1
     9      5      324.31      405.26   Coal      0     -1      975288.87      27.069854  2.7755729e-05      18014.299      4.7975     -1
     9      6      405.26      506.42   Coal      0     -1      1514831.7      64.790766  4.2770935e-05      11690.182      5.1838     -1
     9      7      506.42      632.82   Coal      0     -1      2330858.8      101.88108  4.3709674e-05      11439.115      6.5367     -1
     9      8      632.82      790.79   Coal      0     -1      3564593.4      307.94218  8.6389146e-05      5787.7641      6.4799     -1
     9      9      790.79      988.18   Coal      0     -1        5401311      397.03828  7.3507763e-05      6802.0027       9.251     -1
     9     10      988.18      1234.8   Coal      0     -1      8189190.9      518.14139  6.3271377e-05      7902.4675      11.492     -1
     9     11      1234.8      1543.1   Coal      0     -1       12435624      666.94228   5.363159e-05      9322.8637      11.964     -1
