  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      325180.22      9.3073505   2.862213e-05      17469.001      1.0159     -1
    10      0           0         133   Coal      1     -1      309547.86      23.170382   7.485234e-05      6679.8179      1.0192     -1
    10      1         133       166.2   Coal      0     -1      176234.83       6.779371  3.8467827e-05      12997.875      1.0475     -1
    10      1         133       166.2   Coal      1     -1      165892.43       24.56019  0.00014804889      3377.2628      1.0518     -1
    10      2       166.2      207.68   Coal      0     -1      272488.91       41.70885  0.00015306623      3266.5598      1.0763     -1
    10      2       166.2      207.68   Coal      1     -1      251604.65      35.635894  0.00014163448      3530.2138      1.0815     -1
    10      3      207.68      259.53   Coal      0     -1      424266.94      6.2230875  1.4667859e-05      34088.139      1.0808     -1
    10      3      207.68      259.53   Coal      1     -1      391208.19      12.598154  3.2203196e-05      15526.409      1.0825     -1
    10      4      259.53      324.31   Coal      0     -1      659379.57      24.190953  3.6687447e-05       13628.64       1.145     -1
    10      4      259.53      324.31   Coal      1     -1      611394.23      21.806026  3.5666065e-05      14018.928      1.1496     -1
    10      5      324.31      405.26   Coal      0     -1      1027637.1       41.60214  4.0483298e-05      12350.772       1.244     -1
    10      5      324.31      405.26   Coal      1     -1      949735.29      15.790841  1.6626571e-05      30072.346      1.2564     -1
    10      6      405.26      506.42   Coal      0     -1      1600685.2      85.429381  5.3370507e-05      9368.4701       1.264     -1
    10      6      405.26      506.42   Coal      1     -1      1472288.2      81.224769   5.516907e-05      9063.0492      1.2786     -1
    10      7      506.42      632.82   Coal      0     -1      2480827.6      197.31315  7.9535215e-05      6286.5235      1.4281     -1
    10      7      506.42      632.82   Coal      1     -1      2260517.3      132.62198  5.8668864e-05      8522.4081      1.4551     -1
    10      8      632.82      790.79   Coal      0     -1      3770451.1      680.92487  0.00018059507      2768.6249      1.6203     -1
    10      8      632.82      790.79   Coal      1     -1      3406015.9      288.08392   8.458091e-05      5911.4994      1.6718     -1
    10      9      790.79      988.18   Coal      0     -1      5579993.2      1144.9776  0.00020519337      2436.7259      1.7612     -1
    10      9      790.79      988.18   Coal      1     -1      5127910.4      248.27536  4.8416478e-05      10327.063      1.8489     -1
    10     10      988.18      1234.8   Coal      0     -1      8267537.1      1776.3397  0.00021485717      2327.1273      1.9078     -1
    10     10      988.18      1234.8   Coal      1     -1      7592637.5       319.7482  4.2112928e-05      11872.839      2.0465     -1
    10     11      1234.8      1543.1   Coal      0     -1       12098977        2470.43  0.00020418503      2448.7593      2.0265     -1
    10     11      1234.8      1543.1   Coal      1     -1       11154400      303.31077  2.7192028e-05      18387.742       2.216     -1
    10     12      1543.1      1928.2   Coal      0     -1       17698018        3230.73  0.00018254756      2739.0122      2.3707     -1
    10     12      1543.1      1928.2   Coal      1     -1       16283822        358.757  2.2031499e-05      22694.779      2.6824     -1
    10     13      1928.2      2409.6   Coal      0     -1       26094174        3870.64  0.00014833349      3370.7829      2.5752     -1
    10     13      1928.2      2409.6   Coal      1     -1       23530637      533.08325  2.2654858e-05      22070.321      2.9477     -1
    10     14      2409.6        3011   Coal      0     -1       38669945        4348.71   0.0001124571      4446.1397      2.8948     -1
    10     14      2409.6        3011   Coal      1     -1       34096615       821.1347  2.4082587e-05      20761.889       3.325     -1
    10     15        3011      3762.6   Coal      0     -1       57598915        5034.66  8.7408938e-05      5720.2388      3.4253     -1
    10     15        3011      3762.6   Coal      1     -1       49389782      1388.2079  2.8107187e-05      17789.044       3.972     -1
    10     16      3762.6      4701.8   Coal      0     -1       85262922        6304.48  7.3941637e-05        6762.09      4.3199     -1
    10     16      3762.6      4701.8   Coal      1     -1       71969949      2284.2807  3.1739368e-05      15753.307      5.0425     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.2294291e+08        8148.54  6.6279054e-05      7543.8614       4.619     -1
    10     17      4701.8      5875.5   Coal      1     -1  1.0481739e+08      3875.0925  3.6969938e-05      13524.502      5.3287     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.7773758e+08        7710.86  4.3383398e-05      11525.146      5.6929     -1
    10     18      5875.5      7342.1   Coal      1     -1   1.533643e+08      4980.5892  3.2475546e-05        15396.2      6.4737     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.6454294e+08        7664.14  2.8971251e-05      17258.488      6.6596     -1
    10     19      7342.1      9174.7   Coal      1     -1  2.2647455e+08      5555.1611  2.4528854e-05      20384.157      7.4738     -1
    10     20      9174.7       11465   Coal      0     -1  3.9946932e+08      7980.3259  1.9977319e-05      25028.384      7.9638     -1
    10     20      9174.7       11465   Coal      1     -1  3.3952084e+08      6850.7135  2.0177594e-05      24779.962       8.693     -1
    10     21       11465       14327   Coal      0     -1  1.9225967e+09       38197.93  1.9867885e-05      25166.242      9.6321     -1
    10     21       11465       14327   Coal      1     -1            121      3.2361106    0.026744716      18.695282           1     -1
    10     22       14327       17903   Coal      0     -1  2.5216512e+09        46691.2  1.8516122e-05      27003.495        11.4     -1
    10     22       14327       17903   Coal      1     -1            121      3.2361772    0.026745266      18.694897           1     -1
    10     23       17903       22372   Coal      0     -1  3.1837004e+09       66336.65  2.0836336e-05      23996.542      12.963     -1
    10     23       17903       22372   Coal      1     -1            121      3.2365108    0.026748023       18.69297           1     -1
    10     24       22372       27956   Coal      0     -1  3.7492945e+09       89064.73  2.3755064e-05      21048.144      14.829     -1
    10     24       22372       27956   Coal      1     -1            121      3.2368639    0.026750941      18.690931           1     -1
    10     25       27956       34934   Coal      0     -1  4.0532895e+09      112698.08  2.7804103e-05      17982.957       17.35     -1
    10     25       27956       34934   Coal      1     -1            121      3.2373682    0.026755109       18.68802           1     -1
    10     26       34934       43654   Coal      0     -1  4.0088341e+09      126360.73  3.1520569e-05      15862.658      19.146     -1
    10     26       34934       43654   Coal      1     -1            121      3.2378444    0.026759045      18.685271           1     -1
    10     27       43654       54551   Coal      0     -1  3.5974041e+09      131714.42  3.6613741e-05      13656.075      20.479     -1
    10     27       43654       54551   Coal      1     -1            121      3.2385114    0.026764557      18.681423           1     -1
    10     28       54551       68167   Coal      0     -1  2.9631137e+09      114946.12  3.8792342e-05      12889.142      21.396     -1
    10     28       54551       68167   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     29       68167       85183   Coal      0     -1  2.3460366e+09       86572.13  3.6901441e-05      13549.606      21.353     -1
    10     29       68167       85183   Coal      1     -1            121      3.2389071    0.026767827       18.67914           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1  2.2086528e+09       43222.65   1.956969e-05      25549.715       20.58     -1
    10     30       85183  1.0645e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2918792e+09       42482.33  1.8536025e-05      26974.499      23.056     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.5917694e+09      100090.48  1.7899608e-05      27933.573      21.912     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            121      3.2370109    0.026752156      18.690082           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5999525e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -32151402      -32151402              0           1     -1
    10      0           0         133   Migr      0      1       186613.8  0.00021355161  1.1443506e-09              0       1.024     -1
    10      0           0         133   Migr      1      0      179352.62      5.3068128  2.9588711e-05              0      1.0273     -1
    10      1         133       166.2   Migr      0      1       93964.31   0.0031470703  3.3492188e-08              0      1.0503     -1
    10      1         133       166.2   Migr      1      0       89363.33  0.00046226821  5.1729071e-09              0      1.0548     -1
    10      2       166.2      207.68   Migr      0      1      143675.75   0.0002820849  1.9633439e-09              0       1.079     -1
    10      2       166.2      207.68   Migr      1      0      134358.91      10.521531  7.8309142e-05              0      1.0846     -1
    10      3      207.68      259.53   Migr      0      1      221670.72  0.00018285063  8.2487496e-10              0      1.0842     -1
    10      3      207.68      259.53   Migr      1      0      206823.34      6.7068183  3.2427763e-05              0      1.0867     -1
    10      4      259.53      324.31   Migr      0      1      341843.71  0.00011820139  3.4577611e-10              0      1.1471     -1
    10      4      259.53      324.31   Migr      1      0      320478.61      2.9165264  9.1005338e-06              0      1.1522     -1
    10      5      324.31      405.26   Migr      0      1      529272.27      1.0038346  1.8966317e-06              0      1.2457     -1
    10      5      324.31      405.26   Migr      1      0       495380.7      17.969984  3.6275099e-05              0      1.2582     -1
    10      6      405.26      506.42   Migr      0      1      819812.51  5.9735166e-05  7.2864424e-11              0      1.2661     -1
    10      6      405.26      506.42   Migr      1      0      765412.21      28.393936  3.7096268e-05              0      1.2805     -1
    10      7      506.42      632.82   Migr      0      1      1263179.9      1.0101194  7.9966394e-07              0      1.4309     -1
    10      7      506.42      632.82   Migr      1      0      1177548.7      87.893711  7.4641251e-05              0      1.4576     -1
    10      8      632.82      790.79   Migr      0      1      1920894.3      10.759428  5.6012596e-06              0      1.6233     -1
    10      8      632.82      790.79   Migr      1      0      1787692.5      112.68185  6.3032007e-05              0      1.6742     -1
    10      9      790.79      988.18   Migr      0      1        2860829      10.844747  3.7907707e-06              0      1.7636     -1
    10      9      790.79      988.18   Migr      1      0      2717358.6      225.50321   8.298618e-05              0      1.8488     -1
    10     10      988.18      1234.8   Migr      0      1      4263284.6      20.483206  4.8045599e-06              0      1.9089     -1
    10     10      988.18      1234.8   Migr      1      0      4092095.8      501.44293  0.00012253939              0      2.0457     -1
    10     11      1234.8      1543.1   Migr      0      1      6277806.4      72.904823  1.1613105e-05              0       2.028     -1
    10     11      1234.8      1543.1   Migr      1      0      6139787.3      739.42668  0.00012043197              0      2.2136     -1
    10     12      1543.1      1928.2   Migr      0      1        9247324      159.48821  1.7246958e-05              0      2.3694     -1
    10     12      1543.1      1928.2   Migr      1      0      9172800.1      1079.3783  0.00011767163              0      2.6789     -1
    10     13      1928.2      2409.6   Migr      0      1       13706246      260.00979  1.8970167e-05              0       2.568     -1
    10     13      1928.2      2409.6   Migr      1      0       13618508      1465.0222  0.00010757582              0      2.9435     -1
    10     14      2409.6        3011   Migr      0      1       20403865       570.5808  2.7964348e-05              0      2.8866     -1
    10     14      2409.6        3011   Migr      1      0       20197465        1695.57  8.3949642e-05              0       3.323     -1
