  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      313830.63      31.593427  0.00010067031      4966.7076      1.0217     -1
    10      0           0         133   Coal      1     -1      288302.64      81.077862  0.00028122483      1777.9369      1.0196     -1
    10      1         133       166.2   Coal      0     -1      171239.75      16.852059  9.8412075e-05      5080.6773      1.0725     -1
    10      1         133       166.2   Coal      1     -1       154006.6      19.669383  0.00012771779      3914.8813      1.0658     -1
    10      2       166.2      207.68   Coal      0     -1      269848.46      1.4419252  5.3434629e-06      93572.279      1.0971     -1
    10      2       166.2      207.68   Coal      1     -1      238699.57      14.459696  6.0576969e-05       8253.962       1.094     -1
    10      3      207.68      259.53   Coal      0     -1      422225.34      6.6614402  1.5776979e-05      31691.746      1.1095     -1
    10      3      207.68      259.53   Coal      1     -1      373276.11      18.062735  4.8389743e-05      10332.768      1.1077     -1
    10      4      259.53      324.31   Coal      0     -1      663497.61      37.797098  5.6966442e-05      8777.0973      1.1775     -1
    10      4      259.53      324.31   Coal      1     -1      578830.99      31.826469  5.4984045e-05       9093.547      1.1764     -1
    10      5      324.31      405.26   Coal      0     -1      1033727.6       40.42632  3.9107324e-05      12785.329       1.237     -1
    10      5      324.31      405.26   Coal      1     -1      904046.88      94.940351  0.00010501707      4761.1309      1.2397     -1
    10      6      405.26      506.42   Coal      0     -1      1612916.2      87.026011  5.3955692e-05      9266.8629      1.3291     -1
    10      6      405.26      506.42   Coal      1     -1        1400628      82.117609  5.8629135e-05      8528.1832      1.3352     -1
    10      7      506.42      632.82   Coal      0     -1      2499292.2       203.4765  8.1413653e-05       6141.476      1.5066     -1
    10      7      506.42      632.82   Coal      1     -1      2167248.2      182.51815   8.421654e-05       5937.076      1.5046     -1
    10      8      632.82      790.79   Coal      0     -1        3753301      730.35283  0.00019458946      2569.5122      1.6163     -1
    10      8      632.82      790.79   Coal      1     -1      3284738.8      234.50414   7.139202e-05      7003.5839      1.6254     -1
    10      9      790.79      988.18   Coal      0     -1      5535773.9      1103.5976  0.00019935742      2508.0581      1.7326     -1
    10      9      790.79      988.18   Coal      1     -1      4933678.3      330.49108  6.6986751e-05      7464.1626      1.7594     -1
    10     10      988.18      1234.8   Coal      0     -1      8172813.9      1817.6581  0.00022240297      2248.1714      1.9242     -1
    10     10      988.18      1234.8   Coal      1     -1        7242891      371.31741  5.1266463e-05      9752.9646      1.9912     -1
    10     11      1234.8      1543.1   Coal      0     -1       11892855        2499.51  0.00021016904      2379.0373      2.1461     -1
    10     11      1234.8      1543.1   Coal      1     -1       10555260      395.90924  3.7508242e-05      13330.403      2.2748     -1
    10     12      1543.1      1928.2   Coal      0     -1       17458842        3250.53  0.00018618245      2685.5378      2.4147     -1
    10     12      1543.1      1928.2   Coal      1     -1       15280903      449.51369  2.9416696e-05       16997.15      2.6301     -1
    10     13      1928.2      2409.6   Coal      0     -1       25886484        3752.14  0.00014494591      3449.5627      2.6503     -1
    10     13      1928.2      2409.6   Coal      1     -1       21991667        602.576  2.7400197e-05      18248.044      2.9713     -1
    10     14      2409.6        3011   Coal      0     -1       38319750        4212.12  0.00010992034      4548.7486      3.0528     -1
    10     14      2409.6        3011   Coal      1     -1       32094007      804.62348  2.5070833e-05      19943.494       3.449     -1
    10     15        3011      3762.6   Coal      0     -1       56665840         5013.5  8.8474821e-05      5651.3254      3.6354     -1
    10     15        3011      3762.6   Coal      1     -1       47147875      1360.0039  2.8845498e-05      17333.727      4.1204     -1
    10     16      3762.6      4701.8   Coal      0     -1       83133153         6256.3  7.5256378e-05      6643.9552      4.3999     -1
    10     16      3762.6      4701.8   Coal      1     -1       69395401      2303.2758  3.3190612e-05      15064.501       5.021     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.1906271e+08        8222.43   6.905966e-05      7240.1167      4.7546     -1
    10     17      4701.8      5875.5   Coal      1     -1  1.0113876e+08      4003.7577  3.9586778e-05       12630.48      5.3453     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.7175206e+08        7331.29   4.268531e-05      11713.632      6.1495     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.4759022e+08      4777.0596  3.2367047e-05       15447.81       6.923     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.5634321e+08        7019.83  2.7384497e-05      18258.506      7.2477     -1
    10     19      7342.1      9174.7   Coal      1     -1  2.1874061e+08      5497.1614  2.5130959e-05      19895.779      7.9534     -1
    10     20      9174.7       11465   Coal      0     -1  3.8847935e+08        7747.89  1.9944149e-05      25070.009      8.4997     -1
    10     20      9174.7       11465   Coal      1     -1  3.2821536e+08      6709.4727  2.0442287e-05      24459.103      9.2566     -1
    10     21       11465       14327   Coal      0     -1   1.866467e+09       37029.67  1.9839445e-05      25202.318      9.6211     -1
    10     21       11465       14327   Coal      1     -1            124      3.2384927    0.026116877      19.144709           1     -1
    10     22       14327       17903   Coal      0     -1  2.4532852e+09       45633.07  1.8600801e-05      26880.563       11.54     -1
    10     22       14327       17903   Coal      1     -1            124      3.2385612    0.026117429      19.144304           1     -1
    10     23       17903       22372   Coal      0     -1  3.1061428e+09       64640.17  2.0810431e-05      24026.412      13.606     -1
    10     23       17903       22372   Coal      1     -1            124      3.2389033    0.026120188      19.142282           1     -1
    10     24       22372       27956   Coal      0     -1  3.6673564e+09       87458.44  2.3847816e-05      20966.281      15.219     -1
    10     24       22372       27956   Coal      1     -1            124      3.2392656     0.02612311      19.140141           1     -1
    10     25       27956       34934   Coal      0     -1  3.9677099e+09      110861.32  2.7940884e-05      17894.924      16.995     -1
    10     25       27956       34934   Coal      1     -1            124      3.2397831    0.026127283      19.137084           1     -1
    10     26       34934       43654   Coal      0     -1  3.9257448e+09      124591.19  3.1736956e-05      15754.504      18.839     -1
    10     26       34934       43654   Coal      1     -1            124       3.240272    0.026131226      19.134196           1     -1
    10     27       43654       54551   Coal      0     -1  3.5277378e+09      129763.65  3.6783814e-05      13592.935      21.041     -1
    10     27       43654       54551   Coal      1     -1            124      3.2409561    0.026136743      19.130157           1     -1
    10     28       54551       68167   Coal      0     -1  2.9102849e+09      113071.97  3.8852543e-05      12869.171      21.915     -1
    10     28       54551       68167   Coal      1     -1            124      3.2413622    0.026140018       19.12776           1     -1
    10     29       68167       85183   Coal      0     -1  2.3101507e+09       84666.45  3.6649752e-05      13642.657      21.314     -1
    10     29       68167       85183   Coal      1     -1            124      3.2413622    0.026140018       19.12776           1     -1
    10     30       85183  1.0645e+05   Coal      0     -1   2.183552e+09       42703.16  1.9556741e-05      25566.633      21.482     -1
    10     30       85183  1.0645e+05   Coal      1     -1            124      3.2394164    0.026124326       19.13925           1     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2618873e+09       41732.47  1.8450287e-05      27099.849      23.403     -1
    10     31  1.0645e+05  1.3302e+05   Coal      1     -1            124      3.2394164    0.026124326       19.13925           1     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1  5.4615381e+09       98718.01   1.807513e-05      27662.319       24.18     -1
    10     32  1.3302e+05       1e+99   Coal      1     -1            124      3.2394164    0.026124326       19.13925           1     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5992731e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -31538274      -31538274              0           1     -1
    10      0           0         133   Migr      0      1       181994.4      2.0022842    1.10019e-05              0      1.0297     -1
    10      0           0         133   Migr      1      0      169551.55  0.00024502121  1.4451134e-09              0      1.0281     -1
    10      1         133       166.2   Migr      0      1       91898.88  0.00043486774  4.7320244e-09              0      1.0763     -1
    10      1         133       166.2   Migr      1      0       83876.68      18.303403  0.00021821802              0      1.0709     -1
    10      2       166.2      207.68   Migr      0      1      142815.86  0.00028410048  1.9892782e-09              0      1.1003     -1
    10      2       166.2      207.68   Migr      1      0      128662.16      2.9747398  2.3120549e-05              0      1.0989     -1
    10      3      207.68      259.53   Migr      0      1      221002.95      1.0001835  4.5256567e-06              0      1.1119     -1
    10      3      207.68      259.53   Migr      1      0      199250.52      4.8306876  2.4244291e-05              0      1.1126     -1
    10      4      259.53      324.31   Migr      0      1      344399.04     0.32011957  9.2950193e-07              0      1.1783     -1
    10      4      259.53      324.31   Migr      1      0      306651.31      3.5633677  1.1620259e-05              0      1.1798     -1
    10      5      324.31      405.26   Migr      0      1      533676.08  0.00017336803  3.2485629e-10              0      1.2372     -1
    10      5      324.31      405.26   Migr      1      0      476758.29      8.4253336  1.7672128e-05              0      1.2435     -1
    10      6      405.26      506.42   Migr      0      1      827694.37      4.0066693  4.8407594e-06              0        1.33     -1
    10      6      405.26      506.42   Migr      1      0       737214.4      17.330983  2.3508742e-05              0      1.3404     -1
    10      7      506.42      632.82   Migr      0      1      1277744.3      3.8722251  3.0305164e-06              0      1.5068     -1
    10      7      506.42      632.82   Migr      1      0        1141184      58.751236  5.1482703e-05              0      1.5108     -1
    10      8      632.82      790.79   Migr      0      1      1922847.1      3.6456101  1.8959438e-06              0      1.6166     -1
    10      8      632.82      790.79   Migr      1      0      1743006.2      103.54575  5.9406414e-05              0      1.6335     -1
    10      9      790.79      988.18   Migr      0      1      2858233.4      14.292634  5.0005133e-06              0      1.7338     -1
    10      9      790.79      988.18   Migr      1      0      2646388.3      243.61607  9.2056057e-05              0      1.7679     -1
    10     10      988.18      1234.8   Migr      0      1      4227826.1      23.524142  5.5641223e-06              0      1.9299     -1
    10     10      988.18      1234.8   Migr      1      0      3963142.3      538.58721  0.00013589904              0      1.9994     -1
    10     11      1234.8      1543.1   Migr      0      1      6199769.9      82.221095  1.3261959e-05              0      2.1491     -1
    10     11      1234.8      1543.1   Migr      1      0      5906310.3       690.4018  0.00011689223              0      2.2813     -1
    10     12      1543.1      1928.2   Migr      0      1      9154535.3       140.1501  1.5309363e-05              0      2.4154     -1
    10     12      1543.1      1928.2   Migr      1      0      8785419.8      1157.4645  0.00013174834              0      2.6386     -1
    10     13      1928.2      2409.6   Migr      0      1       13620562      319.23084  2.3437421e-05              0      2.6541     -1
    10     13      1928.2      2409.6   Migr      1      0       12999211      1366.3978   0.0001051139              0      2.9758     -1
    10     14      2409.6        3011   Migr      0      1       20305240       565.3708  2.7843591e-05              0      3.0579     -1
    10     14      2409.6        3011   Migr      1      0       19316343      1611.4097  8.3422092e-05              0      3.4639     -1
    10     15        3011      3762.6   Migr      0      1       30270306      865.56558  2.8594543e-05              0      3.6388     -1
    10     15        3011      3762.6   Migr      1      0       28799821       1776.515  6.1684933e-05              0      4.1415     -1
    10     16      3762.6      4701.8   Migr      0      1       45035055      1195.0111  2.6535131e-05              0      4.3939     -1
    10     16      3762.6      4701.8   Migr      1      0       42868054      2019.5118  4.7109949e-05              0      5.0373     -1
    10     17      4701.8      5875.5   Migr      0      1       66169929      1537.0709  2.3229146e-05              0      4.7545     -1
    10     17      4701.8      5875.5   Migr      1      0       63254992      2124.7008  3.3589457e-05              0      5.3788     -1
    10     18      5875.5      7342.1   Migr      0      1       97869585      1897.4014  1.9387038e-05              0      6.1118     -1
    10     18      5875.5      7342.1   Migr      1      0       93370626      2166.2034  2.3200052e-05              0      6.9458     -1
    10     19      7342.1      9174.7   Migr      0      1  1.4823665e+08      2579.7597  1.7402981e-05              0      7.1936     -1
    10     19      7342.1      9174.7   Migr      1      0  1.3946583e+08      2719.4335  1.9498923e-05              0      7.9897     -1
    10     20      9174.7       11465   Migr      0      1  2.2736406e+08        3880.07   1.706545e-05              0      8.4553     -1
    10     20      9174.7       11465   Migr      1      0   2.107577e+08      3779.2534  1.7931745e-05              0      9.3021     -1
    10     21       11465       14327   Migr      0      1  6.4148962e+08              0              0              0      9.9308     -1
    10     21       11465       14327   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     22       14327       17903   Migr      0      1  9.0686998e+08              0              0              0      11.976     -1
    10     22       14327       17903   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     23       17903       22372   Migr      0      1  1.2580951e+09              0              0              0      14.186     -1
    10     23       17903       22372   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     24       22372       27956   Migr      0      1  1.6858104e+09              0              0              0      15.889     -1
    10     24       22372       27956   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     25       27956       34934   Migr      0      1  2.1633565e+09              0              0              0       17.71     -1
    10     25       27956       34934   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     26       34934       43654   Migr      0      1  2.6394122e+09              0              0              0       19.31     -1
    10     26       34934       43654   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     27       43654       54551   Migr      0      1  2.9817642e+09              0              0              0      20.889     -1
    10     27       43654       54551   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     28       54551       68167   Migr      0      1  3.0270203e+09              0              0              0      20.762     -1
    10     28       54551       68167   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     29       68167       85183   Migr      0      1  2.7750728e+09              0              0              0      19.225     -1
    10     29       68167       85183   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     30       85183  1.0645e+05   Migr      0      1  2.6747345e+09              0              0              0      18.529     -1
    10     30       85183  1.0645e+05   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     31  1.0645e+05  1.3302e+05   Migr      0      1  2.7621337e+09              0              0              0      19.339     -1
    10     31  1.0645e+05  1.3302e+05   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     32  1.3302e+05       1e+99   Migr      0      1  7.5451082e+09              0              0              0      19.828     -1
    10     32  1.3302e+05       1e+99   Migr      1      0            124      3.2389033    0.026120188              0           1     -1
    10     -1           0       1e+99 Recomb     -1     -1           4092  1.2276004e-05  3.0000011e-09              0           1     -1
    10     -1           0       1e+99 Resamp     -1     -1  2.5992731e+09        2107373  0.00081075473              0           1     -1
     9      0           0         133   Coal      0     -1      325052.24      28.244064  8.6890847e-05       5754.346       1.019     -1
     9      0           0         133   Coal      1     -1      286753.01      68.670277  0.00023947535      2087.8976      1.0175     -1
     9      1         133       166.2   Coal      0     -1      177636.14      20.425575  0.00011498547      4348.3756      1.0526     -1
     9      1         133       166.2   Coal      1     -1      155621.87      20.688665  0.00013294189      3761.0419      1.0485     -1
     9      2       166.2      207.68   Coal      0     -1      275583.15      1.5380425   5.581047e-06      89588.925      1.0746     -1
     9      2       166.2      207.68   Coal      1     -1      241214.15      14.880279  6.1689082e-05       8105.162      1.0727     -1
     9      3      207.68      259.53   Coal      0     -1      427844.82      6.6798562  1.5612801e-05      32025.002      1.1253     -1
     9      3      207.68      259.53   Coal      1     -1      379694.19      20.945178  5.5163284e-05           9064      1.1142     -1
     9      4      259.53      324.31   Coal      0     -1      662871.91      32.745209  4.9398999e-05      10121.663      1.2151     -1
     9      4      259.53      324.31   Coal      1     -1      587274.57      38.267281  6.5160801e-05      7673.3249      1.2045     -1
     9      5      324.31      405.26   Coal      0     -1      1022729.6      45.017862  4.4017367e-05      11359.153      1.2691     -1
     9      5      324.31      405.26   Coal      1     -1      916572.75      77.555747  8.4614939e-05       5909.122      1.2596     -1
     9      6      405.26      506.42   Coal      0     -1      1593055.2      94.649321   5.941371e-05       8415.566      1.3937     -1
     9      6      405.26      506.42   Coal      1     -1      1423606.7      68.992186  4.8462953e-05      10317.159      1.3837     -1
     9      7      506.42      632.82   Coal      0     -1      2436283.4       198.1519  8.1333682e-05      6147.5146      1.4461     -1
     9      7      506.42      632.82   Coal      1     -1      2168668.6      200.59275  9.2495806e-05      5405.6505      1.4388     -1
     9      8      632.82      790.79   Coal      0     -1      3685565.9      690.75715  0.00018742227      2667.7726      1.6175     -1
     9      8      632.82      790.79   Coal      1     -1      3290564.8      256.05597  7.7815202e-05      6425.4797      1.6163     -1
