  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      338020.48      40.660981  0.00012029147      4156.5706      1.0164     -1
    10      0           0         133   Coal      1     -1      322524.53      1.0010033  3.1036502e-06      161100.63      1.0154     -1
    10      1         133       166.2   Coal      0     -1      186444.05      3.0793199  1.6516054e-05      30273.576      1.0454     -1
    10      1         133       166.2   Coal      1     -1      173569.53      22.979132  0.00013239151      3776.6772      1.0493     -1
    10      2       166.2      207.68   Coal      0     -1      292686.29      23.719296  8.1039995e-05      6169.7931      1.0563     -1
    10      2       166.2      207.68   Coal      1     -1      264332.18       1.344467  5.0862781e-06      98303.709      1.0623     -1
    10      3      207.68      259.53   Coal      0     -1      457025.61      1.0183815  2.2282811e-06      224388.21      1.1064     -1
    10      3      207.68      259.53   Coal      1     -1      407748.39  0.00010158455  2.4913539e-10  2.0069409e+09      1.1167     -1
    10      4      259.53      324.31   Coal      0     -1      710761.89      14.144888  1.9901022e-05      25124.338        1.16     -1
    10      4      259.53      324.31   Coal      1     -1      635745.55     0.99006495  1.5573289e-06      321062.55      1.1748     -1
    10      5      324.31      405.26   Coal      0     -1      1114921.2      58.538864  5.2504931e-05       9522.915      1.1782     -1
    10      5      324.31      405.26   Coal      1     -1       987265.1      15.138635  1.5333911e-05      32607.468      1.1916     -1
    10      6      405.26      506.42   Coal      0     -1      1742359.9      75.591436  4.3384513e-05       11524.85      1.3011     -1
    10      6      405.26      506.42   Coal      1     -1      1520335.2        16.7319  1.1005402e-05      45432.235      1.3136     -1
    10      7      506.42      632.82   Coal      0     -1      2770886.8      231.40481  8.3512909e-05      5987.0984      1.4079     -1
    10      7      506.42      632.82   Coal      1     -1        2285079      54.037264  2.3647876e-05      21143.548      1.4344     -1
    10      8      632.82      790.79   Coal      0     -1      4330370.5      631.14868  0.00014574935      3430.5471      1.5154     -1
    10      8      632.82      790.79   Coal      1     -1      3401878.9      90.774446  2.6683621e-05      18738.087      1.5504     -1
    10      9      790.79      988.18   Coal      0     -1        6634733      1209.2043  0.00018225365      2743.4293       1.629     -1
    10      9      790.79      988.18   Coal      1     -1      4963227.8      183.63978   3.700007e-05      13513.488      1.6819     -1
    10     10      988.18      1234.8   Coal      0     -1       10131230      1879.5936  0.00018552473      2695.0585      1.8167     -1
    10     10      988.18      1234.8   Coal      1     -1      7029068.2      197.19956  2.8054865e-05      17822.221      1.8901     -1
    10     11      1234.8      1543.1   Coal      0     -1       15660201      2438.0867  0.00015568681      3211.5759      2.0356     -1
    10     11      1234.8      1543.1   Coal      1     -1      9687386.1      327.97063  3.3855431e-05      14768.679      2.1464     -1
    10     12      1543.1      1928.2   Coal      0     -1       23793443        3831.34  0.00016102504      3105.1072      2.2053     -1
    10     12      1543.1      1928.2   Coal      1     -1       13109373      422.75012  3.2247928e-05      15504.872      2.3567     -1
    10     13      1928.2      2409.6   Coal      0     -1       35332213        4995.34  0.00014138203      3536.5173      2.4211     -1
    10     13      1928.2      2409.6   Coal      1     -1       17645945      741.79123  4.2037489e-05      11894.145      2.6174     -1
    10     14      2409.6        3011   Coal      0     -1       51753440        5912.66   0.0001142467      4376.4938      2.9576     -1
    10     14      2409.6        3011   Coal      1     -1       23889419       1091.511  4.5690147e-05      10943.278      3.2839     -1
    10     15        3011      3762.6   Coal      0     -1       73636363        7269.03  9.8715223e-05      5065.0749      3.2502     -1
    10     15        3011      3762.6   Coal      1     -1       33424890      1696.9559  5.0769229e-05      9848.4851      3.6592     -1
    10     16      3762.6      4701.8   Coal      0     -1  1.0122582e+08        8795.33   8.688821e-05      5754.5207      3.5911     -1
    10     16      3762.6      4701.8   Coal      1     -1       48434962      2606.1015  5.3806205e-05      9292.6086      4.0243     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.3643153e+08       10177.57  7.4598371e-05      6702.5592      4.6744     -1
    10     17      4701.8      5875.5   Coal      1     -1       70622337      4022.2091  5.6953781e-05      8779.0484      5.2559     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.8914677e+08        8803.51  4.6543275e-05      10742.691      5.1826     -1
    10     18      5875.5      7342.1   Coal      1     -1  1.0529671e+08      4247.1937  4.0335482e-05      12396.034      5.7201     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.7459768e+08        8090.51  2.9463141e-05      16970.356        6.16     -1
    10     19      7342.1      9174.7   Coal      1     -1   1.604073e+08       4577.967  2.8539642e-05      17519.491      6.6905     -1
    10     20      9174.7       11465   Coal      0     -1  4.0754104e+08        8381.17  2.0565217e-05      24312.897       7.934     -1
    10     20      9174.7       11465   Coal      1     -1  2.4907848e+08      5122.3585  2.0565239e-05      24312.871      8.4088     -1
    10     21       11465       14327   Coal      0     -1  1.6666404e+09       34609.81  2.0766213e-05      24077.572      9.0522     -1
