  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      337835.38      22.807032  6.7509306e-05      7406.3863      1.0153     -1
    10      0           0         133   Coal      1     -1      335006.28     0.36012796  1.0749887e-06      465121.17      1.0155     -1
    10      1         133       166.2   Coal      0     -1      184462.91       22.83046  0.00012376721      4039.8421      1.0254     -1
    10      1         133       166.2   Coal      1     -1      179055.41      11.410833  6.3727944e-05      7845.8517      1.0292     -1
    10      2       166.2      207.68   Coal      0     -1      285389.33      1.0110053  3.5425476e-06      141141.36       1.095     -1
    10      2       166.2      207.68   Coal      1     -1       274323.5  0.00015424008  5.6225617e-10  8.8927436e+08      1.1086     -1
    10      3      207.68      259.53   Coal      0     -1      448279.56      54.338849  0.00012121643      4124.8533      1.0776     -1
    10      3      207.68      259.53   Coal      1     -1      426920.23      1.8574372  4.3507828e-06      114921.85      1.0879     -1
    10      4      259.53      324.31   Coal      0     -1      701874.19      12.796797  1.8232324e-05      27423.822      1.1199     -1
    10      4      259.53      324.31   Coal      1     -1      653186.52     0.91044154  1.3938462e-06      358719.64      1.1372     -1
    10      5      324.31      405.26   Coal      0     -1      1098520.8      37.641167  3.4265321e-05      14592.013      1.1675     -1
    10      5      324.31      405.26   Coal      1     -1      1009791.6      8.8301783   8.744555e-06      57178.438      1.1898     -1
    10      6      405.26      506.42   Coal      0     -1      1718308.4      86.027187  5.0065045e-05      9987.0079      1.2887     -1
    10      6      405.26      506.42   Coal      1     -1        1541844      41.782979  2.7099355e-05      18450.623      1.3271     -1
    10      7      506.42      632.82   Coal      0     -1      2676440.9      209.16125  7.8149028e-05      6398.0322      1.3625     -1
    10      7      506.42      632.82   Coal      1     -1      2322703.8      86.554515  3.7264551e-05      13417.578      1.4033     -1
    10      8      632.82      790.79   Coal      0     -1      4141681.2      649.93497   0.0001569254      3186.2273      1.5237     -1
    10      8      632.82      790.79   Coal      1     -1      3499283.8      121.07803  3.4600802e-05      14450.532      1.5808     -1
    10      9      790.79      988.18   Coal      0     -1      6216768.1      1188.6328  0.00019119786       2615.092      1.7208     -1
    10      9      790.79      988.18   Coal      1     -1      5203007.8      218.15155  4.1927969e-05      11925.214       1.801     -1
    10     10      988.18      1234.8   Coal      0     -1      9480309.7      1768.5301  0.00018654772      2680.2794      1.8785     -1
    10     10      988.18      1234.8   Coal      1     -1        7480796      236.91274  3.1669456e-05      15788.083      1.9836     -1
    10     11      1234.8      1543.1   Coal      0     -1       14719767        2709.19  0.00018405115      2716.6361       1.966     -1
    10     11      1234.8      1543.1   Coal      1     -1       10207393      448.86337  4.3974338e-05      11370.268      2.0948     -1
