  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    10      0           0         133   Coal      0     -1      303248.45      88.413864  0.00029155586      1714.9372      1.4551     -1
    10      1         133       166.2   Coal      0     -1      162820.09      3.7662676  2.3131468e-05      21615.576      2.5255     -1
    10      2       166.2      207.68   Coal      0     -1      253552.86      5.4218045   2.138333e-05        23382.7      2.8404     -1
    10      3      207.68      259.53   Coal      0     -1      395957.04      9.5046578  2.4004265e-05      20829.632      3.2484     -1
    10      4      259.53      324.31   Coal      0     -1      615009.74      8.4588055  1.3753938e-05      36353.226      4.0716     -1
    10      5      324.31      405.26   Coal      0     -1      960184.69      15.454086   1.609491e-05      31065.722      4.2399     -1
    10      6      405.26      506.42   Coal      0     -1      1490309.1      35.835335  2.4045572e-05      20793.849      4.9838     -1
    10      7      506.42      632.82   Coal      0     -1        2311727      99.999306  4.3257403e-05      11558.715      6.5516     -1
    10      8      632.82      790.79   Coal      0     -1      3529945.3       354.1238  0.00010031991      4984.0555      7.4067     -1
    10      9      790.79      988.18   Coal      0     -1      5304679.3      599.13866  0.00011294531      4426.9212      7.0873     -1
    10     10      988.18      1234.8   Coal      0     -1      7897448.9      823.28647  0.00010424714      4796.2946      9.9858     -1
    10     11      1234.8      1543.1   Coal      0     -1       11620294      1362.2669   0.0001172317      4265.0579      11.628     -1
    10     12      1543.1      1928.2   Coal      0     -1       16865311      1742.6846  0.00010332952       4838.888      14.648     -1
    10     13      1928.2      2409.6   Coal      0     -1       24518501      2121.5916  8.6530233e-05      5778.3272      15.947     -1
    10     14      2409.6        3011   Coal      0     -1       35613039      2613.1939  7.3377448e-05      6814.0828       19.16     -1
    10     15        3011      3762.6   Coal      0     -1       52118029      2940.0565  5.6411505e-05      8863.4402      22.109     -1
    10     16      3762.6      4701.8   Coal      0     -1       76527014      3575.3081  4.6719555e-05      10702.157      24.873     -1
    10     17      4701.8      5875.5   Coal      0     -1  1.1192473e+08      4802.9985  4.2912756e-05      11651.547       33.36     -1
    10     18      5875.5      7342.1   Coal      0     -1  1.6464935e+08      4886.8842  2.9680556e-05      16846.045      37.362     -1
    10     19      7342.1      9174.7   Coal      0     -1  2.4484162e+08      5313.1562   2.170038e-05      23041.072      47.652     -1
    10     20      9174.7       11465   Coal      0     -1  3.6619955e+08      6663.7961  1.8197172e-05      27476.798      55.427     -1
    10     21       11465       14327   Coal      0     -1  5.4271706e+08      9153.3484  1.6865783e-05      29645.821      64.223     -1
    10     22       14327       17903   Coal      0     -1  7.8403031e+08      14350.192  1.8303109e-05      27317.763      73.149     -1
    10     23       17903       22372   Coal      0     -1  1.0767172e+09       23967.22  2.2259532e-05      22462.287      80.804     -1
    10     24       22372       27956   Coal      0     -1  1.3909616e+09      34471.125  2.4782225e-05      20175.751      95.611     -1
    10     25       27956       34934   Coal      0     -1  1.6640073e+09      47164.684  2.8344038e-05      17640.394      104.72     -1
    10     26       34934       43654   Coal      0     -1  1.8099446e+09      56957.904  3.1469418e-05      15888.441      100.09     -1
    10     27       43654       54551   Coal      0     -1  1.8040868e+09      62118.046   3.443185e-05      14521.439      103.27     -1
    10     28       54551       68167   Coal      0     -1  1.5952011e+09      58205.353  3.6487784e-05      13703.216      86.379     -1
    10     29       68167       85183   Coal      0     -1  1.3347985e+09      45261.523  3.3908881e-05        14745.4      74.267     -1
    10     30       85183  1.0645e+05   Coal      0     -1  1.2580012e+09      23729.978  1.8863239e-05      26506.583      66.079     -1
    10     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.2986904e+09       23425.43  1.8037733e-05       27719.67      67.077     -1
    10     32  1.3302e+05       1e+99   Coal      0     -1   3.068103e+09      54987.158  1.7922201e-05      27898.359      53.932     -1
    10     -1           0       1e+99  Delay     -1     -1  2.5933527e+09              0              0              0           1     -1
    10     -1           0       1e+99   LogL     -1     -1              1      -12921212      -12921212              0           1     -1
    10     -1           0       1e+99 Recomb     -1     -1           4290  1.2870004e-05   3.000001e-09              0           1     -1
    10     -1           0       1e+99 Resamp     -1     -1  2.5933527e+09         616291  0.00023764257              0           1     -1
     9      0           0         133   Coal      0     -1      309643.15      103.55852  0.00033444474      1495.0153      1.4375     -1
     9      1         133       166.2   Coal      0     -1      163070.28      5.3814404  3.3000743e-05      15151.174      2.4451     -1
     9      2       166.2      207.68   Coal      0     -1      255039.63      4.1572361  1.6300354e-05      30674.181       2.566     -1
     9      3      207.68      259.53   Coal      0     -1       396087.8      11.303618  2.8538164e-05      17520.399      3.3112     -1
     9      4      259.53      324.31   Coal      0     -1      617598.69      9.5461686  1.5456912e-05      32347.988      3.9098     -1
     9      5      324.31      405.26   Coal      0     -1      967519.83      16.433861  1.6985555e-05      29436.777       4.511     -1
     9      6      405.26      506.42   Coal      0     -1      1502380.6      38.424128  2.5575496e-05      19549.963      5.2228     -1
     9      7      506.42      632.82   Coal      0     -1      2328119.1      104.54165  4.4903909e-05      11134.888      6.7225     -1
     9      8      632.82      790.79   Coal      0     -1      3548686.8      352.29294  9.9274169e-05      5036.5569      7.7752     -1
     9      9      790.79      988.18   Coal      0     -1      5332979.7      593.04626  0.00011120355      4496.2595      7.3702     -1
     9     10      988.18      1234.8   Coal      0     -1      7926716.1       836.3269  0.00010550736      4739.0058      10.171     -1
     9     11      1234.8      1543.1   Coal      0     -1       11635271       1351.659  0.00011616911      4304.0703      11.126     -1
     9     12      1543.1      1928.2   Coal      0     -1       16864596      1717.0124  0.00010181165      4911.0293      15.453     -1
     9     13      1928.2      2409.6   Coal      0     -1       24523262      2085.3265  8.5034626e-05      5879.9576        16.5     -1
     9     14      2409.6        3011   Coal      0     -1       35701040      2591.8886  7.2599807e-05      6887.0707      19.197     -1
     9     15        3011      3762.6   Coal      0     -1       52143907      2947.4324  5.6524963e-05      8845.6494      23.387     -1
     9     16      3762.6      4701.8   Coal      0     -1       76561890      3605.8963  4.7097796e-05      10616.208      26.656     -1
     9     17      4701.8      5875.5   Coal      0     -1  1.1181932e+08      4850.1794  4.3375146e-05      11527.339      31.078     -1
     9     18      5875.5      7342.1   Coal      0     -1  1.6449463e+08      4938.0345  3.0019426e-05      16655.882      39.567     -1
     9     19      7342.1      9174.7   Coal      0     -1  2.4439667e+08      5358.0922  2.1923753e-05      22806.314      46.376     -1
     9     20      9174.7       11465   Coal      0     -1  3.6582529e+08      6665.2928   1.821988e-05      27442.552       56.91     -1
     9     21       11465       14327   Coal      0     -1  5.4210535e+08      9124.0833   1.683083e-05      29707.387      64.327     -1
     9     22       14327       17903   Coal      0     -1  7.8410092e+08      14255.337  1.8180488e-05      27502.012       73.92     -1
     9     23       17903       22372   Coal      0     -1  1.0778847e+09       23718.62  2.2004784e-05      22722.332      81.408     -1
     9     24       22372       27956   Coal      0     -1  1.3952548e+09      34291.958  2.4577559e-05      20343.762      99.292     -1
     9     25       27956       34934   Coal      0     -1  1.6721111e+09      47125.367  2.8183155e-05      17741.094      107.17     -1
     9     26       34934       43654   Coal      0     -1  1.8187792e+09      57021.776  3.1351677e-05       15948.11      101.23     -1
     9     27       43654       54551   Coal      0     -1  1.8110975e+09      62593.252   3.456095e-05      14467.195      104.39     -1
     9     28       54551       68167   Coal      0     -1  1.6004315e+09      58538.828  3.6576904e-05      13669.828      88.695     -1
     9     29       68167       85183   Coal      0     -1  1.3328205e+09      45435.301  3.4089586e-05      14667.236      75.432     -1
     9     30       85183  1.0645e+05   Coal      0     -1  1.2529465e+09      23738.667  1.8946273e-05      26390.415      67.024     -1
     9     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.2853079e+09      23387.685  1.8196173e-05      27478.305      68.311     -1
     9     32  1.3302e+05       1e+99   Coal      0     -1  3.0010322e+09       54332.78  1.8104697e-05      27617.142      55.218     -1
     9     -1           0       1e+99  Delay     -1     -1  2.5933527e+09              0              0              0           1     -1
     9     -1           0       1e+99   LogL     -1     -1              1      -12921236      -12921236              0           1     -1
     9     -1           0       1e+99 Recomb     -1     -1           4290  1.2870004e-05   3.000001e-09              0           1     -1
     9     -1           0       1e+99 Resamp     -1     -1  2.5933527e+09         615913  0.00023749681              0           1     -1
     8      0           0         133   Coal      0     -1       297587.5      93.447053  0.00031401538      1592.2787      1.4482     -1
     8      1         133       166.2   Coal      0     -1      161095.16      4.3356903  2.6913846e-05      18577.798      2.3594     -1
     8      2       166.2      207.68   Coal      0     -1      250631.24      3.2698564  1.3046484e-05      38324.503      2.5213     -1
     8      3      207.68      259.53   Coal      0     -1      392474.01      9.5062187  2.4221269e-05      20643.014      3.6627     -1
     8      4      259.53      324.31   Coal      0     -1      612876.78      11.522915  1.8801357e-05      26593.825      3.7625     -1
     8      5      324.31      405.26   Coal      0     -1      953311.81      15.073116  1.5811317e-05      31622.918      5.2515     -1
     8      6      405.26      506.42   Coal      0     -1      1485900.8      41.391047  2.7855862e-05      17949.543      5.2956     -1
     8      7      506.42      632.82   Coal      0     -1      2309634.5      109.37767  4.7357136e-05      10558.071      6.1624     -1
     8      8      632.82      790.79   Coal      0     -1      3522732.2      346.26258  9.8293755e-05      5086.7932      7.8726     -1
     8      9      790.79      988.18   Coal      0     -1      5304744.1      601.62519  0.00011341267      4408.6786      7.2602     -1
     8     10      988.18      1234.8   Coal      0     -1      7880518.8      857.52443  0.00010881573      4594.9238       10.04     -1
     8     11      1234.8      1543.1   Coal      0     -1       11612672      1315.1408  0.00011325049      4414.9919      12.099     -1
     8     12      1543.1      1928.2   Coal      0     -1       16924799      1680.4276  9.9287892e-05      5035.8608      14.906     -1
     8     13      1928.2      2409.6   Coal      0     -1       24647079      2048.9298  8.3130733e-05      6014.6227      16.615     -1
     8     14      2409.6        3011   Coal      0     -1       35920122      2575.5506  7.1702168e-05      6973.2899       17.77     -1
     8     15        3011      3762.6   Coal      0     -1       52391478      2963.3446  5.6561576e-05      8839.9234      23.716     -1
     8     16      3762.6      4701.8   Coal      0     -1       76833593       3650.547  4.7512382e-05      10523.573      27.595     -1
     8     17      4701.8      5875.5   Coal      0     -1   1.120826e+08      4922.2782  4.3916522e-05      11385.237      29.684     -1
     8     18      5875.5      7342.1   Coal      0     -1  1.6435889e+08      4989.1667  3.0355321e-05      16471.577      40.295     -1
