  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      299410.02      146.13193  0.00048806627       1024.451      1.0345     -1
    25      0           0         133   Coal      1     -1      305865.37      42.059244  0.00013750901      3636.1254      1.0453     -1
    25      1         133       166.2   Coal      0     -1      154450.63      35.319434  0.00022867783      2186.4822      1.0902     -1
    25      1         133       166.2   Coal      1     -1      162226.53     0.63166003  3.8936913e-06      128412.85      1.1296     -1
    25      2       166.2      207.68   Coal      0     -1      242644.84      42.964954  0.00017706931      2823.7531      1.1256     -1
    25      2       166.2      207.68   Coal      1     -1      258600.73  0.00024460575  9.4588188e-10  5.2860723e+08      1.1769     -1
    25      3      207.68      259.53   Coal      0     -1      380186.96      24.777463  6.5171786e-05      7672.0316      1.2306     -1
    25      3      207.68      259.53   Coal      1     -1      410651.11     0.72235945  1.7590588e-06      284242.91      1.2926     -1
    25      4      259.53      324.31   Coal      0     -1      594817.91      75.593806  0.00012708731      3934.3033       1.289     -1
    25      4      259.53      324.31   Coal      1     -1       643725.8      1.2100679  1.8797878e-06      265987.47      1.3624     -1
    25      5      324.31      405.26   Coal      0     -1      917772.07      44.109384  4.8061371e-05      10403.365      1.4566     -1
    25      5      324.31      405.26   Coal      1     -1      1010385.5      61.945099   6.130838e-05       8155.492      1.5504     -1
    25      6      405.26      506.42   Coal      0     -1      1393632.8      292.94265  0.00021020074      2378.6786      1.5619     -1
    25      6      405.26      506.42   Coal      1     -1      1552762.5      82.691459  5.3254416e-05      9388.8928      1.6779     -1
    25      7      506.42      632.82   Coal      0     -1      2104222.4      323.07305   0.0001535356      3256.5737      1.7297     -1
    25      7      506.42      632.82   Coal      1     -1      2394734.5      100.09379  4.1797449e-05      11962.453      1.8755     -1
    25      8      632.82      790.79   Coal      0     -1      3112967.1      842.07325  0.00027050503      1848.3945      1.9219     -1
    25      8      632.82      790.79   Coal      1     -1      3643524.1      242.32303  6.6507869e-05      7517.9073      2.1194     -1
    25      9      790.79      988.18   Coal      0     -1      4432173.8      1417.0787  0.00031972544      1563.8418      2.1594     -1
    25      9      790.79      988.18   Coal      1     -1      5504546.8      407.95267  7.4111944e-05      6746.5509      2.4125     -1
    25     10      988.18      1234.8   Coal      0     -1      6430695.9      1542.1349  0.00023980839      2084.9979      2.3852     -1
    25     10      988.18      1234.8   Coal      1     -1      8107930.7      533.95344  6.5855698e-05      7592.3575      2.7045     -1
    25     11      1234.8      1543.1   Coal      0     -1      9716635.4        1988.35  0.00020463359      2443.3916      2.5417     -1
    25     11      1234.8      1543.1   Coal      1     -1       11707557      548.77359  4.6873449e-05       10667.02       2.924     -1
    25     12      1543.1      1928.2   Coal      0     -1       15267184        2638.16  0.00017279938      2893.5289      3.0082     -1
    25     12      1543.1      1928.2   Coal      1     -1       16297704      606.17702  3.7194012e-05      13443.024      3.5023     -1
    25     13      1928.2      2409.6   Coal      0     -1       25122904         3187.2  0.00012686431      3941.2186       3.564     -1
    25     13      1928.2      2409.6   Coal      1     -1       21642406      758.91558  3.5066137e-05       14258.77       4.172     -1
    25     14      2409.6        3011   Coal      0     -1       40566968        3869.55  9.5386721e-05      5241.8198      4.1119     -1
    25     14      2409.6        3011   Coal      1     -1       29164010      905.50944  3.1048866e-05      16103.648      4.7196     -1
    25     15        3011      3762.6   Coal      0     -1       63013603        5269.44  8.3623849e-05      5979.1556      5.0208     -1
    25     15        3011      3762.6   Coal      1     -1       40073980      1531.2572  3.8210759e-05       13085.32      5.6629     -1
    25     16      3762.6      4701.8   Coal      0     -1       93779082        6571.76  7.0077035e-05      7135.0051      6.1411     -1
    25     16      3762.6      4701.8   Coal      1     -1       56658062      2295.7324  4.0519078e-05      12339.866      6.8856     -1
    25     17      4701.8      5875.5   Coal      0     -1  1.3358163e+08        8885.52  6.6517531e-05      7516.8154      6.9807     -1
    25     17      4701.8      5875.5   Coal      1     -1       81914889       3703.271  4.5208766e-05      11059.802      7.7432     -1
    25     18      5875.5      7342.1   Coal      0     -1  1.9000605e+08        8406.08  4.4241117e-05      11301.704      8.7866     -1
    25     18      5875.5      7342.1   Coal      1     -1  1.2049602e+08      4159.2211  3.4517497e-05      14485.407      9.7814     -1
    25     19      7342.1      9174.7   Coal      0     -1  2.7837492e+08        7509.77  2.6977179e-05      18534.184       10.16     -1
    25     19      7342.1      9174.7   Coal      1     -1  1.8200595e+08       4678.615  2.5705835e-05      19450.836      11.097     -1
    25     20      9174.7       11465   Coal      0     -1  4.1696273e+08        8127.31  1.9491694e-05      25651.952      12.337     -1
    25     20      9174.7       11465   Coal      1     -1  2.7868333e+08        5392.51  1.9349955e-05      25839.853      13.294     -1
    25     21       11465       14327   Coal      0     -1  1.7678677e+09          37287   2.109151e-05      23706.221      14.643     -1
    25     21       11465       14327   Coal      1     -1            123      7.7752513    0.063213425      7.9097122           1     -1
    25     22       14327       17903   Coal      0     -1  2.3226028e+09       43300.04  1.8642895e-05      26819.869      16.586     -1
    25     22       14327       17903   Coal      1     -1            123      7.7753141    0.063213936      7.9096483           1     -1
    25     23       17903       22372   Coal      0     -1  2.9614708e+09       62230.96  2.1013531e-05      23794.192      19.941     -1
    25     23       17903       22372   Coal      1     -1            123      7.7756269    0.063216479      7.9093301           1     -1
    25     24       22372       27956   Coal      0     -1  3.5125225e+09       84606.11  2.4086994e-05       20758.09      22.705     -1
    25     24       22372       27956   Coal      1     -1            123      7.7759584    0.063219174      7.9089929           1     -1
    25     25       27956       34934   Coal      0     -1  3.8063188e+09      108365.31  2.8469846e-05      17562.441      25.921     -1
    25     25       27956       34934   Coal      1     -1            123      7.7764313    0.063223019      7.9085119           1     -1
    25     26       34934       43654   Coal      0     -1  3.7805041e+09      120188.35   3.179162e-05      15727.415      28.836     -1
    25     26       34934       43654   Coal      1     -1            123      7.7768779     0.06322665      7.9080578           1     -1
    25     27       43654       54551   Coal      0     -1  3.4243212e+09      125045.66  3.6516919e-05      13692.283      30.498     -1
    25     27       43654       54551   Coal      1     -1            123      7.7775043    0.063231742      7.9074209           1     -1
    25     28       54551       68167   Coal      0     -1   2.851626e+09      109775.68   3.849582e-05      12988.423      32.855     -1
    25     28       54551       68167   Coal      1     -1            123      7.7778751    0.063234757      7.9070439           1     -1
    25     29       68167       85183   Coal      0     -1  2.2710723e+09       82782.79   3.645097e-05      13717.056      30.921     -1
    25     29       68167       85183   Coal      1     -1            123      7.7778751    0.063234757      7.9070439           1     -1
    25     30       85183  1.0645e+05   Coal      0     -1  2.1560656e+09       41336.88  1.9172366e-05      26079.201      31.484     -1
