  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1       343942.2  0.00017756927  5.1627648e-10  9.6847333e+08      1.0247     -1
    25      0           0         133   Coal      1     -1      307441.76      30.983292  0.00010077776      4961.4122      1.0246     -1
    25      1         133       166.2   Coal      0     -1       183122.6      25.245053  0.00013785875      3626.9007      1.0735     -1
    25      1         133       166.2   Coal      1     -1      160008.59     0.81619267  5.1009304e-06      98021.334      1.0767     -1
    25      2       166.2      207.68   Coal      0     -1      283266.03      5.7183973  2.0187374e-05      24767.957      1.1507     -1
    25      2       166.2      207.68   Coal      1     -1       245712.6      13.409802   5.457515e-05      9161.6789      1.1487     -1
    25      3      207.68      259.53   Coal      0     -1      440054.82      2.9974932  6.8116358e-06      73403.807      1.1608     -1
    25      3      207.68      259.53   Coal      1     -1       379300.4      15.043381  3.9660862e-05      12606.887      1.1597     -1
    25      4      259.53      324.31   Coal      0     -1      690084.18      6.5608654  9.5073407e-06      52590.942       1.262     -1
    25      4      259.53      324.31   Coal      1     -1      591284.62      14.297069  2.4179674e-05      20678.525      1.2687     -1
    25      5      324.31      405.26   Coal      0     -1      1073457.2      9.4952781  8.8455114e-06      56525.845      1.3073     -1
    25      5      324.31      405.26   Coal      1     -1      919445.68      69.425709  7.5508222e-05      6621.7954      1.3145     -1
    25      6      405.26      506.42   Coal      0     -1      1691658.8      29.858184   1.765024e-05      28328.227      1.5477     -1
    25      6      405.26      506.42   Coal      1     -1      1433813.2      65.317525  4.5555116e-05      10975.716      1.5592     -1
    25      7      506.42      632.82   Coal      0     -1      2676512.4      42.570023  1.5905035e-05      31436.586       1.679     -1
    25      7      506.42      632.82   Coal      1     -1      2204088.6      54.302983  2.4637387e-05       20294.36       1.689     -1
    25      8      632.82      790.79   Coal      0     -1      4225277.4      210.63573  4.9851337e-05      10029.821      1.8834     -1
    25      8      632.82      790.79   Coal      1     -1      3372907.1       51.06333  1.5139264e-05      33026.705       1.905     -1
    25      9      790.79      988.18   Coal      0     -1      6621857.9      427.04284  6.4489882e-05      7753.1542      2.1012     -1
    25      9      790.79      988.18   Coal      1     -1      5086486.5      90.811838  1.7853549e-05      28005.636      2.1319     -1
    25     10      988.18      1234.8   Coal      0     -1       10570486      916.87451  8.6739105e-05      5764.4127      2.5129     -1
    25     10      988.18      1234.8   Coal      1     -1      7316693.1      99.389879  1.3583989e-05      36808.039       2.595     -1
    25     11      1234.8      1543.1   Coal      0     -1       17091094      1858.0582  0.00010871499      4599.1816      2.8212     -1
    25     11      1234.8      1543.1   Coal      1     -1       10067513      139.36262  1.3842805e-05      36119.847      2.9346     -1
    25     12      1543.1      1928.2   Coal      0     -1       27530130        2867.48  0.00010415788      4800.4049      3.1767     -1
    25     12      1543.1      1928.2   Coal      1     -1       13404713      221.32444  1.6510943e-05      30282.947      3.3333     -1
    25     13      1928.2      2409.6   Coal      0     -1       44332525        4013.43  9.0530146e-05      5523.0221      3.5332     -1
    25     13      1928.2      2409.6   Coal      1     -1       17080256      190.79557  1.1170534e-05      44760.619      3.7496     -1
    25     14      2409.6        3011   Coal      0     -1       69449940        6129.66  8.8260119e-05      5665.0728      3.8803     -1
    25     14      2409.6        3011   Coal      1     -1       21738555      412.62081  1.8981059e-05      26342.049      4.1618     -1
    25     15        3011      3762.6   Coal      0     -1  1.0374896e+08        7081.09  6.8252152e-05      7325.7763      4.7716     -1
    25     15        3011      3762.6   Coal      1     -1       29231860      639.90267   2.189059e-05      22840.864      5.1699     -1
    25     16      3762.6      4701.8   Coal      0     -1  1.4884964e+08        9022.87  6.0617345e-05      8248.4642       5.712     -1
    25     16      3762.6      4701.8   Coal      1     -1       41529932      1440.1742  3.4677981e-05      14418.371      6.2622     -1
    25     17      4701.8      5875.5   Coal      0     -1  2.0401643e+08       11426.58  5.6008137e-05      8927.2742      6.9344     -1
    25     17      4701.8      5875.5   Coal      1     -1       61742398      2732.5756  4.4257684e-05      11297.473      7.6636     -1
    25     18      5875.5      7342.1   Coal      0     -1  2.8198085e+08       10578.14  3.7513682e-05       13328.47      7.8031     -1
    25     18      5875.5      7342.1   Coal      1     -1       93717962      3352.1598  3.5768595e-05      13978.743      8.5834     -1
    25     19      7342.1      9174.7   Coal      0     -1  4.0252094e+08        9983.77  2.4803107e-05      20158.765      9.8782     -1
    25     19      7342.1      9174.7   Coal      1     -1  1.4496054e+08      3366.3378  2.3222443e-05      21530.896      10.863     -1
    25     20      9174.7       11465   Coal      0     -1  5.8676754e+08       10824.52  1.8447715e-05      27103.628      11.261     -1
    25     20      9174.7       11465   Coal      1     -1  2.2844234e+08      4238.0395    1.85519e-05      26951.417      12.045     -1
    25     21       11465       14327   Coal      0     -1  1.9631627e+09       40375.34  2.0566477e-05      24311.407      13.678     -1
    25     21       11465       14327   Coal      1     -1            122      7.7685182    0.063676379      7.8522053           1     -1
    25     22       14327       17903   Coal      0     -1  2.5635182e+09       46634.71  1.8191683e-05      27485.088      15.823     -1
    25     22       14327       17903   Coal      1     -1            122      7.7685802    0.063676887      7.8521426           1     -1
    25     23       17903       22372   Coal      0     -1  3.2349925e+09       67123.28   2.074913e-05      24097.396       18.42     -1
    25     23       17903       22372   Coal      1     -1            122      7.7688902    0.063679428      7.8518293           1     -1
    25     24       22372       27956   Coal      0     -1  3.7903703e+09       90739.82  2.3939566e-05      20885.926      21.157     -1
    25     24       22372       27956   Coal      1     -1            122      7.7692184    0.063682118      7.8514977           1     -1
    25     25       27956       34934   Coal      0     -1  4.0562718e+09      114614.45  2.8256107e-05       17695.29      23.595     -1
    25     25       27956       34934   Coal      1     -1            122      7.7696872    0.063685961      7.8510239           1     -1
    25     26       34934       43654   Coal      0     -1  3.9847009e+09      126325.63  3.1702663e-05      15771.546      27.021     -1
    25     26       34934       43654   Coal      1     -1            122        7.77013     0.06368959      7.8505765           1     -1
    25     27       43654       54551   Coal      0     -1  3.5605767e+09      131168.54  3.6839128e-05      13572.526      28.459     -1
    25     27       43654       54551   Coal      1     -1            122      7.7707501    0.063694673        7.84995           1     -1
    25     28       54551       68167   Coal      0     -1  2.9230798e+09      114277.14  3.9094772e-05      12789.434      29.264     -1
    25     28       54551       68167   Coal      1     -1            122      7.7711176    0.063697685      7.8495788           1     -1
    25     29       68167       85183   Coal      0     -1  2.2954993e+09       85410.29  3.7207718e-05      13438.072      28.089     -1
    25     29       68167       85183   Coal      1     -1            122      7.7711176    0.063697685      7.8495788           1     -1
    25     30       85183  1.0645e+05   Coal      0     -1  2.1729568e+09       41929.05  1.9295851e-05      25912.307       30.18     -1
    25     30       85183  1.0645e+05   Coal      1     -1            122      7.7693552    0.063683239      7.8513594           1     -1
    25     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2905406e+09       40082.46  1.7499127e-05      28572.854      30.521     -1
    25     31  1.0645e+05  1.3302e+05   Coal      1     -1            122      7.7693552    0.063683239      7.8513594           1     -1
    25     32  1.3302e+05       1e+99   Coal      0     -1  6.2046035e+09      103264.47  1.6643202e-05      30042.296      30.798     -1
    25     32  1.3302e+05       1e+99   Coal      1     -1            122      7.7693552    0.063683239      7.8513594           1     -1
    25     -1           0       1e+99  Delay     -1     -1  2.6004504e+09              0              0              0           1     -1
    25     -1           0       1e+99   LogL     -1     -1              1      -32349628      -32349628              0           1     -1
    25      0           0         133   Migr      0      1      194238.13  0.00021412842  1.1024016e-09              0      1.0327     -1
    25      0           0         133   Migr      1      0      179356.12      37.979426  0.00021175428              0      1.0336     -1
    25      1         133       166.2   Migr      0      1       89820.51  0.00045321679  5.0458051e-09              0      1.0728     -1
    25      1         133       166.2   Migr      1      0       81652.88      4.5236337  5.5400786e-05              0      1.0774     -1
    25      2       166.2      207.68   Migr      0      1       138706.6      1.0002863  7.2115264e-06              0      1.1496     -1
    25      2       166.2      207.68   Migr      1      0      125530.84      12.291432  9.7915636e-05              0      1.1499     -1
    25      3      207.68      259.53   Migr      0      1      214769.82  0.00018509478  8.6182862e-10              0      1.1594     -1
    25      3      207.68      259.53   Migr      1      0      194429.12      16.018974  8.2389787e-05              0      1.1611     -1
    25      4      259.53      324.31   Migr      0      1      336510.24  0.00022671374  6.7372019e-10              0      1.2597     -1
    25      4      259.53      324.31   Migr      1      0      303200.56      8.1687616  2.6941776e-05              0      1.2712     -1
    25      5      324.31      405.26   Migr      0      1      522877.49      4.6219384  8.8394288e-06              0      1.3049     -1
    25      5      324.31      405.26   Migr      1      0      471928.68      3.6556676   7.746229e-06              0      1.3175     -1
    25      6      405.26      506.42   Migr      0      1      821752.64  0.00020914728  2.5451366e-10              0      1.5432     -1
    25      6      405.26      506.42   Migr      1      0       737695.9      30.561035  4.1427687e-05              0      1.5631     -1
    25      7      506.42      632.82   Migr      0      1      1291371.7      2.9724037  2.3017414e-06              0      1.6736     -1
    25      7      506.42      632.82   Migr      1      0      1141517.7      101.93284  8.9295889e-05              0      1.6937     -1
    25      8      632.82      790.79   Migr      0      1      2022804.3      4.7235667  2.3351576e-06              0      1.8755     -1
    25      8      632.82      790.79   Migr      1      0      1763473.5      177.20831  0.00010048822              0      1.9116     -1
    25      9      790.79      988.18   Migr      0      1      3131735.3      8.9576711    2.86029e-06              0      2.0931     -1
    25      9      790.79      988.18   Migr      1      0      2703359.6      368.26068  0.00013622334              0      2.1391     -1
    25     10      988.18      1234.8   Migr      0      1      4884988.5      56.576654  1.1581737e-05              0      2.5017     -1
    25     10      988.18      1234.8   Migr      1      0      4022902.1      945.61811  0.00023505869              0      2.6022     -1
    25     11      1234.8      1543.1   Migr      0      1      7646814.9      106.39711  1.3913912e-05              0      2.8107     -1
    25     11      1234.8      1543.1   Migr      1      0      5852542.4      1691.7307   0.0002890591              0      2.9422     -1
    25     12      1543.1      1928.2   Migr      0      1       11909378      336.42308  2.8248585e-05              0      3.1678     -1
    25     12      1543.1      1928.2   Migr      1      0        8343075      2367.7458  0.00028379773              0      3.3481     -1
