  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      343727.96      27.579711  8.0237032e-05      6231.5366      1.0265     -1
    25      0           0         133   Coal      1     -1      316104.15      13.546461  4.2854425e-05      11667.407      1.0286     -1
    25      1         133       166.2   Coal      0     -1      188344.75      7.3790231  3.9178279e-05      12762.174        1.07     -1
    25      1         133       166.2   Coal      1     -1      165217.07    0.026864093  1.6259878e-07      3075053.9      1.0746     -1
    25      2       166.2      207.68   Coal      0     -1      294665.16  0.00013937434  4.7299225e-10  1.0570998e+09      1.0896     -1
    25      2       166.2      207.68   Coal      1     -1      257735.07  0.00016156627  6.2686957e-10  7.9761409e+08      1.0916     -1
    25      3      207.68      259.53   Coal      0     -1      464102.76      7.7982252  1.6802799e-05      29756.948      1.1901     -1
    25      3      207.68      259.53   Coal      1     -1      404062.14      3.0402928    7.52432e-06      66451.187      1.1912     -1
    25      4      259.53      324.31   Coal      0     -1      726570.84     0.85679246  1.1792277e-06      424006.32      1.2243     -1
    25      4      259.53      324.31   Coal      1     -1      623846.07      5.2556018   8.424517e-06      59350.584      1.2269     -1
    25      5      324.31      405.26   Coal      0     -1      1155711.8      1.8694282  1.6175557e-06      309108.36      1.3956     -1
    25      5      324.31      405.26   Coal      1     -1      959327.25      9.6831473  1.0093685e-05      49535.921       1.408     -1
    25      6      405.26      506.42   Coal      0     -1      1821458.1      21.356473  1.1724932e-05       42644.17      1.4548     -1
    25      6      405.26      506.42   Coal      1     -1      1469547.1      29.546656  2.0105961e-05      24868.247      1.4702     -1
    25      7      506.42      632.82   Coal      0     -1      2896741.8      49.881635  1.7219911e-05      29036.155       1.735     -1
    25      7      506.42      632.82   Coal      1     -1      2214555.4      48.812399  2.2041624e-05      22684.353      1.7549     -1
    25      8      632.82      790.79   Coal      0     -1      4650637.4      198.82497  4.2752198e-05      11695.305      1.8385     -1
    25      8      632.82      790.79   Coal      1     -1      3249392.8      160.24473  4.9315286e-05      10138.844      1.8588     -1
    25      9      790.79      988.18   Coal      0     -1      7460307.1      396.29228  5.3120103e-05      9412.6323      2.2513     -1
    25      9      790.79      988.18   Coal      1     -1      4742528.6      195.00774  4.1118938e-05      12159.847      2.2781     -1
    25     10      988.18      1234.8   Coal      0     -1       12130342      844.26631   6.959955e-05      7183.9545      2.4191     -1
    25     10      988.18      1234.8   Coal      1     -1      6604384.3      326.80033  4.9482331e-05      10104.617      2.4692     -1
    25     11      1234.8      1543.1   Coal      0     -1       20067337        2020.79  0.00010070045      4965.2209      2.7749     -1
    25     11      1234.8      1543.1   Coal      1     -1      8587708.8      434.51555  5.0597379e-05      9881.9349      2.8287     -1
    25     12      1543.1      1928.2   Coal      0     -1       32894981        3294.31  0.00010014628      4992.6967      3.0592     -1
    25     12      1543.1      1928.2   Coal      1     -1       10417550      382.23603  3.6691549e-05      13627.116       3.126     -1
    25     13      1928.2      2409.6   Coal      0     -1       51811255        5298.39   0.0001022633      4889.3395      3.4395     -1
    25     13      1928.2      2409.6   Coal      1     -1       12421351      526.17894  4.2360845e-05      11803.353      3.5577     -1
    25     14      2409.6        3011   Coal      0     -1       77152883        6798.96  8.8123214e-05      5673.8739      4.2089     -1
