  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      317142.43      29.719041  9.3708814e-05      5335.6774       1.037     -1
    25      0           0         133   Coal      1     -1      295115.61      106.69781  0.00036154582      1382.9506      1.0314     -1
    25      1         133       166.2   Coal      0     -1      170912.43  0.00030717263  1.7972516e-09  2.7820257e+08      1.1177     -1
    25      1         133       166.2   Coal      1     -1      152775.14      1.5346486  1.0045146e-05      49775.285      1.1069     -1
    25      2       166.2      207.68   Coal      0     -1      266939.72      1.3312195  4.9869667e-06      100261.35      1.1774     -1
    25      2       166.2      207.68   Coal      1     -1      242554.75      8.4298711  3.4754509e-05      14386.623      1.1618     -1
    25      3      207.68      259.53   Coal      0     -1      414564.65      85.547256  0.00020635444      2423.0155      1.2641     -1
    25      3      207.68      259.53   Coal      1     -1      380637.29      6.7272014  1.7673522e-05       28290.91      1.2491     -1
    25      4      259.53      324.31   Coal      0     -1       638134.1      18.420689  2.8866486e-05      17321.124      1.3608     -1
    25      4      259.53      324.31   Coal      1     -1      596346.02      18.028172   3.023106e-05      16539.281      1.3491     -1
    25      5      324.31      405.26   Coal      0     -1      998441.64      15.976741  1.6001677e-05      31246.725      1.4831     -1
    25      5      324.31      405.26   Coal      1     -1      927787.16      19.442265  2.0955523e-05      23860.059      1.4672     -1
    25      6      405.26      506.42   Coal      0     -1      1557835.3      15.216558  9.7677575e-06      51188.822      1.5626     -1
    25      6      405.26      506.42   Coal      1     -1        1437231      136.44122  9.4933398e-05      5266.8503      1.5435     -1
    25      7      506.42      632.82   Coal      0     -1      2422095.8      102.90431   4.248565e-05       11768.68      1.7064     -1
    25      7      506.42      632.82   Coal      1     -1      2197359.5      209.64915  9.5409583e-05      5240.5637       1.685     -1
    25      8      632.82      790.79   Coal      0     -1      3703467.7       510.1824  0.00013775803      3629.5526      2.0303     -1
    25      8      632.82      790.79   Coal      1     -1      3337614.2      404.24598  0.00012111825      4128.1971      2.0463     -1
    25      9      790.79      988.18   Coal      0     -1      5418300.4      1088.1356    0.000200826      2489.7175      2.2198     -1
