  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      354264.95  0.00012014269  3.3913231e-10  1.4743508e+09       1.031     -1
    25      0           0         133   Coal      1     -1      313303.71       33.56738  0.00010714007      4666.7882      1.0313     -1
    25      1         133       166.2   Coal      0     -1      186801.29      3.0010007  1.6065203e-05      31123.167       1.061     -1
    25      1         133       166.2   Coal      1     -1      161741.06  0.00024116687  1.4910677e-09  3.3533018e+08      1.0616     -1
    25      2       166.2      207.68   Coal      0     -1      288006.73      19.995452  6.9427029e-05      7201.8061       1.183     -1
    25      2       166.2      207.68   Coal      1     -1       253652.8      6.3323297  2.4964557e-05      20028.395       1.185     -1
    25      3      207.68      259.53   Coal      0     -1      446716.68      7.1275112  1.5955328e-05      31337.494      1.1461     -1
    25      3      207.68      259.53   Coal      1     -1      399350.35      5.3195047  1.3320396e-05      37536.422      1.1458     -1
    25      4      259.53      324.31   Coal      0     -1      692983.26      12.703203  1.8331183e-05      27275.927      1.2869     -1
    25      4      259.53      324.31   Coal      1     -1       626294.2      14.222072  2.2708293e-05      22018.388      1.2898     -1
    25      5      324.31      405.26   Coal      0     -1      1075537.7      62.552263  5.8159062e-05      8597.1125      1.3582     -1
    25      5      324.31      405.26   Coal      1     -1      964583.15      83.655628  8.6727234e-05      5765.2018      1.3692     -1
    25      6      405.26      506.42   Coal      0     -1        1627538      291.02827  0.00017881504      2796.1854      1.5219     -1
    25      6      405.26      506.42   Coal      1     -1      1492232.3      31.836594  2.1334877e-05      23435.804      1.5506     -1
    25      7      506.42      632.82   Coal      0     -1        2467350      332.72857  0.00013485261      3707.7519      1.7691     -1
    25      7      506.42      632.82   Coal      1     -1      2321793.8      47.939658  2.0647682e-05      24215.794      1.8393     -1
    25      8      632.82      790.79   Coal      0     -1      3569070.8      1376.8672   0.0003857775      1296.0839       1.795     -1
    25      8      632.82      790.79   Coal      1     -1        3571732      114.53578  3.2067295e-05       15592.21      1.8927     -1
    25      9      790.79      988.18   Coal      0     -1      5170984.7      1141.9698  0.00022084184      2264.0637       2.105     -1
    25      9      790.79      988.18   Coal      1     -1      5410907.7      126.37467  2.3355541e-05      21408.196      2.2791     -1
    25     10      988.18      1234.8   Coal      0     -1        7803881      1675.6564  0.00021472091      2328.6041      2.3114     -1
    25     10      988.18      1234.8   Coal      1     -1      7971981.2      86.730974  1.0879475e-05      45958.098      2.5169     -1
    25     11      1234.8      1543.1   Coal      0     -1       12276277      2152.5672  0.00017534365      2851.5433      2.6009     -1
    25     11      1234.8      1543.1   Coal      1     -1       11240385      132.71471  1.1806954e-05      42347.924      2.8774     -1
    25     12      1543.1      1928.2   Coal      0     -1       20567062      2580.7054  0.00012547759      3984.7753      3.1896     -1
    25     12      1543.1      1928.2   Coal      1     -1       14710334      203.02822  1.3801741e-05      36227.314      3.6501     -1
    25     13      1928.2      2409.6   Coal      0     -1       34186335        4016.41  0.00011748583      4255.8323      3.3998     -1
    25     13      1928.2      2409.6   Coal      1     -1       18798336      203.43279  1.0821851e-05      46202.818      3.8497     -1
    25     14      2409.6        3011   Coal      0     -1       55524803        4728.92  8.5167704e-05        5870.77      3.8659     -1
    25     14      2409.6        3011   Coal      1     -1       24081390      523.83515  2.1752696e-05      22985.657      4.4034     -1
    25     15        3011      3762.6   Coal      0     -1       84948949        6618.87  7.7915855e-05      6417.1792      4.7357     -1
    25     15        3011      3762.6   Coal      1     -1       32345673      759.84466  2.3491385e-05      21284.398      5.4272     -1
    25     16      3762.6      4701.8   Coal      0     -1  1.2267064e+08        8225.88  6.7056631e-05      7456.3841      5.6061     -1
    25     16      3762.6      4701.8   Coal      1     -1       46265276      1476.9708   3.192396e-05      15662.217      6.3589     -1
    25     17      4701.8      5875.5   Coal      0     -1   1.701641e+08        10774.2  6.3316528e-05      7896.8323      6.8163     -1
    25     17      4701.8      5875.5   Coal      1     -1       68021359       2817.367  4.1418858e-05      12071.796      7.7198     -1
    25     18      5875.5      7342.1   Coal      0     -1  2.3683084e+08        9865.54  4.1656484e-05      12002.933       8.234     -1
    25     18      5875.5      7342.1   Coal      1     -1  1.0191597e+08        3236.82  3.1759695e-05      15743.224      9.1979     -1
    25     19      7342.1      9174.7   Coal      0     -1  3.4129583e+08        9189.74  2.6926025e-05      18569.395      10.525     -1
    25     19      7342.1      9174.7   Coal      1     -1  1.5688637e+08      3659.4412  2.3325425e-05      21435.837       11.57     -1
    25     20      9174.7       11465   Coal      0     -1  5.0213328e+08        9251.52  1.8424431e-05       27137.88      12.253     -1
    25     20      9174.7       11465   Coal      1     -1  2.4460987e+08         4320.7  1.7663637e-05      28306.741      13.143     -1
    25     21       11465       14327   Coal      0     -1  1.8497406e+09       38139.67  2.0618928e-05      24249.563      14.406     -1
    25     21       11465       14327   Coal      1     -1            120      7.7619006    0.064682505      7.7300655           1     -1
    25     22       14327       17903   Coal      0     -1  2.4274063e+09       44322.66  1.8259267e-05      27383.355      17.023     -1
    25     22       14327       17903   Coal      1     -1            120      7.7619613    0.064683011       7.730005           1     -1
    25     23       17903       22372   Coal      0     -1   3.080995e+09       64155.31   2.082292e-05      24012.003      19.875     -1
    25     23       17903       22372   Coal      1     -1            120      7.7622653    0.064685544      7.7297023           1     -1
    25     24       22372       27956   Coal      0     -1  3.6315946e+09       87107.18  2.3985931e-05      20845.553      21.406     -1
    25     24       22372       27956   Coal      1     -1            120      7.7625878    0.064688232      7.7293811           1     -1
    25     25       27956       34934   Coal      0     -1  3.9096179e+09      111703.44  2.8571447e-05      17499.989      25.588     -1
    25     25       27956       34934   Coal      1     -1            120       7.763048    0.064692067      7.7289229           1     -1
    25     26       34934       43654   Coal      0     -1  3.8477076e+09      122860.36  3.1930795e-05      15658.865      27.523     -1
    25     26       34934       43654   Coal      1     -1            120      7.7634823    0.064695686      7.7284906           1     -1
    25     27       43654       54551   Coal      0     -1  3.4552392e+09      127552.62  3.6915714e-05      13544.368      29.996     -1
    25     27       43654       54551   Coal      1     -1            120      7.7640906    0.064700755      7.7278851           1     -1
    25     28       54551       68167   Coal      0     -1  2.8609698e+09      110737.95  3.8706437e-05      12917.748      31.152     -1
    25     28       54551       68167   Coal      1     -1            120      7.7644516    0.064703763      7.7275258           1     -1
    25     29       68167       85183   Coal      0     -1  2.2731553e+09       83310.77  3.6649836e-05      13642.626      30.543     -1
    25     29       68167       85183   Coal      1     -1            120      7.7644516    0.064703763      7.7275258           1     -1
    25     30       85183  1.0645e+05   Coal      0     -1  2.1653653e+09        41175.8  1.9015637e-05      26294.149      31.488     -1
    25     30       85183  1.0645e+05   Coal      1     -1            120      7.7627216    0.064689347      7.7292479           1     -1
    25     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2850869e+09       39859.88  1.7443486e-05      28663.996      32.009     -1
    25     31  1.0645e+05  1.3302e+05   Coal      1     -1            120      7.7627216    0.064689347      7.7292479           1     -1
    25     32  1.3302e+05       1e+99   Coal      0     -1  6.1677372e+09      102799.45  1.6667288e-05      29998.882      32.352     -1
    25     32  1.3302e+05       1e+99   Coal      1     -1            120      7.7627216    0.064689347      7.7292479           1     -1
    25     -1           0       1e+99  Delay     -1     -1  2.6005456e+09              0              0              0           1     -1
    25     -1           0       1e+99   LogL     -1     -1              1      -31329128      -31329128              0           1     -1
