  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      354818.18      58.340023   0.0001644223        3040.95      1.0252     -1
    25      0           0         133   Coal      1     -1      304227.75      29.161254  9.5853367e-05      5216.3009      1.0309     -1
    25      1         133       166.2   Coal      0     -1      186634.15      8.7077125  4.6656587e-05        10716.6       1.071     -1
    25      1         133       166.2   Coal      1     -1      156495.85  0.00025924488  1.6565607e-09  3.0183017e+08      1.0699     -1
    25      2       166.2      207.68   Coal      0     -1      291694.82      3.6481284  1.2506661e-05      39978.695      1.1197     -1
    25      2       166.2      207.68   Coal      1     -1      245608.23      12.652974  5.1516897e-05      9705.5534      1.1127     -1
    25      3      207.68      259.53   Coal      0     -1      449569.48      20.964015  4.6631312e-05      10722.409      1.2137     -1
    25      3      207.68      259.53   Coal      1     -1      382763.71       27.71848  7.2416688e-05      6904.4859      1.2089     -1
    25      4      259.53      324.31   Coal      0     -1      705590.54      7.9436284  1.1258128e-05      44412.358        1.22     -1
    25      4      259.53      324.31   Coal      1     -1      596582.98      20.301677   3.402993e-05      14692.948      1.2148     -1
    25      5      324.31      405.26   Coal      0     -1      1117764.9     0.11699646     1.0467e-07      4776917.7      1.3969     -1
    25      5      324.31      405.26   Coal      1     -1      919088.83      9.7615756  1.0620927e-05      47076.869       1.395     -1
    25      6      405.26      506.42   Coal      0     -1        1754960      23.487587  1.3383545e-05      37359.309      1.6511     -1
    25      6      405.26      506.42   Coal      1     -1      1410804.4      59.238319  4.1989039e-05      11907.869      1.6607     -1
    25      7      506.42      632.82   Coal      0     -1        2756792      41.994664  1.5233164e-05      32823.122      1.6777     -1
    25      7      506.42      632.82   Coal      1     -1      2179098.2       31.58682  1.4495363e-05      34493.789      1.6807     -1
    25      8      632.82      790.79   Coal      0     -1      4328981.6      205.27274  4.7418253e-05      10544.463      2.0035     -1
    25      8      632.82      790.79   Coal      1     -1      3293924.9      105.36007  3.1986179e-05      15631.752      2.0276     -1
    25      9      790.79      988.18   Coal      0     -1        6756857       601.4776  8.9017363e-05      5616.8817      2.1819     -1
