  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      312194.84      10.978043  3.5164075e-05      14219.057      1.0233     -1
    25      0           0         133   Coal      1     -1      314495.29      14.449649  4.5945519e-05      10882.454      1.0259     -1
    25      1         133       166.2   Coal      0     -1      167735.22   0.0034703913    2.06897e-08       24166615      1.0624     -1
    25      1         133       166.2   Coal      1     -1      165666.08      5.1450062  3.1056486e-05      16099.697      1.0675     -1
    25      2       166.2      207.68   Coal      0     -1      266046.95  0.00015621245   5.871612e-10   8.515549e+08      1.1159     -1
    25      2       166.2      207.68   Coal      1     -1      257969.79       15.40157  5.9702998e-05      8374.7888      1.1153     -1
    25      3      207.68      259.53   Coal      0     -1       417954.5      11.470825  2.7445152e-05      18218.154      1.1273     -1
    25      3      207.68      259.53   Coal      1     -1      405880.53      2.8140063  6.9330902e-06      72117.914      1.1265     -1
    25      4      259.53      324.31   Coal      0     -1      653185.99    0.001411266  2.1605883e-09  2.3141845e+08      1.1926     -1
    25      4      259.53      324.31   Coal      1     -1      645630.45   0.0012178033  1.8862235e-09  2.6507993e+08      1.1863     -1
    25      5      324.31      405.26   Coal      0     -1      1025181.1  4.0251212e-05  3.9262539e-11  1.2734785e+10      1.3447     -1
    25      5      324.31      405.26   Coal      1     -1      1020700.3      11.746986  1.1508751e-05      43445.201      1.3422     -1
    25      6      405.26      506.42   Coal      0     -1        1604139      2.1876353  1.3637442e-06      366637.67      1.5245     -1
    25      6      405.26      506.42   Coal      1     -1      1576204.9      53.675664  3.4053735e-05      14682.677      1.5177     -1
    25      7      506.42      632.82   Coal      0     -1      2512361.9      23.489955  9.3497497e-06      53477.367      1.6125     -1
    25      7      506.42      632.82   Coal      1     -1      2423556.3      162.04544  6.6862669e-05      7478.0144      1.5964     -1
    25      8      632.82      790.79   Coal      0     -1      3947057.5      102.34317  2.5928979e-05      19283.444      1.8818     -1
    25      8      632.82      790.79   Coal      1     -1      3682623.9      271.52453  7.3731268e-05      6781.3835      1.8628     -1
