  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      328350.79      32.113591  9.7802692e-05      5112.3337      1.0262     -1
    25      0           0         133   Coal      1     -1      318121.48      7.1565676  2.2496336e-05      22225.842      1.0239     -1
    25      1         133       166.2   Coal      0     -1      180043.62  0.00057907754   3.216318e-09  1.5545726e+08      1.0705     -1
    25      1         133       166.2   Coal      1     -1      162681.14     0.95024929  5.8411767e-06       85599.19      1.0721     -1
    25      2       166.2      207.68   Coal      0     -1      283435.93      3.5512454   1.252927e-05      39906.554      1.1206     -1
    25      2       166.2      207.68   Coal      1     -1      256466.25      2.6969556   1.051583e-05      47547.362      1.1229     -1
    25      3      207.68      259.53   Coal      0     -1      449325.65    8.87877e-05  1.9760212e-10  2.5303373e+09      1.1655     -1
    25      3      207.68      259.53   Coal      1     -1      401565.07       1.373229  3.4196924e-06      146211.98      1.1687     -1
    25      4      259.53      324.31   Coal      0     -1      709881.07      1.3478563  1.8987072e-06      263337.07      1.2253     -1
    25      4      259.53      324.31   Coal      1     -1      623283.76      4.2787183  6.8647999e-06      72835.335      1.2299     -1
    25      5      324.31      405.26   Coal      0     -1      1123372.3      5.6386185  5.0193676e-06      99614.143      1.2873     -1
    25      5      324.31      405.26   Coal      1     -1      969835.31      4.2129054  4.3439389e-06      115102.91      1.2877     -1
    25      6      405.26      506.42   Coal      0     -1      1786679.3      7.6498722  4.2816145e-06      116778.38      1.5009     -1
    25      6      405.26      506.42   Coal      1     -1      1501916.6      17.040016  1.1345514e-05      44070.284       1.495     -1
    25      7      506.42      632.82   Coal      0     -1      2872756.4      25.309376  8.8101364e-06       56752.81      1.6895     -1
    25      7      506.42      632.82   Coal      1     -1      2251864.7      63.457256   2.817987e-05      17743.162      1.6858     -1
    25      8      632.82      790.79   Coal      0     -1      4635569.2      86.691195  1.8701306e-05      26736.101      1.7713     -1
    25      8      632.82      790.79   Coal      1     -1      3350428.5      193.91478  5.7877606e-05      8638.9198      1.7615     -1
    25      9      790.79      988.18   Coal      0     -1      7554250.7       363.2111  4.8080361e-05      10399.256      2.1028     -1
    25      9      790.79      988.18   Coal      1     -1      4784671.2      295.06779  6.1669397e-05      8107.7491      2.0946     -1
    25     10      988.18      1234.8   Coal      0     -1       12451125      1008.0009  8.0956611e-05      6176.1479      2.3788     -1
    25     10      988.18      1234.8   Coal      1     -1      6522488.5      294.09173  4.5088884e-05      11089.208       2.382     -1
    25     11      1234.8      1543.1   Coal      0     -1       20605857      1861.1833  9.0323023e-05      5535.6872       2.626     -1
    25     11      1234.8      1543.1   Coal      1     -1      8448173.7      349.79095  4.1404327e-05      12076.033      2.6577     -1
    25     12      1543.1      1928.2   Coal      0     -1       33572941        3330.37  9.9198042e-05      5040.4221      2.8628     -1
    25     12      1543.1      1928.2   Coal      1     -1       10428317      399.87863  3.8345461e-05      13039.353      2.9117     -1
    25     13      1928.2      2409.6   Coal      0     -1       52991567        5367.57  0.00010129102      4936.2716      3.4487     -1
    25     13      1928.2      2409.6   Coal      1     -1       12382794      460.94793  3.7224872e-05       13431.88      3.5867     -1
    25     14      2409.6        3011   Coal      0     -1       78279217        7224.53  9.2291802e-05      5417.5993      3.8051     -1
    25     14      2409.6        3011   Coal      1     -1       15531127      812.75333  5.2330609e-05      9554.6374      3.9769     -1
    25     15        3011      3762.6   Coal      0     -1  1.1048965e+08        8996.54  8.1424281e-05      6140.6744      4.4669     -1
    25     15        3011      3762.6   Coal      1     -1       20926178       1111.246  5.3103153e-05      9415.6368      4.7351     -1
    25     16      3762.6      4701.8   Coal      0     -1  1.5230168e+08       10253.61  6.7324339e-05      7426.7347       5.231     -1
    25     16      3762.6      4701.8   Coal      1     -1       29599324      1819.4884  6.1470605e-05      8133.9691      5.6149     -1
    25     17      4701.8      5875.5   Coal      0     -1   2.042432e+08       12131.78  5.9398697e-05      8417.6931      5.8187     -1
    25     17      4701.8      5875.5   Coal      1     -1       44475982        2691.15  6.0507938e-05      8263.3785      6.2449     -1
    25     18      5875.5      7342.1   Coal      0     -1  2.7812901e+08       10889.64  3.9153197e-05      12770.349      7.3656     -1
    25     18      5875.5      7342.1   Coal      1     -1       69534818      2770.5462  3.9844013e-05      12548.937      7.9009     -1
    25     19      7342.1      9174.7   Coal      0     -1  3.9457382e+08       10016.93  2.5386707e-05      19695.347      9.6901     -1
    25     19      7342.1      9174.7   Coal      1     -1  1.1183565e+08      2901.7338  2.5946412e-05      19270.487      10.326     -1
    25     20      9174.7       11465   Coal      0     -1  5.7574212e+08        9953.12  1.7287462e-05      28922.696      10.814     -1
    25     20      9174.7       11465   Coal      1     -1  1.8173976e+08      3228.9319  1.7766789e-05      28142.396      11.377     -1
    25     21       11465       14327   Coal      0     -1   1.795899e+09       36132.59    2.01195e-05      24851.512      12.784     -1
    25     21       11465       14327   Coal      1     -1            123      7.7752513    0.063213425      7.9097122           1     -1
    25     22       14327       17903   Coal      0     -1  2.3723791e+09       43134.12  1.8181799e-05       27500.03       15.04     -1
    25     22       14327       17903   Coal      1     -1            123      7.7753141    0.063213936      7.9096483           1     -1
