  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      334670.11      5.4825403  1.6381924e-05      30521.445      1.0344     -1
    25      0           0         133   Coal      1     -1      285867.58      78.923785  0.00027608512      1811.0357      1.0297     -1
    25      1         133       166.2   Coal      0     -1      179271.95      1.0019195  5.5888248e-06      89464.246      1.1202     -1
    25      1         133       166.2   Coal      1     -1      152316.47      7.2110218  4.7342364e-05      10561.365      1.1055     -1
    25      2       166.2      207.68   Coal      0     -1      278684.38      19.649946  7.0509678e-05      7091.2251      1.1255     -1
    25      2       166.2      207.68   Coal      1     -1      239321.51  0.00035656334  1.4898926e-09  3.3559467e+08      1.1113     -1
    25      3      207.68      259.53   Coal      0     -1      433509.11      15.363729  3.5440383e-05        14108.2      1.2588     -1
    25      3      207.68      259.53   Coal      1     -1      378924.51      15.817329  4.1742692e-05      11978.145      1.2388     -1
    25      4      259.53      324.31   Coal      0     -1      677923.06      30.327806  4.4736354e-05      11176.592      1.3403     -1
    25      4      259.53      324.31   Coal      1     -1      588598.14      13.672788   2.322941e-05      21524.438      1.3127     -1
    25      5      324.31      405.26   Coal      0     -1      1051972.7      88.650883  8.4271084e-05      5933.2333      1.4133     -1
    25      5      324.31      405.26   Coal      1     -1      911179.27      81.939587  8.9926966e-05      5560.0675      1.3833     -1
    25      6      405.26      506.42   Coal      0     -1      1588735.6      228.12756  0.00014359064      3482.1212      1.5065     -1
    25      6      405.26      506.42   Coal      1     -1        1402861      116.06278  8.2732917e-05      6043.5437      1.4769     -1
    25      7      506.42      632.82   Coal      0     -1      2384851.2      347.26257  0.00014561184      3433.7867      1.7578     -1
    25      7      506.42      632.82   Coal      1     -1      2147235.1      220.11109  0.00010250908      4877.6169      1.7302     -1
    25      8      632.82      790.79   Coal      0     -1      3514999.8      959.23989  0.00027289899      1832.1797      1.9605     -1
    25      8      632.82      790.79   Coal      1     -1        3266752      260.29095  7.9678822e-05      6275.1932      1.9574     -1
    25      9      790.79      988.18   Coal      0     -1      5071387.8      1132.2048  0.00022325344      2239.6071      2.2085     -1
    25      9      790.79      988.18   Coal      1     -1      4955649.6      418.06411  8.4361112e-05      5926.9015      2.2359     -1
    25     10      988.18      1234.8   Coal      0     -1      7295490.8      1817.1378  0.00024907684      2007.4127      2.6125     -1
    25     10      988.18      1234.8   Coal      1     -1      7416064.6      381.69028  5.1468036e-05      9714.7674      2.7183     -1
    25     11      1234.8      1543.1   Coal      0     -1       10829193        2037.47  0.00018814605      2657.5099      2.7081     -1
    25     11      1234.8      1543.1   Coal      1     -1       10797233      420.79214  3.8972219e-05      12829.652      2.8849     -1
    25     12      1543.1      1928.2   Coal      0     -1       16485792        3012.62  0.00018274039       2736.122      3.2606     -1
    25     12      1543.1      1928.2   Coal      1     -1       15345466      420.26828   2.738713e-05       18256.75      3.5557     -1
    25     13      1928.2      2409.6   Coal      0     -1       25885997        3130.08  0.00012091788      4135.0377       3.526     -1
    25     13      1928.2      2409.6   Coal      1     -1       21479038      482.98314  2.2486256e-05      22235.805      3.9016     -1
    25     14      2409.6        3011   Coal      0     -1       40999608        3812.75  9.2994791e-05      5376.6452      4.4397     -1
    25     14      2409.6        3011   Coal      1     -1       29922809      761.64873  2.5453785e-05      19643.444      4.9865     -1
    25     15        3011      3762.6   Coal      0     -1       64290828        4807.75  7.4781273e-05      6686.1659       4.884     -1
    25     15        3011      3762.6   Coal      1     -1       41853734      1151.6839  2.7516872e-05       18170.67      5.4592     -1
    25     16      3762.6      4701.8   Coal      0     -1       97045260        6251.88  6.4422312e-05      7761.2862      5.7064     -1
    25     16      3762.6      4701.8   Coal      1     -1       60303193      1697.3001  2.8146107e-05      17764.446      6.3606     -1
    25     17      4701.8      5875.5   Coal      0     -1  1.4054632e+08        8184.67   5.823468e-05      8585.9491      7.4081     -1
    25     17      4701.8      5875.5   Coal      1     -1       88179213       3316.617  3.7612232e-05      13293.548      8.3115     -1
    25     18      5875.5      7342.1   Coal      0     -1  2.0265212e+08        8269.26  4.0805199e-05       12253.34      8.7684     -1
    25     18      5875.5      7342.1   Coal      1     -1  1.2892919e+08      4418.6128  3.4271623e-05      14589.329      9.8495     -1
